src,dst,count
#1YearOfBBAsuran,@dhanushkraja,2016
@dhanushkraja,@VetriMaaran,1820
@dhanushkraja,@B_RAJA_,1570
@dhanushkraja,@Nellai__Dfc,960
@dhanushkraja,@Dhanush_Trends,495
@dhanushkraja,@dhanush_chow3,402
@dhanushkraja,@dhanush__appu,363
@dhanushkraja,@Kamaraj_Dfc,208
@dhanushkraja,@sandydfc,164
@dhanushkraja,@DirectorS_Shiva,86
@dhanushkraja,@Seenidfc_offl,70
@dhanushkraja,@gvprakash,64
@dhanushkraja,@KenKarunaas,62
@dhanushkraja,@southchennaidfc,61
@dhanushkraja,@Cuddalore_DFC,61
@dhanushkraja,@DhanushWarriors,54
@dhanushkraja,@ManjuWarrier4,51
@dhanushkraja,@DFgirl_Yuktha,44
@dhanushkraja,@TenkasiDfc,34
#1YearOfBBAsuran,@VetriMaaran,264
@VetriMaaran,@dhanushkraja,1554
@VetriMaaran,@gvprakash,64
@VetriMaaran,@ManjuWarrier4,35
@VetriMaaran,@KenKarunaas,30
@VetriMaaran,@Nellai__Dfc,20
@VetriMaaran,@DirectorS_Shiva,20
@VetriMaaran,@B_RAJA_,14
@VetriMaaran,@Cuddalore_DFC,13
@VetriMaaran,@Dhanush_Trends,10
@VetriMaaran,@southchennaidfc,8
@VetriMaaran,@Kamaraj_Dfc,7
@VetriMaaran,@TenkasiDfc,6
@VetriMaaran,@sandydfc,5
@VetriMaaran,@dhanush__appu,5
@VetriMaaran,@velailla_rajesh,4
#1YearOfBBAsuran,@dhanush_chow3,230
@dhanush_chow3,@dhanushkraja,536
@dhanush_chow3,@Dhanush_Trends,135
@dhanush_chow3,@sandydfc,3
@dhanush_chow3,@VetriMaaran,3
@dhanush_chow3,@DirectorS_Shiva,3
@dhanush_chow3,@B_RAJA_,3
#1YearOfBBAsuran,@B_RAJA_,155
@B_RAJA_,@dhanushkraja,1256
@B_RAJA_,@DirectorS_Shiva,31
@B_RAJA_,@VetriMaaran,14
@B_RAJA_,@Dhanush_Trends,3
@B_RAJA_,@dhanush_chow3,3
@B_RAJA_,@NSParthiban6,1
@B_RAJA_,@Nellai__Dfc,1
#1YearOfBBAsuran,@Dhanush_Trends,146
@Dhanush_Trends,@dhanushkraja,495
@Dhanush_Trends,@dhanush_chow3,189
@Dhanush_Trends,@KenKarunaas,18
@Dhanush_Trends,@VetriMaaran,10
@Dhanush_Trends,@velailla_rajesh,3
@Dhanush_Trends,@ManjuWarrier4,3
