src,dst,count
#1YearOfBBAsuran,#JagameThandhiram,17178
#JagameThandhiram,#1yearOfBBAsuran,9407
#JagameThandhiram,#Asuran,1676
#JagameThandhiram,#அசுரன்,1264
#JagameThandhiram,#Dhanush,1080
#JagameThandhiram,#Karnan,1052
#JagameThandhiram,#TNDFC,885
#JagameThandhiram,#PollachiDFC,443
#1YearOfBBAsuran,#Asuran,2775
#Asuran,#JagameThandhiram,1676
#Asuran,#Dhanush,638
#Asuran,#1yearOfBBAsuran,607
#Asuran,#Karnan,218
#Asuran,#1YearOfAsuran,87
#1YearOfBBAsuran,#Dhanush,1433
#Dhanush,#JagameThandhiram,1080
#Dhanush,#Asuran,637
#Dhanush,#1yearOfBBAsuran,134
#Dhanush,#1YearOfAsuran,51
#1YearOfBBAsuran,#Karnan,808
#Karnan,#JagameThandhiram,1052
#Karnan,#Asuran,218
#Karnan,#1yearOfBBAsuran,55
#Karnan,#Dhanush,31
#Karnan,#1YearOfAsuran,9
#Karnan,#Master,9
#1YearOfBBAsuran,#TNDFC,561
#TNDFC,#JagameThandhiram,885
#TNDFC,#1yearOfBBAsuran,360
#TNDFC,#Asuran,33
#TNDFC,#அசுரன்,23
#TNDFC,#Dhanush,7
#TNDFC,#Karnan,2
#1YearOfBBAsuran,#PollachiDFC,426
#PollachiDFC,#JagameThandhiram,443
#PollachiDFC,#1yearOfBBAsuran,18
#PollachiDFC,#அசுரன்,10
#PollachiDFC,#Asuran,3
#1YearOfBBAsuran,#Master,389
#Master,#JagameThandhiram,150
#Master,#1yearOfBBAsuran,43
#1YearOfBBAsuran,#அசுரன்,383
#அசுரன்,#JagameThandhiram,1264
#அசுரன்,#1yearOfBBAsuran,1251
#அசுரன்,#TNDFC,23
#அசுரன்,#Asuran,10
#அசுரன்,#PollachiDFC,10
#அசுரன்,#Dhanush,10
#1YearOfBBAsuran,#1yearOfBBAsuran,224
#1yearOfBBAsuran,#JagameThandhiram,13380
#1yearOfBBAsuran,#அசுரன்,1251
#1yearOfBBAsuran,#Asuran,722
#1yearOfBBAsuran,#TNDFC,360
#1yearOfBBAsuran,#Dhanush,134
#1yearOfBBAsuran,#Karnan,55
#1YearOfBBAsuran,#1YearOfAsuran,203
#1YearOfAsuran,#Asuran,87
#1YearOfAsuran,#JagameThandhiram,67
#1YearOfAsuran,#Dhanush,51
#1YearOfAsuran,#Karnan,9
#1YearOfBBAsuran,#MrDhanush,167
#MrDhanush,#JagameThandhiram,152
#MrDhanush,#1yearOfBBAsuran,5
#MrDhanush,#Asuran,2
#1YearOfBBAsuran,#karnan,92
#karnan,#JagameThandhiram,115
#karnan,#1yearOfBBAsuran,8
#karnan,#Asuran,1
