src,dst,count
#1YearOfBBAsuran,$1230099488091435008,478
#1YearOfBBAsuran,$1253943398580379653,307
#1YearOfBBAsuran,$802423515227881472,293
#1YearOfBBAsuran,$4854211282,278
#1YearOfBBAsuran,$1284453338059177989,277
#1YearOfBBAsuran,$1276139910714384384,275
#1YearOfBBAsuran,$1154041832466030594,271
#1YearOfBBAsuran,$1250440635502350339,264
#1YearOfBBAsuran,$1274336527280041987,263
#1YearOfBBAsuran,$1284483662482780160,249
#1YearOfBBAsuran,$1155707148036214784,249
#1YearOfBBAsuran,$1200601093815689216,241
