src,dst,count
#C,*sidebar,8
*sidebar,"*long label names",4
#C,"*graph algorithms",8
#C,"*live updates",8
"*live updates","*scrap cricbuzz",4
#C,*update,8
#C,"*scrap cricbuzz",8
"*scrap cricbuzz","*live updates",4
#C,*document,8
*document,*update,4
#C,"*long label names",8
"*long label names",*sidebar,4
#C,"*configure project",6
#C,"*temporal types",5
"*temporal types","*topological operators",1
"*temporal types",*spatial,1
#C,*spatial,5
*spatial,"*topological operators",1
*spatial,"*temporal types",1
#C,"*topological operators",5
"*topological operators","*temporal types",1
"*topological operators",*spatial,1
#C,"*order input modification",4
