src,dst,count
#COVID19,#TrumpHasCovid,18713
#TrumpHasCovid,#TrumpCovid,18388
#TrumpHasCovid,#TrumpVirus,6590
#TrumpHasCovid,#TrumpHasCorona,4145
#TrumpHasCovid,#coronavirus,3846
#TrumpHasCovid,#BidenHarris2020,3156
#TrumpHasCovid,#SuperSpreader,3021
#TrumpHasCovid,#DonaldTrump,2613
#TrumpHasCovid,#COVIDIOTS,2223
#TrumpHasCovid,#WearAMask,1859
#TrumpHasCovid,#Election2020,1770
#TrumpHasCovid,#NBAFinals,1364
#TrumpHasCovid,#COVID,1325
#TrumpHasCovid,#MAGA,1152
#COVID19,#Trump,9953
#Trump,#TrumpHasCovid,23304
#Trump,#TrumpCovid,4374
#Trump,#coronavirus,4242
#Trump,#DonaldTrump,1964
#Trump,#Trump2020,1863
#Trump,#NBAFinals,1606
#Trump,#Corona,1484
#Trump,#TrumpVirus,1341
#Trump,#LakeShow,1323
#Trump,#COVID,913
#Trump,#VOTE,867
#Trump,#Election2020,856
#Trump,#BoyfriendDay,790
#Trump,#MAGA,713
#Trump,#BREAKING,476
#COVID19,#coronavirus,4618
#coronavirus,#Trump,4242
#coronavirus,#TrumpHasCovid,3844
#coronavirus,#TrumpCovid,1170
#coronavirus,#DonaldTrump,1092
#coronavirus,#SaturdayThoughts,252
#coronavirus,#MAGA,206
#coronavirus,#Trump2020,183
#coronavirus,#Corona,167
#coronavirus,#TrumpHasCorona,97
#coronavirus,#COVIDIOTS,29
#coronavirus,#WearAMask,28
#coronavirus,#SaturdayMotivation,25
#coronavirus,#TrumpVirus,25
#COVID19,#TrumpCovid,4412
#TrumpCovid,#TrumpHasCovid,18388
#TrumpCovid,#Trump,4374
#TrumpCovid,#TrumpVirus,1923
#TrumpCovid,#TrumpHasCorona,1555
#TrumpCovid,#coronavirus,1170
#TrumpCovid,#BoyfriendDay,416
#TrumpCovid,#DonaldTrump,404
#TrumpCovid,#SuperSpreader,392
#TrumpCovid,#SaturdayThoughts,323
#TrumpCovid,#Trump2020,154
#TrumpCovid,#SaturdayMotivation,115
#TrumpCovid,#MAGA,110
#TrumpCovid,#NBAFinals,106
#COVID19,#DonaldTrump,3203
#DonaldTrump,#TrumpHasCovid,2613
#DonaldTrump,#Trump,1964
#DonaldTrump,#coronavirus,1092
#DonaldTrump,#TrumpCovid,308
#DonaldTrump,#TrumpHasCorona,32
#DonaldTrump,#COVID,25
#DonaldTrump,#TrumpVirus,14
#COVID19,#NBAFinals,1399
#NBAFinals,#LakeShow,1731
#NBAFinals,#TrumpHasCovid,1364
#NBAFinals,#Trump2020,684
#NBAFinals,#BidenHarris2020,432
#NBAFinals,#TrumpCovid,159
#NBAFinals,#VOTE,138
#COVID19,#Trump2020,1241
#Trump2020,#TrumpHasCovid,2940
#Trump2020,#Trump,1864
#Trump2020,#MAGA,897
#Trump2020,#BidenHarris2020,823
#Trump2020,#NBAFinals,608
#Trump2020,#VOTE,294
#Trump2020,#LakeShow,222
#Trump2020,#SaturdayThoughts,188
#Trump2020,#coronavirus,183
#Trump2020,#TrumpCovid,161
#COVID19,#VOTE,1222
#VOTE,#BidenHarris2020,1289
#VOTE,#Trump,867
#VOTE,#LakeShow,402
#VOTE,#Trump2020,365
#VOTE,#NBAFinals,207
#VOTE,#COVID,25
#VOTE,#COVIDIOTS,22
#VOTE,#WearAMask,18
#COVID19,#LakeShow,1152
#LakeShow,#NBAFinals,1731
#LakeShow,#Trump,1323
#LakeShow,#TrumpHasCovid,1012
#LakeShow,#Trump2020,592
#LakeShow,#BidenHarris2020,552
#LakeShow,#VOTE,268
#LakeShow,#BoyfriendDay,89
#LakeShow,#COVID,30
#LakeShow,#TrumpCovid,21
#COVID19,#BidenHarris2020,1136
#BidenHarris2020,#TrumpHasCovid,3156
#BidenHarris2020,#Trump2020,905
#BidenHarris2020,#NBAFinals,504
#BidenHarris2020,#LakeShow,414
#BidenHarris2020,#TrumpVirus,301
#BidenHarris2020,#TrumpCovid,55
#BidenHarris2020,#WearAMask,37
#COVID19,#COVID,1080
#COVID,#TrumpHasCovid,1444
#COVID,#Trump,994
#COVID,#coronavirus,96
#COVID,#TrumpCovid,92
#COVID,#LakeShow,30
#COVID,#Corona,26
#COVID,#DonaldTrump,25
#COVID,#SuperSpreader,16
#COVID,#COVIDIOTS,16
#COVID,#BidenHarris2020,11
#COVID19,#SuperSpreader,1034
#SuperSpreader,#TrumpHasCovid,3021
#SuperSpreader,#TrumpCovid,392
#SuperSpreader,#Trump,372
#SuperSpreader,#TrumpVirus,64
#SuperSpreader,#SaturdayThoughts,43
#SuperSpreader,#coronavirus,29
#SuperSpreader,#COVIDIOTS,28
#SuperSpreader,#SaturdayMotivation,21
#SuperSpreader,#SaturdayMorning,20
#SuperSpreader,#WearAMask,20
#SuperSpreader,#COVID,16
#COVID19,#COVIDIOTS,1012
#COVIDIOTS,#TrumpHasCovid,2223
#COVIDIOTS,#Trump,291
#COVIDIOTS,#TrumpVirus,104
#COVIDIOTS,#TrumpCovid,101
#COVIDIOTS,#TrumpHasCorona,43
#COVIDIOTS,#SuperSpreader,28
#COVIDIOTS,#SaturdayThoughts,26
#COVIDIOTS,#VOTE,22
#COVIDIOTS,#coronavirus,17
#COVIDIOTS,#COVID,16
#COVIDIOTS,#WearAMask,14
#COVIDIOTS,#SaturdayMotivation,11
#COVIDIOTS,#Trump2020,10
#COVIDIOTS,#BidenHarris2020,10
#COVID19,#BoyfriendDay,968
#BoyfriendDay,#Trump,632
#BoyfriendDay,#TrumpCovid,364
#BoyfriendDay,#LakeShow,89
#COVID19,#SaturdayMotivation,917
#SaturdayMotivation,#SaturdayThoughts,12426
#SaturdayMotivation,#SaturdayMorning,8339
#COVID19,#TrumpVirus,904
#TrumpVirus,#TrumpCovid,1923
#TrumpVirus,#Trump,1341
#TrumpVirus,#TrumpHasCorona,869
#TrumpVirus,#COVIDIOTS,137
#TrumpVirus,#SuperSpreader,64
#TrumpVirus,#TrumpHasCovid,50
#TrumpVirus,#WearAMask,50
#COVID19,#WearAMask,893
#WearAMask,#TrumpHasCovid,1859
#WearAMask,#Trump,139
#WearAMask,#TrumpCovid,69
#WearAMask,#TrumpVirus,50
#WearAMask,#BidenHarris2020,37
#WearAMask,#coronavirus,27
#WearAMask,#TrumpHasCorona,25
#WearAMask,#SaturdayMotivation,23
#WearAMask,#SuperSpreader,20
#WearAMask,#VOTE,18
#WearAMask,#MAGA,11
#COVID19,#SaturdayMorning,859
#SaturdayMorning,#SaturdayMotivation,8339
#SaturdayMorning,#SaturdayThoughts,5934
#SaturdayMorning,#TrumpHasCovid,648
#SaturdayMorning,#Trump,122
#SaturdayMorning,#TrumpCovid,92
#COVID19,#Election2020,720
#Election2020,#TrumpHasCovid,1623
#Election2020,#Trump,934
#Election2020,#TrumpCovid,30
#COVID19,#Coronavirus,708
#Coronavirus,#Trump,474
#Coronavirus,#TrumpHasCovid,62
#Coronavirus,#TrumpCovid,13
#Coronavirus,#Corona,12
#COVID19,#TrumpHasCorona,703
#TrumpHasCorona,#TrumpHasCovid,4145
#TrumpHasCorona,#Trump,1611
#TrumpHasCorona,#TrumpCovid,1555
#TrumpHasCorona,#coronavirus,97
#TrumpHasCorona,#Trump2020,47
#TrumpHasCorona,#COVIDIOTS,43
#TrumpHasCorona,#DonaldTrump,32
#TrumpHasCorona,#WearAMask,25
#TrumpHasCorona,#MAGA,12
#COVID19,#Corona,657
#Corona,#Trump,1484
#Corona,#TrumpHasCovid,373
#Corona,#COVID,19
#Corona,#coronavirus,15
#Corona,#Coronavirus,12
#Corona,#TrumpHasCorona,10
#Corona,#TrumpCovid,9
#COVID19,#BREAKING,604
#BREAKING,#Trump,476
#BREAKING,#TrumpHasCovid,76
#COVID19,#MAGA,555
#MAGA,#TrumpHasCovid,1152
#MAGA,#Trump2020,1047
#MAGA,#Trump,257
#MAGA,#SaturdayThoughts,224
#MAGA,#coronavirus,206
#MAGA,#TrumpVirus,27
#COVID19,#SaturdayThoughts,493
#SaturdayThoughts,#SaturdayMotivation,12426
#SaturdayThoughts,#TrumpHasCovid,893
#SaturdayThoughts,#TrumpCovid,362
#SaturdayThoughts,#Trump,341
#SaturdayThoughts,#coronavirus,252
#SaturdayThoughts,#MAGA,224
#SaturdayThoughts,#Trump2020,188
#SaturdayThoughts,#SaturdayMorning,90
