src,dst,count
#Coronavirus,@robert_fietzke,356
#Coronavirus,@realDonaldTrump,217
@realDonaldTrump,@glamelegance,12380
#Coronavirus,@TomFitton,75
@TomFitton,@realDonaldTrump,2873
#Coronavirus,@OlafGersemann,64
#Coronavirus,@glamelegance,63
@glamelegance,@realDonaldTrump,12387
#Coronavirus,@Jimcorrsays,55
#Coronavirus,@watch_union,35
#Coronavirus,@Mohaddessin,25
#Coronavirus,@ReporteYa,24
@ReporteYa,@realDonaldTrump,18
#Coronavirus,@charleyw,15
#Coronavirus,@pick291,7
#Coronavirus,@WHO,7
@WHO,@realDonaldTrump,17
