src,dst,count
#TheFemaleArtist,@taylorswift13,10509
@taylorswift13,@blindingrep,2799
@taylorswift13,@YSTan99,1697
@taylorswift13,@Votingnation13,898
@taylorswift13,@justlovinswift,856
@taylorswift13,@cupcakeswiffer,552
@taylorswift13,@melodramaswift1,548
@taylorswift13,@TChartSwift,503
@taylorswift13,@REDfolklore,483
@taylorswift13,@peopleschoice,468
@taylorswift13,@taylornation13,426
@taylorswift13,@taysdevil,406
@taylorswift13,@taylorgains13,390
@taylorswift13,@TayIorVoteStats,371
@taylorswift13,@rep_bitch,367
@taylorswift13,@marlofasia,334
@taylorswift13,@glossywallows,326
@taylorswift13,@TSonRadio,302
@taylorswift13,@augustwhore13,301
@taylorswift13,@taytaeshoe,261
@taylorswift13,@TheSwiftSociety,254
@taylorswift13,@godiswift,251
@taylorswift13,@Magoa2AM,242
@taylorswift13,@AndyanmO,222
@taylorswift13,@taydrug,218
@taylorswift13,@TSwiftNewsLA,214
@taylorswift13,@treepaine,210
@taylorswift13,@TSwiftWRLD,191
@taylorswift13,@lullabiesfly,191
@taylorswift13,@shadyswift89,179
@taylorswift13,@fancysnaake,169
@taylorswift13,@breakble_heaven,158
@taylorswift13,@lillyswiftt13,154
@taylorswift13,@zhafearless,136
#TheFemaleArtist,@ArianaGrande,2581
@ArianaGrande,@infoari,948
@ArianaGrande,@wildestscreamz,627
@ArianaGrande,@ArianaVoteStats,484
@ArianaGrande,@sarasfilter,367
@ArianaGrande,@peopleschoice,242
@ArianaGrande,@midnightgio,206
@ArianaGrande,@arianafanhun,188
@ArianaGrande,@denymoonlight,179
@ArianaGrande,@arianatorswildt,125
@ArianaGrande,@onlyorbiit,80
@ArianaGrande,@votes4ag,56
@ArianaGrande,@taylorswift13,36
#TheFemaleArtist,@ArianaVoteStats,2038
@ArianaVoteStats,@ArianaGrande,484
@ArianaVoteStats,@JoacoUpdates,247
@ArianaVoteStats,@arianatorswildt,85
@ArianaVoteStats,@arianafanhun,58
@ArianaVoteStats,@infoari,18
@ArianaVoteStats,@onlyorbiit,10
#TheFemaleArtist,@blindingrep,1640
@blindingrep,@taylorswift13,2779
@blindingrep,@peopleschoice,52
@blindingrep,@taysdevil,26
@blindingrep,@YSTan99,12
@blindingrep,@TayIorVoteStats,12
@blindingrep,@taytaeshoe,10
@blindingrep,@TSonRadio,8
#TheFemaleArtist,@YSTan99,909
@YSTan99,@taylorswift13,1704
@YSTan99,@peopleschoice,24
@YSTan99,@blindingrep,12
@YSTan99,@rep_bitch,10
@YSTan99,@TayIorVoteStats,7
@YSTan99,@glossywallows,5
@YSTan99,@taydrug,4
@YSTan99,@taylornation13,4
#TheFemaleArtist,@infoari,446
@infoari,@ArianaGrande,1037
@infoari,@peopleschoice,43
@infoari,@ArianaVoteStats,18
@infoari,@onlyorbiit,3
#TheFemaleArtist,@Votingnation13,354
@Votingnation13,@taylorswift13,898
@Votingnation13,@rep_bitch,11
#TheFemaleArtist,@TSwiftNewsLA,347
@TSwiftNewsLA,@taylorswift13,214
@TSwiftNewsLA,@treepaine,112
@TSwiftNewsLA,@augustwhore13,2
@TSwiftNewsLA,@TSonRadio,1
@TSwiftNewsLA,@taylornation13,1
#TheFemaleArtist,@justlovinswift,335
@justlovinswift,@taylorswift13,616
@justlovinswift,@cupcakeswiffer,49
@justlovinswift,@taylornation13,6
@justlovinswift,@TayIorVoteStats,1
@justlovinswift,@rep_bitch,1
@justlovinswift,@peopleschoice,1
#TheFemaleArtist,@melodramaswift1,329
@melodramaswift1,@taylorswift13,547
@melodramaswift1,@glossywallows,4
@melodramaswift1,@taytaeshoe,3
@melodramaswift1,@YSTan99,1
@melodramaswift1,@taylornation13,1
#TheFemaleArtist,@peopleschoice,326
@peopleschoice,@taylorswift13,452
@peopleschoice,@ArianaGrande,242
@peopleschoice,@taylornation13,64
@peopleschoice,@blindingrep,52
@peopleschoice,@infoari,43
@peopleschoice,@YSTan99,24
@peopleschoice,@glossywallows,23
#TheFemaleArtist,@taylorgains13,316
@taylorgains13,@taylorswift13,390
