src,dst,count
#coronavirus,@realDonaldTrump,390
@realDonaldTrump,@POTUS,756
@realDonaldTrump,@TeamTrump,454
@realDonaldTrump,@BrookeSingman,344
#coronavirus,@TeamTrump,334
@TeamTrump,@realDonaldTrump,454
@TeamTrump,@BrookeSingman,343
@TeamTrump,@POTUS,8
#coronavirus,@BrookeSingman,333
@BrookeSingman,@realDonaldTrump,344
@BrookeSingman,@TeamTrump,343
#coronavirus,@Tombx7M,203
@Tombx7M,@realDonaldTrump,28
#coronavirus,@WalidPhares,115
@WalidPhares,@jairbolsonaro,147
@WalidPhares,@realDonaldTrump,4
@WalidPhares,@POTUS,3
#coronavirus,@jairbolsonaro,115
@jairbolsonaro,@WalidPhares,147
@jairbolsonaro,@realDonaldTrump,8
@jairbolsonaro,@POTUS,3
#coronavirus,@DrDenaGrayson,89
#coronavirus,@80_mcswan,71
#coronavirus,@David_Leavitt,56
@David_Leavitt,@realDonaldTrump,34
#coronavirus,@TalbertSwan,47
@TalbertSwan,@realDonaldTrump,26
#coronavirus,@POTUS,12
@POTUS,@realDonaldTrump,793
#coronavirus,@CMonteroOficial,11
@CMonteroOficial,@realDonaldTrump,16
#coronavirus,@EFEnoticias,10
#coronavirus,@BuckerooBonzai,8
#coronavirus,@QuickTake,8
#coronavirus,@NatureNews,7
#coronavirus,@Jerusalem_Post,6
@Jerusalem_Post,@realDonaldTrump,3
#coronavirus,@thewebbix,6
#coronavirus,@TeamPelosi,5
@TeamPelosi,@realDonaldTrump,16
#coronavirus,@IrmaRaste,5
#coronavirus,@AlArabiya_Eng,5
#coronavirus,@smart_whit,5
@smart_whit,@realDonaldTrump,8
@smart_whit,@POTUS,5
#coronavirus,@scotslassie56,4
#coronavirus,@kim,4
#coronavirus,@MEK_Iran,4
