#indian,#news,2
#india,#china,12
#india,$1153397353581121536,3
#india,$65371489,3
#news,#AtalTunnel,27
#instagram,#love,27
#india,$1270016328523485187,2
#news,#breakingnews,26
#india,$1135868303174381573,3
#instagram,#news,8
#india,$1306857713733742593,2
#india,#breakingnews,9
#the_hilight,#latestnews,5
#india,$1237749766739636224,2
#india,$1251489108221759489,3
#india,$1284005845349527552,2
#india,#news,16
#latestnews,#news,7
#india,$881604271,3
#india,#AtalTunnel,12
#india,#coronavirus,9
#india,#instagram,10
#latestnews,#the_hilight,5
#breakingnews,#news,26
#breakingnews,#latestnews,10
src,dst,count
#indian,#china,2
#india,$1273748423234056193,5
#india,#love,6
#news,#coronavirus,31
#the_hilight,#breakingnews,5
#latestnews,#breakingnews,10
#india,#Pakistan,6
#india,$3433938161,4
#india,$1212392230029127680,3
#india,#indian,5
#the_hilight,#news,5
#india,#the_hilight,5
#india,#latestnews,5
#india,#fakegandhi,6
