src,dst,count
$36327407,@narendramodi,7
@narendramodi,@PMOIndia,39348
@narendramodi,@jairamthakurbjp,3242
@narendramodi,@RahulGandhi,2754
$36327407,@htshowbiz,5
$36327407,@htdelhi,3
@htdelhi,@KarnHT,4
$36327407,@utpal_parashar,2
$36327407,@hemendraht,2
@hemendraht,@shivsunny,4
$36327407,@KarnHT,2
@KarnHT,@htdelhi,4
$36327407,@HTSportsNews,2
@HTSportsNews,@rkmrasesh,1
@HTSportsNews,@arnabsentweet,1
$36327407,@rkmrasesh,1
@rkmrasesh,@arnabsentweet,1
@rkmrasesh,@HTSportsNews,1
$36327407,@JayaswalRajeev,1
$36327407,@aliqasim,1
@aliqasim,@GreaterBombay,1
$36327407,@shruti26tomar,1
$36327407,@smritikak,1
$36327407,@subhashpathak,1
$36327407,@htpune,1
$36327407,@RahulGandhi,1
@RahulGandhi,@priyankagandhi,40996
@RahulGandhi,@INCIndia,16969
@RahulGandhi,@narendramodi,2781
@RahulGandhi,@PMOIndia,924
$36327407,@arnabsentweet,1
@arnabsentweet,@rkmrasesh,1
@arnabsentweet,@HTSportsNews,1
$36327407,@INCIndia,1
@INCIndia,@RahulGandhi,16971
@INCIndia,@priyankagandhi,15816
@INCIndia,@narendramodi,1214
@INCIndia,@PMOIndia,235
$36327407,@HTPunjab,1
@HTPunjab,@RahulGandhi,2
@HTPunjab,@INCIndia,1
$36327407,@HindustanTimes,1
$36327407,@KhairnarAbhay,1
$36327407,@PMOIndia,1
@PMOIndia,@narendramodi,39463
@PMOIndia,@RahulGandhi,858
$36327407,@jairamthakurbjp,1
@jairamthakurbjp,@narendramodi,3242
@jairamthakurbjp,@PMOIndia,542
$36327407,@neerajwriting,1
$36327407,@priyankagandhi,1
@priyankagandhi,@RahulGandhi,41609
@priyankagandhi,@INCIndia,15829
@priyankagandhi,@narendramodi,617
@priyankagandhi,@PMOIndia,469
$36327407,@shivsunny,1
@shivsunny,@hemendraht,4
$36327407,@tanmaynews,1
$36327407,@GreaterBombay,1
@GreaterBombay,@aliqasim,1
