src,dst,count
$37034483,#Hathras,10
#Hathras,#RahulGandhi,15013
#Hathras,#HathrasCase,5976
#Hathras,#PriyankaGandhiVadra,2673
#Hathras,#AtalTunnel,345
$37034483,#SushantSinghRajputCase,5
#SushantSinghRajputCase,#HathrasCase,3191
#SushantSinghRajputCase,#NDTVExclusive,3
$37034483,#PriyankaGandhiVadra,4
#PriyankaGandhiVadra,#RahulGandhi,5773
#PriyankaGandhiVadra,#Hathras,2673
#PriyankaGandhiVadra,#HathrasCase,157
$37034483,#AtalTunnel,4
#AtalTunnel,#Hathras,283
#AtalTunnel,#RahulGandhi,31
$37034483,#RahulGandhi,2
#RahulGandhi,#Hathras,15001
#RahulGandhi,#PriyankaGandhiVadra,5773
#RahulGandhi,#HathrasCase,2165
#RahulGandhi,#AtalTunnel,31
$37034483,#NDTVExclusive,1
#NDTVExclusive,#SushantSinghRajputCase,3
#NDTVExclusive,#Hathras,1
#NDTVExclusive,#RahulGandhi,1
$37034483,#HathrasCase,1
#HathrasCase,#Hathras,5976
#HathrasCase,#SushantSinghRajputCase,3191
#HathrasCase,#RahulGandhi,2165
#HathrasCase,#PriyankaGandhiVadra,143
$37034483,#Rafale,1
$37034483,#FarmLaws,1
#FarmLaws,#RahulGandhi,3
#FarmLaws,#Hathras,2
$37034483,#MIvsSRH,1
#MIvsSRH,#IPL2020,1177
#MIvsSRH,#MIvSRH,150
$37034483,#MIvSRH,1
#MIvSRH,#IPL2020,298
#MIvSRH,#MIvsSRH,150
$37034483,#IPL2020,1
#IPL2020,#MIvsSRH,1176
#IPL2020,#MIvSRH,298
