src,dst,count
$37034483,#Hathras,7
#Hathras,#RahulGandhi,14871
#Hathras,#HathrasCase,5795
#Hathras,#PriyankaGandhiVadra,2628
#Hathras,#AtalTunnel,341
$37034483,#SushantSinghRajputCase,5
#SushantSinghRajputCase,#HathrasCase,3180
#SushantSinghRajputCase,#NDTVExclusive,3
$37034483,#AtalTunnel,4
#AtalTunnel,#Hathras,279
#AtalTunnel,#RahulGandhi,28
$37034483,#PriyankaGandhiVadra,3
#PriyankaGandhiVadra,#RahulGandhi,5701
#PriyankaGandhiVadra,#Hathras,2628
#PriyankaGandhiVadra,#HathrasCase,154
$37034483,#RahulGandhi,2
#RahulGandhi,#Hathras,14859
#RahulGandhi,#PriyankaGandhiVadra,5701
#RahulGandhi,#HathrasCase,2162
#RahulGandhi,#AtalTunnel,28
$37034483,#NDTVExclusive,1
#NDTVExclusive,#SushantSinghRajputCase,3
#NDTVExclusive,#Hathras,1
#NDTVExclusive,#RahulGandhi,1
$37034483,#HathrasCase,1
#HathrasCase,#Hathras,5795
#HathrasCase,#SushantSinghRajputCase,3180
#HathrasCase,#RahulGandhi,2162
#HathrasCase,#PriyankaGandhiVadra,140
