src,dst,count
*election,#ALP,30
*election,#Vote,27
*election,#AkureShootings,21
*election,#FACT,13
*election,#President,6
#President,#Trump,10
#President,#Idiot,6
*election,#TrumpHasCovid,6
#TrumpHasCovid,#Trump,103
*election,#Idiot,6
#Idiot,#President,6
*election,#FoxNews,5
*election,#Election2020,4
#Election2020,#Trump,8
#Election2020,#TrumpHasCovid,6
#Election2020,#Vote,4
*election,#SCSTOBCMinorityLivesMatter,4
*election,#Trump,4
#Trump,#Trump2020,182
#Trump,#TrumpHasCovid,101
*election,#Trump2020,3
#Trump2020,#Trump,182
