src,dst,count
*hathras,#HathrasTapes,100
#HathrasTapes,#HathrasTruthExposed,108
#HathrasTapes,#HathrasCase,63
#HathrasTapes,#BREAKING,51
#HathrasTapes,#DalitLivesMatter,44
*hathras,#BoycottBollywood,42
#BoycottBollywood,#AllEyesOnCBI,1609
*hathras,#AllEyesOnCBI,30
#AllEyesOnCBI,#BoycottBollywood,1972
*hathras,#HathrasCase,27
#HathrasCase,#DalitLivesMatter,143
#HathrasCase,#HathrasTruthExposed,121
#HathrasCase,#HathrasTapes,63
*hathras,#BREAKING,20
#BREAKING,#HathrasTapes,51
#BREAKING,#DalitLivesMatter,37
*hathras,#DalitLivesMatter,17
#DalitLivesMatter,#HathrasCase,143
*hathras,#SatyagrahaForOurDaughters,16
#SatyagrahaForOurDaughters,#HathrasTruthExposed,54
#SatyagrahaForOurDaughters,#DalitLivesMatter,24
*hathras,#कलंक_योगी,6
#कलंक_योगी,#DalitLivesMatter,23
#कलंक_योगी,#HathrasTapes,19
#कलंक_योगी,#HathrasCase,14
#कलंक_योगी,#HathrasTruthExposed,8
*hathras,#WorldMovement4SSR,5
#WorldMovement4SSR,#AllEyesOnCBI,10
#WorldMovement4SSR,#BoycottBollywood,5
*hathras,#पप्पू_पिंकी_शर्म_करो,5
#पप्पू_पिंकी_शर्म_करो,#HathrasTruthExposed,181
#पप्पू_पिंकी_शर्म_करो,#BoycottBollywood,38
*hathras,#HathrasTruthExposed,5
#HathrasTruthExposed,#पप्पू_पिंकी_शर्म_करो,173
#HathrasTruthExposed,#HathrasCase,121
#HathrasTruthExposed,#HathrasTapes,108
#HathrasTruthExposed,#SatyagrahaForOurDaughters,53
*hathras,#HathrasKaSachOnIndiaTV,4
#HathrasKaSachOnIndiaTV,#HathrasTapes,14
#HathrasKaSachOnIndiaTV,#HathrasCase,9
#HathrasKaSachOnIndiaTV,#HathrasTruthExposed,7
#HathrasKaSachOnIndiaTV,#DalitLivesMatter,6
#HathrasKaSachOnIndiaTV,#कलंक_योगी,3
