src,dst,count
"*narendra modi",@KiranKS,972
"*narendra modi",@amitmalviya,845
@amitmalviya,@narendramodi,165
"*narendra modi",@kishanreddybjp,711
@kishanreddybjp,@narendramodi,103
"*narendra modi",@DrPremKrBihar,297
"*narendra modi",@vinayak_jain,76
"*narendra modi",@kamalthakurinc,40
"*narendra modi",@EconomicTimes,28
@EconomicTimes,@timesofindia,3
"*narendra modi",@Ethirajans,14
"*narendra modi",@timesofindia,10
@timesofindia,@narendramodi,60
"*narendra modi",@YallappaGulbar1,10
"*narendra modi",@theAmeyRane,7
"*narendra modi",@narendramodi,7
