src,dst,count
*vaccine,#coronavirus,8
#coronavirus,#COVID19,117
#coronavirus,#TrumpHasCovid,17
*vaccine,#GodWins,4
#GodWins,#TrustThePlan,3
#GodWins,#COVID19,2
*vaccine,#TrustThePlan,4
#TrustThePlan,#GodWins,3
*vaccine,#COVID19,3
#COVID19,#TrumpHasCovid,134
#COVID19,#coronavirus,117
*vaccine,#DalitLivesMatter,2
#DalitLivesMatter,#SCSTOBCMinorityLivesMatter,164
*vaccine,#varicella,2
*vaccine,#STUDY,1
*vaccine,#Democrat,1
*vaccine,#Biden,1
#Biden,#COVID19,12
*vaccine,#VoteBlueToEndThisNightmare,1
#VoteBlueToEndThisNightmare,#VoteBidenHarris2020,8
#VoteBlueToEndThisNightmare,#TrumpHasCovid,4
*vaccine,#VoteBidenHarris2020,1
#VoteBidenHarris2020,#VoteBlueToEndThisNightmare,8
#VoteBidenHarris2020,#COVID19,5
*vaccine,#TrumpHasCovid,1
#TrumpHasCovid,#COVID19,134
#TrumpHasCovid,#coronavirus,15
*vaccine,#Venezuela,1
#Venezuela,#Cuba,4
#Venezuela,#coronavirus,3
#Venezuela,#COVID19,3
*vaccine,#SundayThoughts,1
#SundayThoughts,#sundayvibes,196
#SundayThoughts,#Message_To_KanganaRanaut,25
#SundayThoughts,#SCSTOBCMinorityLivesMatter,15
#SundayThoughts,#COVID19,14
*vaccine,#Cuba,1
#Cuba,#Venezuela,4
#Cuba,#COVID19,3
*vaccine,#sundayvibes,1
#sundayvibes,#SundayThoughts,196
#sundayvibes,#Message_To_KanganaRanaut,31
#sundayvibes,#SCSTOBCMinorityLivesMatter,21
#sundayvibes,#BoycottBollywood,13
#sundayvibes,#DalitLivesMatter,10
#sundayvibes,#SatyagrahaForOurDaughters,10
*vaccine,#SatyagrahaForOurDaughters,1
#SatyagrahaForOurDaughters,#DalitLivesMatter,22
#SatyagrahaForOurDaughters,#SCSTOBCMinorityLivesMatter,10
#SatyagrahaForOurDaughters,#sundayvibes,10
*vaccine,#SCSTOBCMinorityLivesMatter,1
#SCSTOBCMinorityLivesMatter,#DalitLivesMatter,164
#SCSTOBCMinorityLivesMatter,#Message_To_KanganaRanaut,33
#SCSTOBCMinorityLivesMatter,#JusticeforDalits,27
#SCSTOBCMinorityLivesMatter,#sundayvibes,21
#SCSTOBCMinorityLivesMatter,#BoycottBollywood,20
#SCSTOBCMinorityLivesMatter,#SundayThoughts,15
*vaccine,#Message_To_KanganaRanaut,1
#Message_To_KanganaRanaut,#BoycottBollywood,51
#Message_To_KanganaRanaut,#SCSTOBCMinorityLivesMatter,33
#Message_To_KanganaRanaut,#sundayvibes,31
#Message_To_KanganaRanaut,#SundayThoughts,25
#Message_To_KanganaRanaut,#DalitLivesMatter,8
*vaccine,#MIvsSRH,1
*vaccine,#KanganaRanawat,1
#KanganaRanawat,#BoycottBollywood,2
#KanganaRanawat,#Message_To_KanganaRanaut,2
#KanganaRanawat,#JusticeforDalits,1
#KanganaRanawat,#MIvsSRH,1
#KanganaRanawat,#SCSTOBCMinorityLivesMatter,1
#KanganaRanawat,#SatyagrahaForOurDaughters,1
#KanganaRanawat,#SundayThoughts,1
#KanganaRanawat,#sundayvibes,1
*vaccine,#JusticeforDalits,1
#JusticeforDalits,#SCSTOBCMinorityLivesMatter,27
#JusticeforDalits,#DalitLivesMatter,14
#JusticeforDalits,#Message_To_KanganaRanaut,6
#JusticeforDalits,#sundayvibes,4
#JusticeforDalits,#BoycottBollywood,3
*vaccine,#BoycottBollywood,1
#BoycottBollywood,#Message_To_KanganaRanaut,51
