src,dst,count
#JagameThandhiram,@dhanushkraja,19258
#JagameThandhiram,@Dhanush_Trends,4560
#JagameThandhiram,@Cuddalore_DFC,4171
#JagameThandhiram,@B_RAJA_,3646
#JagameThandhiram,@dhanush__appu,3287
#JagameThandhiram,@dhanush_chow3,2435
#JagameThandhiram,@Nellaipandi353,2327
#JagameThandhiram,@Kamaraj_Dfc,2102
#JagameThandhiram,@singlemendfc,1769
#JagameThandhiram,@DirectorS_Shiva,1602
#JagameThandhiram,@dhanushfans24x7,1550
#JagameThandhiram,@Madurai_TNDFC,1349
#JagameThandhiram,@TenkasiDfc,1264
#JagameThandhiram,@VetriMaaran,1256
#JagameThandhiram,@Nellai__Dfc,1212
#JagameThandhiram,@southchennaidfc,1131
#JagameThandhiram,@Arul_Kovai_dfc,1119
#JagameThandhiram,@velailla_rajesh,867
#JagameThandhiram,@ThanjaiHeadDfc,820
#JagameThandhiram,@thiruvallur_D,764
#JagameThandhiram,@AsuranSonai,699
#JagameThandhiram,@Dhanush_Saravan,699
#JagameThandhiram,@sandydfc,660
#JagameThandhiram,@DhanushFans_TN,658
#JagameThandhiram,@KuttyMani_DFC,623
#JagameThandhiram,@JTSaranVersion,611
#JagameThandhiram,@KanyaKumariDFC,598
#JagameThandhiram,@DhanushWarriors,597
#JagameThandhiram,@COVAIdhanushFc,591
#JagameThandhiram,@deepak_dhanush,584
#JagameThandhiram,@Muni2019,574
#JagameThandhiram,@DhanushFc,516
#JagameThandhiram,@gvprakash,499
#JagameThandhiram,@Ammu_Abhirami,474
#JagameThandhiram,@DhanushCampaign,446
#JagameThandhiram,@Seenidfc_offl,439
#JagameThandhiram,@thiruvallur_DFC,437
#JagameThandhiram,@Dhanush_mani_,417
#JagameThandhiram,@Dhivyaalvel,404
#JagameThandhiram,@theVcreations,392
#JagameThandhiram,@Mersalarasan25,362
#JagameThandhiram,@KuttyKishon_,345
#JagameThandhiram,@Itz_TheriBaby,335
#JagameThandhiram,@ManjuWarrier4,335
#JagameThandhiram,@Dharun21132457,327
#JagameThandhiram,@DhanushArun53,326
#JagameThandhiram,@DFgirl_Yuktha,312
#JagameThandhiram,@PalanidhanKumar,311
#JagameThandhiram,@PollachiDFC28,307
#JagameThandhiram,@ITZ_DFC,301
#JagameThandhiram,@DfcSalem,300
#JagameThandhiram,@sash041075,288
#JagameThandhiram,@berry_cuts,280
#JagameThandhiram,@dhanushragul123,266
#JagameThandhiram,@Anbu_Sivasamy,264
#JagameThandhiram,@ManithanMustha1,258
#JagameThandhiram,@Rajeshajay15,243
#JagameThandhiram,@RAJASEKARAN_cud,242
#JagameThandhiram,@Deepadhanush28,241
#JagameThandhiram,@MMvdfc,238
#JagameThandhiram,@RParun1,234
#JagameThandhiram,@VelrajR,226
#JagameThandhiram,@ActorDhanushFc,218
#JagameThandhiram,@Call_Me_Maari,217
#JagameThandhiram,@ErodeYouthDfc,216
#JagameThandhiram,@PeterHeinOffl,212
#JagameThandhiram,@jones_jelina,211
#JagameThandhiram,@KamarajShabilan,211
#JagameThandhiram,@AnnanBloods,207
#JagameThandhiram,@itz_Indhu,205
#JagameThandhiram,@KOKKIKUMARUDFC_,196
#JagameThandhiram,@jigar_Dfan,192
#JagameThandhiram,@KenKarunaas,192
#JagameThandhiram,@dhanush_rithik,189
#JagameThandhiram,@DFCMtpyouth,187
#JagameThandhiram,@HeadTheni,182
#JagameThandhiram,@Karnan_Januz,180
#JagameThandhiram,@SuruliPasubathi,180
#JagameThandhiram,@DhanushThiyagu2,169
#JagameThandhiram,@NSParthiban6,167
#JagameThandhiram,@coimbatore_DFC,160
#JagameThandhiram,@Maarisripathy19,159
#JagameThandhiram,@Rajendr73873020,157
#JagameThandhiram,@Dhanush__swag,155
#JagameThandhiram,@RamKris24199700,154
#JagameThandhiram,@Itz_DFC_,149
