src,dst,count
$36327407,#COVID19,8
$36327407,#KanganaRanaut,3
$36327407,#IPL2020,2
$36327407,#FarmBills,2
$36327407,#Covid19,2
$36327407,#BiharElections2020,2
$36327407,#coronavirus,2
$36327407,#WATCH,1
$36327407,#NewsAlert,1
$36327407,#USPresidentialElections2020,1
$36327407,#KKRvSRH,1
$36327407,#KaranJohar,1
$36327407,#UNGA,1
$36327407,#BharatBandh,1
$36327407,#OPPOF17,1
$36327407,#Creta,1
$36327407,#Seltos,1
$36327407,#SaddaPunjab,1
$36327407,#RheaChakraborty,1
$36327407,#YehHaiNayiDilli,1
$36327407,#ItsViral,1
$36327407,#SushantSinghRajput,1
$36327407,#HTTopStory,1
$36327407,#UmarKhalid,1
$36327407,#pandemic,1
$36327407,#HTExclusive,1
$36327407,#LIVEAlert,1
$36327407,#Rafale,1
$36327407,#Debates2020,1
