src,dst,count
$240649814,#FranklySpeakingWithKangana,7
$240649814,#EXCLUSIVE,7
$240649814,#Breaking,7
$240649814,#NewsAlert,4
$240649814,#KanganaVsThackerayExclusive,4
$240649814,#MahaSarkarVsKangana,4
$240649814,#Exclusive,4
$240649814,#RafalePowersIndia,2
$240649814,#BollywoodDrugTwist,2
$240649814,#RheaNamesBTownStars,1
$240649814,#FordIndia,1
$240649814,#FordEndeavourSport,1
$240649814,#FordEndeavour,1
$240649814,#Ford,1
$240649814,#AgricultureBills,1
$240649814,#KXIPvsDC,1
$240649814,#IPL2020,1
