from,to,count
#COVID19,#coronavirus,134
#COVID19,#SafetyFirst,125
#COVID19,#pandemic,86
#COVID19,#TrumpKnew,65
#COVID19,#NeverForget,54
#COVID19,#Florida,51
#COVID19,#Trump,43
#COVID19,#Election2020,39
#COVID19,#Arizona,38
#COVID19,#Texas,37
#COVID19,#NorthCarolina,36
#COVID19,#Georgia,36
#COVID19,#VoteEarly,36
#COVID19,#mascarilla,34
#COVID19,#Corona,34
#COVID19,#India,33
#COVID19,#Wisconsin,32
#COVID19,#September11,30
#COVID19,#CCPVirus,30
#COVID19,#mentalhealth,28
#COVID19,#Colorado,26
#COVID19,#Minnesota,26
#COVID19,#Maine,26
#COVID19,#Arkansas,26
#COVID19,#Coronavirus,25
#COVID19,#FaucitheFraud,24
#COVID19,#Woodward,23
#COVID19,#COVID,22
#COVID19,#Xitler,21
#COVID19,#Covid19UK,21
#COVID19,#XiJinping,21
#COVID19,#Chinazi,21
#COVID19,#MentalHealth,18
#COVID19,#BLM,17
#COVID19,#QuedateEnCasa,16
#COVID19,#USA,15
#COVID19,#Russia,15
#COVID19,#China,14
#COVID19,#ChinaVirus,14
#COVID19,#NewYork,14
#COVID19,#Covid_19,13
#COVID19,#US,13
#COVID19,#COVIDIOTS,13
#COVID19,#HazQNoFalte,13
#COVID19,#vaccine,12
#COVID19,#money,11
#COVID19,#Masks,11
#COVID19,#Germany,11
#COVID19,#Spain,10
#COVID19,#houstontx,10
#COVID19,#flysaa,10
#COVID19,#auspol,10
#COVID19,#โควิด19,10
#COVID19,#Italy,10
#COVID19,#Zambia,10
#COVID19,#WashingtonDC,10
#COVID19,#uk,10
#COVID19,#PLANDEMIC,10
#COVID19,#EVENT201,10
#COVID19,#usa,10
#COVID19,#Maharashtra,10
#COVID19,#Forbes,10
#COVID19,#water,10
#COVID19,#Philippines,10
#COVID19,#Norway,10
#COVID19,#SCOTUS,10
#COVID19,#schoolsreopening,10
#COVID19,#SouthAfrica,10
#COVID19,#GetUsPPE,9
#COVID19,#MentalHealthAwareness,9
#COVID19,#NeverForget911,9
#COVID19,#TrumpLiesAmericansDie,9
#COVID19,#TrumpChaos,9
#COVID19,#BillGatesBioTerrorist,9
#COVID19,#CovidUK,9
#COVID19,#Brazil,9
#COVID19,#Brexit,9
#COVID19,#GoodMorning,9
#COVID19,#coronavirusuk,9
#COVID19,#WearAMaskSaveALife,9
#COVID19,#BREAKING,8
#COVID19,#โควิด_19,8
#COVID19,#COVID19LIES,8
#COVID19,#CoronavirusPandemic,8
#COVID19,#ClimateChange,8
#COVID19,#COVID__19,8
#COVID19,#America,8
#COVID19,#Biden,8
#COVID19,#YoMeCuido,8
#COVID19,#คมชัดลึก,8
#COVID19,#TrumpVirus,8
#COVID19,#economy,8
#COVID19,#TrumpTapes,8
#COVID19,#UK,7
#COVID19,#SARSCoV2,7
#COVID19,#SuicidePrevention,7
#COVID19,#depression,7
#COVID19,#CoronavirusOutbreak,7
#COVID19,#Mentalhealth,7
#COVID19,#TrumpLiedPeopleDied,7
#COVID19,#GDP,7
#COVID19,#lockdown,7
#COVID19,#HeKnew,7
#COVID19,#Delhi,7
#COVID19,#Canada,6
#COVID19,#Joy,6
#COVID19,#JoyTrain,6
#COVID19,#ToryShambles,6
#COVID19,#TrumpDoesntCare,6
#COVID19,#CovidMarshalls,6
#COVID19,#brexitbritain,6
#COVID19,#TrumpPressConference,6
#COVID19,#TrumpVirusDeathToll193K,6
#COVID19,#remoaners,6
#COVID19,#CancelNexflix,6
#COVID19,#recession,6
#COVID19,#WearAMask,6
#COVID19,#CoronaVirusUpdate,6
#COVID19,#Quote,6
#COVID19,#Mindfulness,6
#COVID19,#cdnpoli,6
#COVID19,#Anxiety,6
#COVID19,#mentalillness,6
#COVID19,#sport,6
#COVID19,#CoronaVirusDE,6
#COVID19,#Kindness,6
#COVID19,#Fact,6
#COVID19,#Ontario,6
#COVID19,#GoldenHearts,6
#COVID19,#Michigan,6
#COVID19,#universities,6
#COVID19,#healthcare,5
#COVID19,#IAM,5
#COVID19,#health,5
#COVID19,#September11th,5
#COVID19,#TrumpKnewVoteBlue,5
#COVID19,#911Remembered,5
#COVID19,#EarlyVoting,5
#COVID19,#BPD,5
#COVID19,#AtmaNirbharBharat,5
#COVID19,#NamjoonDay,5
#COVID19,#California,5
#COVID19,#SaturdayThoughts,5
#COVID19,#BlackLivesMatter,5
#COVID19,#OCD,5
#COVID19,#mentalhealth4all,5
#COVID19,#letfmgserve,5
#COVID19,#LawEnforcement,5
#COVID19,#news,5
#COVID19,#COVID19India,5
#COVID19,#tRumpRecession,5
#COVID19,#SputnikV,5
#COVID19,#LongCovid,5
#COVID19,#Pennsylvania,5
#COVID19,#phobia,5
#COVID19,#Europe,5
#COVID19,#Military,4
#COVID19,#Mexico,4
#COVID19,#911anniversary,4
#COVID19,#Twitter,4
#COVID19,#11Septiembre,4
#COVID19,#wildfires,4
#COVID19,#BackToSchool,4
#COVID19,#COYG,4
#COVID19,#tennis,4
#COVID19,#AstraZeneca,4
#COVID19,#BidenHarris2020,4
#COVID19,#education,4
#COVID19,#Pflegenotstand,4
#COVID19,#TamilNadu,4
#COVID19,#Pakistan,4
#COVID19,#Melbourne,4
#COVID19,#Chinese,4
#COVID19,#Mascarilla,4
#COVID19,#Fachkräftemangel,4
#COVID19,#carefacility,4
#COVID19,#AUSTRALIA,4
#COVID19,#MUFC,4
#COVID19,#TrumpIsARapist,4
#COVID19,#SembramosFuturo,4
#COVID19,#PenceKnew,4
#COVID19,#TrumpLiedAmericansDied,4
#COVID19,#Wien,4
#COVID19,#LOVE,4
#COVID19,#Oxygen,4
#COVID19,#BidenHarris,4
#COVID19,#BritishColumbia,4
#COVID19,#Cuba,4
#COVID19,#FirstResponders,4
#COVID19,#unemployment,4
#COVID19,#Americans,4
#COVID19,#bbnaija2020,4
#COVID19,#Genocide,4
#COVID19,#MachineLearning,4
#COVID19,#thanks,4
#COVID19,#หน้ากากอนามัย,4
#COVID19,#Covidioten,4
#COVID19,#Health,3
#COVID19,#tourism,3
#COVID19,#Covid,3
#COVID19,#healthylifestyle,3
#COVID19,#UNGA,3
#COVID19,#QuédateEnCasa,3
#COVID19,#NosCuidamosASI,3
#COVID19,#SocialDistancing,3
#COVID19,#NYC,3
