src,dst,count
#Revolution4SSR,@ishkarnBHANDARI,352
#Revolution4SSR,@shwetasinghkirt,255
#Revolution4SSR,@arnabofficial9,141
#Revolution4SSR,@ArnabRepubIic,114
#Revolution4SSR,@nilotpalm3,89
#Revolution4SSR,@KrissannB,85
#Revolution4SSR,@Swamy39,74
#Revolution4SSR,@Nidhi_0312,55
#Revolution4SSR,@smitaparikh2,55
#Revolution4SSR,@proud_indian14,46
#Revolution4SSR,@iujjawaltrivedi,39
#Revolution4SSR,@republic,33
#Revolution4SSR,@Republic_Bharat,31
#Revolution4SSR,@PMOIndia,31
#Revolution4SSR,@anky1912,30
#Revolution4SSR,@itsSSR,29
#Revolution4SSR,@vikirti,26
#Revolution4SSR,@Ravinder536R,23
#Revolution4SSR,@iRaviTiwari,22
#Revolution4SSR,@HMOIndia,19
#Revolution4SSR,@GHiwarkar,18
#Revolution4SSR,@KanganaTeam,16
#Revolution4SSR,@narendramodi,14
#Revolution4SSR,@AmitShah,14
#Revolution4SSR,@engineer_inside,13
#Revolution4SSR,@mayureshkrishna,12
#Revolution4SSR,@shekharsuman7,12
#Revolution4SSR,@Chanaky54822206,11
#Revolution4SSR,@Kay72836381,10
#Revolution4SSR,@IshaKaurssr2,9
#Revolution4SSR,@NiteshNRane,9
#Revolution4SSR,@divinemitz,9
#Revolution4SSR,@TweetyKomi,9
#Revolution4SSR,@TimesNow,9
#Revolution4SSR,@fifafooz1,9
#Revolution4SSR,@anupjalota,8
#Revolution4SSR,@arnabofficial_7,8
#Revolution4SSR,@Mukesh_Khanna_,8
#Revolution4SSR,@SunilBNJha,8
#Revolution4SSR,@ArrnabTeam,8
#Revolution4SSR,@varunkapurz,8
#Revolution4SSR,@KirtiSweta,8
#Revolution4SSR,@BeingArnab5,7
#Revolution4SSR,@ravikishann,6
#Revolution4SSR,@RealArnab9,6
#Revolution4SSR,@Ace_Honey_,6
#Revolution4SSR,@ndtv,6
#Revolution4SSR,@OfficeofVa,5
#Revolution4SSR,@ssrukofficial,5
#Revolution4SSR,@NeerajBishtUK01,5
#Revolution4SSR,@anujakapurindia,4
#Revolution4SSR,@Imkgauravmishra,4
#Revolution4SSR,@HalfEducatedSL,4
#Revolution4SSR,@Priyank84461526,4
#Revolution4SSR,@zayniesgal,4
#Revolution4SSR,@mamta_kale,4
#Revolution4SSR,@aiims_nd,4
#Revolution4SSR,@SSRians5,4
#Revolution4SSR,@_PreetiPandey,4
#Revolution4SSR,@AmmyBhardwaj1,4
#Revolution4SSR,@BrandSunnyDeol,4
#Revolution4SSR,@Sush28354459,4
#Revolution4SSR,@ArnabKGoswami,4
#Revolution4SSR,@kanganaoffice9,4
#Revolution4SSR,@Paritos66102274,4
#Revolution4SSR,@MMmass9,4
#Revolution4SSR,@BeingSalmanKhan,4
#Revolution4SSR,@itsJustice4SSR,4
#Revolution4SSR,@pradip103,4
#Revolution4SSR,@ISwetaSing_,4
#Revolution4SSR,@SangeetaSinghB1,3
#Revolution4SSR,@dheeraj63680842,3
#Revolution4SSR,@amitknown,3
#Revolution4SSR,@SalmaleeDabare,3
#Revolution4SSR,@Remember2ndOct,3
#Revolution4SSR,@abinashthakur99,3
#Revolution4SSR,@SUSH_ThePhoton,3
#Revolution4SSR,@ManviTaneja7,3
#Revolution4SSR,@ManavDeshmukh09,3
#Revolution4SSR,@KapilMishra_IND,3
#Revolution4SSR,@SocioTechnocrat,3
#Revolution4SSR,@navikakumar,3
#Revolution4SSR,@AsgarHu15156686,3
#Revolution4SSR,@nilotpalm,3
#Revolution4SSR,@Aki4SSR,3
#Revolution4SSR,@pie_lioness,3
#Revolution4SSR,@AHindinews,3
#Revolution4SSR,@SSRisAliveInUs,3
#Revolution4SSR,@Its_TanayaR,3
#Revolution4SSR,@indiatvnews,3
#Revolution4SSR,@aajtak,3
#Revolution4SSR,@itsArchanaDesh,3
#Revolution4SSR,@iAmSaffronTiger,3
#Revolution4SSR,@vikassinghSrAdv,3
#Revolution4SSR,@vikashranjan,3
#Revolution4SSR,@yogrishiramdev,3
#Revolution4SSR,@withoutthemind,3
#Revolution4SSR,@PSRme1,3
#Revolution4SSR,@Aloksin88568289,3
#Revolution4SSR,@saritasing,3
#Revolution4SSR,@Meenu40520965,3
#Revolution4SSR,@ReallySwara,3
#Revolution4SSR,@ibobbyuppal,3
#Revolution4SSR,@msandependable,3
#Revolution4SSR,@RupaliK94567337,3
#Revolution4SSR,@AdvocateAnanyaC,3
#Revolution4SSR,@RiyaDas11922737,3
#Revolution4SSR,@lostsoul_apu,3
#Revolution4SSR,@Sush_justice,3
#Revolution4SSR,@myogiadityanath,3
#Revolution4SSR,@weathercover,2
#Revolution4SSR,@MeenaKu31831011,2
#Revolution4SSR,@MumbaiPolice,2
#Revolution4SSR,@preetirao,2
#Revolution4SSR,@NareshK81879602,2
#Revolution4SSR,@ABPNews,2
#Revolution4SSR,@ArvindKejriwal,2
#Revolution4SSR,@Newsreader__,2
#Revolution4SSR,@AamAadmiParty,2
#Revolution4SSR,@LutraJay,2
#Revolution4SSR,@LH2507,2
#Revolution4SSR,@d_soul4747,2
#Revolution4SSR,@AmitShahOffice,2
#Revolution4SSR,@Yinduren39,2
#Revolution4SSR,@RatnapriyaD,2
#Revolution4SSR,@Ruppyy,2
#Revolution4SSR,@loststar1421,2
#Revolution4SSR,@rupali0023,2
#Revolution4SSR,@BrainvitaMind,2
#Revolution4SSR,@SwetaSi57130047,2
#Revolution4SSR,@ShikhaP42645499,2
#Revolution4SSR,@TarunMi89137504,2
#Revolution4SSR,@YouTube,2
#Revolution4SSR,@Goswamiarnabb,2
#Revolution4SSR,@AMKTweeting,2
#Revolution4SSR,@Karthik13427794,2
#Revolution4SSR,@Darshu44915813,2
#Revolution4SSR,@Shona21062594,2
#Revolution4SSR,@ChahatRajKapoor,2
#Revolution4SSR,@nonayousef7,2
#Revolution4SSR,@imshreyanarayan,2
#Revolution4SSR,@Sandschet,2
#Revolution4SSR,@singhpreet21,2
#Revolution4SSR,@karuna28aug,2
#Revolution4SSR,@Akanksh66792121,2
#Revolution4SSR,@kritisanon,2
#Revolution4SSR,@DwivediLavina,2
#Revolution4SSR,@Nav1407,2
#Revolution4SSR,@INCIndia,2
#Revolution4SSR,@DebjaniPurkayas,2
#Revolution4SSR,@Iamkomal13,2
#Revolution4SSR,@ajaybaghel_AB,2
#Revolution4SSR,@PVijayK54357391,2
#Revolution4SSR,@TrueInd43511929,2
#Revolution4SSR,@WELOVESUSHANT,2
#Revolution4SSR,@suri_tina,2
#Revolution4SSR,@RoutGc,2
#Revolution4SSR,@surajrays,2
#Revolution4SSR,@surrjeetrathore,2
#Revolution4SSR,@Soumyadipta,2
#Revolution4SSR,@MithunMedia,2
#Revolution4SSR,@deepikapadukone,2
#Revolution4SSR,@ZeeNews,2
#Revolution4SSR,@KrishnaKiDivya,2
#Revolution4SSR,@SamayraSingh22,2
#Revolution4SSR,@amairas_07,2
#Revolution4SSR,@arnabofficial7,2
#Revolution4SSR,@ashishmehra2020,2
#Revolution4SSR,@kamaalrkhan,2
#Revolution4SSR,@sushantf3,2
#Revolution4SSR,@Yashasv09584157,2
#Revolution4SSR,@arvindgunasekar,2
#Revolution4SSR,@Justice4SSRsoon,2
#Revolution4SSR,@ItsZibran,2
#Revolution4SSR,@Sriraks97250542,2
#Revolution4SSR,@Karmahun1,2
#Revolution4SSR,@ManojTiwariMP,2
#Revolution4SSR,@ImSSR8,2
#Revolution4SSR,@JThakers,2
#Revolution4SSR,@MathSir8,2
#Revolution4SSR,@Here_4_sushi,2
#Revolution4SSR,@AnushkaSharma,1
#Revolution4SSR,@AjithaPavithran,1
#Revolution4SSR,@TheUnknown_Dr,1
#Revolution4SSR,@vidhimehta27,1
#Revolution4SSR,@Debjani88289359,1
#Revolution4SSR,@Kangana_Ra,1
#Revolution4SSR,@nanapatakarr,1
#Revolution4SSR,@SSRian4lif,1
#Revolution4SSR,@kritika89,1
#Revolution4SSR,@KapilSharmaK9,1
#Revolution4SSR,@kushavni,1
#Revolution4SSR,@DeviJoyratna,1
#Revolution4SSR,@iamvarunkatoch,1
#Revolution4SSR,@ShantiMurmu11,1
#Revolution4SSR,@indian7474,1
#Revolution4SSR,@indiatv,1
#Revolution4SSR,@pGurus1,1
#Revolution4SSR,@TheU2boy,1
#Revolution4SSR,@SumanSaroha2,1
#Revolution4SSR,@ZoomTV,1
#Revolution4SSR,@CBItweets,1
#Revolution4SSR,@Suvojit66723028,1
#Revolution4SSR,@SushiMona,1
#Revolution4SSR,@SushantSRaja,1
#Revolution4SSR,@CMOMaharashtra,1
#Revolution4SSR,@srishtikachhar1,1
#Revolution4SSR,@phoenixrizing10,1
#Revolution4SSR,@MahataRathu,1
#Revolution4SSR,@DasPankajadas10,1
#Revolution4SSR,@ankit_bardhan7,1
#Revolution4SSR,@KhamoshKhayal,1
#Revolution4SSR,@MohittDahiya,1
#Revolution4SSR,@pallvikalia2,1
#Revolution4SSR,@AuthorPratibha,1
#Revolution4SSR,@besra_indu,1
#Revolution4SSR,@pamTweets4,1
#Revolution4SSR,@vstand4justice,1
#Revolution4SSR,@JUSTICE4SSR721,1
#Revolution4SSR,@RebatiTripura,1
#Revolution4SSR,@MishraKedar1,1
#Revolution4SSR,@OmNamahShivay29,1
#Revolution4SSR,@Prachi93946893,1
#Revolution4SSR,@Pradeep73651965,1
#Revolution4SSR,@Priyank7994,1
#Revolution4SSR,@Randomm27929865,1
#Revolution4SSR,@RealRanwat,1
#Revolution4SSR,@RepublicBhratTV,1
#Revolution4SSR,@ManasviThapar,1
#Revolution4SSR,@Shefali47998023,1
#Revolution4SSR,@Shehzad_Ind,1
#Revolution4SSR,@Shivangdang1,1
#Revolution4SSR,@ShreyaVijay23,1
#Revolution4SSR,@Supritatweets11,1
#Revolution4SSR,@Tweet2Rhea,1
#Revolution4SSR,@VinitaP14,1
#Revolution4SSR,@_ankitabhatia,1
#Revolution4SSR,@MayankS85101980,1
#Revolution4SSR,@MamtaTh45699448,1
#Revolution4SSR,@adityapaic91,1
#Revolution4SSR,@AshwiniPuranik6,1
#Revolution4SSR,@Aiims,1
#Revolution4SSR,@AjeetSinghIND,1
#Revolution4SSR,@Anamika83811168,1
#Revolution4SSR,@AnuragMuskan_,1
#Revolution4SSR,@Archana28160389,1
#Revolution4SSR,@Arnavrp,1
#Revolution4SSR,@ArnawMGoswami,1
#Revolution4SSR,@Arya05Agarwal,1
#Revolution4SSR,@BabliGhosh20,1
#Revolution4SSR,@MLANirajBablu,1
#Revolution4SSR,@BaliarsinghSita,1
#Revolution4SSR,@Flipkart,1
#Revolution4SSR,@Ganesha57115574,1
#Revolution4SSR,@HmO,1
#Revolution4SSR,@IndiaToday,1
#Revolution4SSR,@JoshMathias,1
#Revolution4SSR,@JusticeForSus10,1
#Revolution4SSR,@Khushbo61261588,1
#Revolution4SSR,@adeshguptabjp,1
#Revolution4SSR,@anoopsh61527353,1
#Revolution4SSR,@He53080294,1
#Revolution4SSR,@swami,1
#Revolution4SSR,@ravikishannnnn,1
#Revolution4SSR,@rohini_sgh,1
#Revolution4SSR,@sach_saath,1
#Revolution4SSR,@sagar_lucifer,1
#Revolution4SSR,@shaneila24,1
#Revolution4SSR,@shivang02092420,1
#Revolution4SSR,@sujhp1,1
#Revolution4SSR,@themikumishra,1
#Revolution4SSR,@rakhi_rs93,1
#Revolution4SSR,@vanshik02358559,1
#Revolution4SSR,@vivekanandg,1
#Revolution4SSR,@zahra_chafik,1
#Revolution4SSR,@3024Ssr,1
#Revolution4SSR,@Aadiyogii07,1
#Revolution4SSR,@Akshata04816031,1
#Revolution4SSR,@DC4AUH,1
#Revolution4SSR,@DrJitendraSingh,1
#Revolution4SSR,@ratukhanam0122,1
#Revolution4SSR,@prashantchhaya,1
#Revolution4SSR,@ayvid1212,1
#Revolution4SSR,@himanivarshneya,1
#Revolution4SSR,@bharti_gupte,1
#Revolution4SSR,@bizzare123,1
#Revolution4SSR,@candid_indian_,1
#Revolution4SSR,@deepika_mahulia,1
#Revolution4SSR,@drswamy,1
#Revolution4SSR,@gautam786100,1
#Revolution4SSR,@gigantic_space,1
#Revolution4SSR,@girirajsinghbjp,1
#Revolution4SSR,@EC_2102,1
#Revolution4SSR,@poonam_tisha,1
#Revolution4SSR,@imaheshspeaks,1
#Revolution4SSR,@imshilpasamai,1
#Revolution4SSR,@ips_nupurprasad,1
#Revolution4SSR,@its_Tanusree,1
#Revolution4SSR,@justice22630170,1
#Revolution4SSR,@lostboy54,1
#Revolution4SSR,@nidhileo,1
#Revolution4SSR,@nishikant_dubey,1
#Revolution4SSR,@Drnpokhriyal,1
#Revolution4SSR,@A_AnkitRajput,1
#Revolution4SSR,@EESHITACHAUDHU2,1
#Revolution4SSR,@Pinky87245452,1
#Revolution4SSR,@KishanJ23182618,1
#Revolution4SSR,@MahalakshmiVis1,1
#Revolution4SSR,@MaheshJoshi_MJ,1
#Revolution4SSR,@Mandy65260651,1
#Revolution4SSR,@MeSachin11,1
#Revolution4SSR,@MeghaMind3,1
#Revolution4SSR,@NaamKaKyaKarna,1
#Revolution4SSR,@PreetiJobanput3,1
#Revolution4SSR,@JeetSin08593764,1
#Revolution4SSR,@Radhika7SSR,1
#Revolution4SSR,@RajeshS82660300,1
#Revolution4SSR,@SachBhumi,1
#Revolution4SSR,@SakshiAgarwal00,1
#Revolution4SSR,@Shivi95976147,1
#Revolution4SSR,@Sia18145941,1
#Revolution4SSR,@TumSeHi_,1
#Revolution4SSR,@KamalBohidar,1
#Revolution4SSR,@HereDisha,1
#Revolution4SSR,@YadavNamrita,1
#Revolution4SSR,@vaishaligoradia,1
#Revolution4SSR,@lovelysolanki51,1
#Revolution4SSR,@m_sanmathi,1
#Revolution4SSR,@mp61778924,1
#Revolution4SSR,@saahilchoudhar4,1
#Revolution4SSR,@sur123456789568,1
#Revolution4SSR,@taruna_dutta,1
#Revolution4SSR,@urvoicematters_,1
#Revolution4SSR,@69_supreme3_69,1
#Revolution4SSR,@HemantT94281474,1
#Revolution4SSR,@AnjalaPranathi,1
#Revolution4SSR,@ArnabRepublicc,1
#Revolution4SSR,@ArushiPal7,1
#Revolution4SSR,@Ashmi14005127,1
#Revolution4SSR,@AsthanaPrarthna,1
#Revolution4SSR,@BabyPink1803,1
#Revolution4SSR,@BinduBhoomi,1
#Revolution4SSR,@Vaniell88,1
#Revolution4SSR,@YogiataMalhotr1,1
#Revolution4SSR,@itspriyasonali,1
#Revolution4SSR,@MahakBagha,1
#Revolution4SSR,@Nistha3101,1
#Revolution4SSR,@Revolution_3436,1
#Revolution4SSR,@Susmita24Mitra,1
#Revolution4SSR,@_Its_Sakshi,1
#Revolution4SSR,@BharatofFuture,1
#Revolution4SSR,@ChangeOrg_India,1
#Revolution4SSR,@DrBhoopesh,1
#Revolution4SSR,@NehaPan58936576,1
#Revolution4SSR,@BukhariSyeda512,1
#Revolution4SSR,@RakeshY16610130,1
#Revolution4SSR,@TistaBiswas7,1
#Revolution4SSR,@TiwariBhaiya_,1
#Revolution4SSR,@TwitterIndia,1
#Revolution4SSR,@deepali_gujaran,1
#Revolution4SSR,@kranti_ab,1
#Revolution4SSR,@srai2084,1
#Revolution4SSR,@KirranKaur,1
#Revolution4SSR,@x_Tannii,1
#Revolution4SSR,@_rainbowsalt__,1
#Revolution4SSR,@miss_ritukaur,1
#Revolution4SSR,@alooobhaja,1
#Revolution4SSR,@cydcher,1
#Revolution4SSR,@fa_popy,1
#Revolution4SSR,@gulshan_soul,1
#Revolution4SSR,@hema92163376,1
#Revolution4SSR,@innovative__c,1
#Revolution4SSR,@its_SSR14,1
#Revolution4SSR,@narcoticsbureau,1
#Revolution4SSR,@sundarpichai,1
#Revolution4SSR,@news24tvchannel,1
#Revolution4SSR,@patelsoha18,1
#Revolution4SSR,@priyankasinghch,1
#Revolution4SSR,@rangoliranaut,1
#Revolution4SSR,@rinky_chauhan,1
#Revolution4SSR,@shrutikdoc,1
#Revolution4SSR,@sodumbkapoorr,1
#Revolution4SSR,@kritika53039926,1
#Revolution4SSR,@imsrk,1
#Revolution4SSR,@FANofSSR,1
#Revolution4SSR,@Sadhvi_prachi,1
#Revolution4SSR,@RajanigandhaBi2,1
#Revolution4SSR,@RangoliRanaout,1
#Revolution4SSR,@Richapa41843073,1
#Revolution4SSR,@Riggo87916982,1
#Revolution4SSR,@SANCHIT37453689,1
#Revolution4SSR,@SSRian2101,1
#Revolution4SSR,@SaanyaChopraDua,1
#Revolution4SSR,@SharmaB46328917,1
#Revolution4SSR,@RahulGandhi,1
#Revolution4SSR,@Shwetaaa_10,1
#Revolution4SSR,@SreetamaPalit,1
#Revolution4SSR,@SsShivali,1
#Revolution4SSR,@SushantBSinha,1
#Revolution4SSR,@Swapnils1993,1
#Revolution4SSR,@TandonAnshu,1
#Revolution4SSR,@Team_SushantSR,1
#Revolution4SSR,@RajD04716071,1
#Revolution4SSR,@Preet_29060902,1
#Revolution4SSR,@anuraagmuskaan,1
#Revolution4SSR,@KomalSh54460330,1
#Revolution4SSR,@Gauravkumar_09,1
#Revolution4SSR,@IndraniNegal3,1
#Revolution4SSR,@Its_Ahaana_UK,1
#Revolution4SSR,@Its_swati_Gupta,1
#Revolution4SSR,@Juhi__Scrapbook,1
#Revolution4SSR,@Justice53852132,1
#Revolution4SSR,@KRulezzzz,1
#Revolution4SSR,@LogicalIndian94,1
#Revolution4SSR,@Prati6ha,1
#Revolution4SSR,@MajorPoonia,1
#Revolution4SSR,@ManishaBankhede,1
#Revolution4SSR,@MeenaDasNarayan,1
#Revolution4SSR,@Mita62011539,1
#Revolution4SSR,@Nadia00613848,1
#Revolution4SSR,@Nitharvaan57890,1
#Revolution4SSR,@PPurvi740,1
#Revolution4SSR,@anupamvikash,1
#Revolution4SSR,@beingarun28,1
#Revolution4SSR,@girishfury,1
#Revolution4SSR,@SsssMegha,1
#Revolution4SSR,@JeetuRa36754149,1
#Revolution4SSR,@Kritika92663485,1
#Revolution4SSR,@Rakesh46117303,1
#Revolution4SSR,@RealArnab7,1
#Revolution4SSR,@RishiKu66768809,1
#Revolution4SSR,@SenoritaSanj_47,1
#Revolution4SSR,@Shazza84518576,1
#Revolution4SSR,@TannuPriyah,1
#Revolution4SSR,@Here_forhim,1
#Revolution4SSR,@VijayaYande,1
#Revolution4SSR,@Vineet_T_Dubey,1
#Revolution4SSR,@absolutaesthete,1
#Revolution4SSR,@annekum27,1
#Revolution4SSR,@anulekhachakra5,1
#Revolution4SSR,@ayaanchoudhary,1
#Revolution4SSR,@deepika_lucky,1
#Revolution4SSR,@Ishkaran_Fc,1
#Revolution4SSR,@Faizsixtynine,1
#Revolution4SSR,@bjeena,1
#Revolution4SSR,@its__rupali,1
#Revolution4SSR,@c0c0s_c0sm0s,1
#Revolution4SSR,@deolsimran66,1
#Revolution4SSR,@esther_joseph13,1
#Revolution4SSR,@flowerforthesun,1
#Revolution4SSR,@gulyagilm,1
#Revolution4SSR,@iamSudipto_17,1
#Revolution4SSR,@imVkohli,1
#Revolution4SSR,@mchoudhuryy1,1
#Revolution4SSR,@DarshSi22279148,1
#Revolution4SSR,@msv3625,1
#Revolution4SSR,@pragi08,1
#Revolution4SSR,@rahulraj_oo7,1
#Revolution4SSR,@rssurjewala,1
#Revolution4SSR,@sardesairajdeep,1
#Revolution4SSR,@shalabhmani,1
#Revolution4SSR,@tikeshwartarak1,1
#Revolution4SSR,@wisdomprevails1,1
#Revolution4SSR,@AIIMSRDA,1
