src,dst,count
#DalitLivesMatter,@vrajeshhirjee,1336
#DalitLivesMatter,@HansrajMeena,569
#DalitLivesMatter,@imMAK02,83
#DalitLivesMatter,@suryapsingh_IAS,66
#DalitLivesMatter,@KushaKapila,53
#DalitLivesMatter,@konkonas,53
#DalitLivesMatter,@YashMeghwal,51
#DalitLivesMatter,@DrRituSingh_,46
#DalitLivesMatter,@RahulGandhi,41
#DalitLivesMatter,@Tejaswi2406,35
#DalitLivesMatter,@sardesairajdeep,35
#DalitLivesMatter,@SairaAmbedkar,34
#DalitLivesMatter,@scribe_it,34
#DalitLivesMatter,@unavailabelle,31
#DalitLivesMatter,@myogiadityanath,31
#DalitLivesMatter,@Shilpa_Bhartiy,31
#DalitLivesMatter,@Itsdeepak0709,30
#DalitLivesMatter,@VijayPrakashJi,29
#DalitLivesMatter,@narendramodi,29
#DalitLivesMatter,@meenavoice,29
#DalitLivesMatter,@BhimArmyChief,28
#DalitLivesMatter,@maurya_Dm8897,28
#DalitLivesMatter,@Komalmeena0403,28
#DalitLivesMatter,@saahilmenghani,26
#DalitLivesMatter,@GitanjaliBarua5,25
#DalitLivesMatter,@RahulsinghMark5,24
#DalitLivesMatter,@TribalArmy,24
#DalitLivesMatter,@NetflixIndia,23
#DalitLivesMatter,@AratiKadav,23
#DalitLivesMatter,@kuber8180,22
#DalitLivesMatter,@aajtak,22
#DalitLivesMatter,@1Sshubham,22
#DalitLivesMatter,@DerBolshevik,21
#DalitLivesMatter,@ArvindKejriwal,21
#DalitLivesMatter,@SatyaMeenaSWM,21
#DalitLivesMatter,@AmbedkarCaravan,20
#DalitLivesMatter,@KotwalMeena,20
#DalitLivesMatter,@Khushi9595,20
#DalitLivesMatter,@kidffs,18
#DalitLivesMatter,@urstrulyMahesh,18
#DalitLivesMatter,@ShivaniV2901,18
#DalitLivesMatter,@ReheSamay,18
#DalitLivesMatter,@YogeshM39,17
#DalitLivesMatter,@sagarikaghose,17
#DalitLivesMatter,@mahifarwahaha,16
#DalitLivesMatter,@ThePlacardGuy,16
#DalitLivesMatter,@Ashishyadav04,16
#DalitLivesMatter,@fuckthegvt,15
#DalitLivesMatter,@AchAnkurArya,15
#DalitLivesMatter,@priyankagandhi,15
#DalitLivesMatter,@dumbitch4eva,15
#DalitLivesMatter,@aiparisangh,15
#DalitLivesMatter,@PilotPragpura,14
#DalitLivesMatter,@_garrywalia,14
#DalitLivesMatter,@sankul333,14
#DalitLivesMatter,@ambedkar4life,14
#DalitLivesMatter,@JenAndTonic__,13
#DalitLivesMatter,@PMOIndia,13
#DalitLivesMatter,@Neelam_Culture,13
#DalitLivesMatter,@RichaChadha,13
#DalitLivesMatter,@missbehaves98,13
#DalitLivesMatter,@PavanTej_Dhfm,12
#DalitLivesMatter,@sadcattohours,12
#DalitLivesMatter,@PMLUCKNOW,12
#DalitLivesMatter,@ABPNews,12
#DalitLivesMatter,@aiparisanghw,12
#DalitLivesMatter,@babyyyydaddy,12
#DalitLivesMatter,@adhirayy,11
#DalitLivesMatter,@AbdulTheWriter,11
#DalitLivesMatter,@_ambedkarite,11
