src,dst,count
#COVID19,$23159504,58
#COVID19,$113190456,16
#COVID19,$1301916661004398592,10
#COVID19,$166326763,9
#COVID19,$1305865845416103936,8
#COVID19,$1270807908436017153,8
#COVID19,$57672544,7
#COVID19,$1011952996907962369,6
#COVID19,$1236273574895329281,6
#COVID19,$235966654,5
#COVID19,$1236099716674289666,5
#COVID19,$952247125185720320,5
#COVID19,$1041754187283935234,4
#COVID19,$102411576,4
#COVID19,$141729552,4
#COVID19,$95202580,4
#COVID19,$1266603008315453440,4
#COVID19,$40638800,4
#COVID19,$3245779878,3
#COVID19,$18831926,3
#COVID19,$204353454,3
#COVID19,$1282243407470047232,3
#COVID19,$1064026707546525703,3
#COVID19,$1249314426181877760,3
#COVID19,$1292216657839104007,3
#COVID19,$1143066188047499264,3
#COVID19,$1251252156784676869,3
#COVID19,$3060176153,3
#COVID19,$975779240376504321,2
#COVID19,$1376011723,2
#COVID19,$453639812,2
#COVID19,$105285106,2
#COVID19,$3010098409,2
#COVID19,$147881066,2
#COVID19,$287628232,2
#COVID19,$237519969,2
#COVID19,$1216967176894255104,2
#COVID19,$1494557286,2
#COVID19,$27313315,2
#COVID19,$831411963011948545,2
#COVID19,$100762940,2
#COVID19,$2595138679,2
#COVID19,$2608452822,2
#COVID19,$879332878089420800,2
#COVID19,$167908985,2
#COVID19,$1191009222290477057,2
#COVID19,$871071554754498561,2
#COVID19,$2664830020,2
#COVID19,$862087401757212672,2
#COVID19,$1042172075404865539,2
#COVID19,$27007685,2
#COVID19,$40453904,2
#COVID19,$2715398861,2
#COVID19,$94761188,2
#COVID19,$274170164,2
#COVID19,$845001958557732864,2
#COVID19,$1536943968,2
#COVID19,$305116948,2
#COVID19,$3337430896,2
#COVID19,$3084539741,2
#COVID19,$707271964583403520,2
#COVID19,$1186966535988006912,2
#COVID19,$179314356,2
#COVID19,$1290196204836593664,2
#COVID19,$1212374963782438912,2
#COVID19,$1719189054,2
#COVID19,$1260575268344942593,2
#COVID19,$703270398356541442,2
#COVID19,$1255241053,2
#COVID19,$19043239,2
#COVID19,$439321373,2
#COVID19,$506131716,2
#COVID19,$1252840464,2
#COVID19,$1309719163762438144,2
#COVID19,$49616273,2
