src,dst,count
#Dynamite,@BTS_twt,9199
#Dynamite,@FallonTonight,8781
#Dynamite,@mygtrivias,290
#Dynamite,@BangBangtan_Esp,86
#Dynamite,@BTSNewsBrasil,50
#Dynamite,@WORLDMUSICAWARD,39
#Dynamite,@Army_Connect,30
#Dynamite,@ARMYFRANCE_,5
#Dynamite,@GirlWithLuv24,4
#Dynamite,@BTSNoticia,4
#Dynamite,@BTSx50States,3
#Dynamite,@PTXofficial,3
#Dynamite,@KOlusola,3
#Dynamite,@BTSRadiosTeam,2
#Dynamite,@MundialDelPop10,2
#Dynamite,@alfa913fm,2
#Dynamite,@KTH_Streamer,2
#Dynamite,@Planeta107FM,2
#Dynamite,@RadioPuntoRojo,2
#Dynamite,@rhowardbrowne,2
#Dynamite,@bts_bighit,2
#Dynamite,@MTV,1
#Dynamite,@Kim_ByTaehyung_,1
#Dynamite,@BLACKPINK,1
#Dynamite,@Y100MIAMI,1
#Dynamite,@btsonradio7,1
#Dynamite,@TronquitoDark,1
#Dynamite,@jeonggukieee__,1
#Dynamite,@BTS_streamPeru,1
#Dynamite,@SquadArmypy,1
#Dynamite,@RC_Reacts,1
#Dynamite,@bts_love_myself,1
#Dynamite,@RadioBTSMexico,1
#Dynamite,@AliDuran_2102,1
#Dynamite,@YoganAndNadineR,1
#Dynamite,@101wixx,1
#Dynamite,@JSladeShow,1
#Dynamite,@iamcardib,1
#Dynamite,@maximahitlist,1
#Dynamite,@RadioDisneyLA,1
#Dynamite,@BTSNorway,1
#Dynamite,@HOThits1005,1
#Dynamite,@Spotify,1
#Dynamite,@WatersOnAir,1
#Dynamite,@naomi27060349,1
#Dynamite,@ankit_rambabu,1
