src,dst,count
#BTSWEEK,@FallonTonight,22437
#BTSWEEK,@BTS_twt,20192
#BTSWEEK,@jimmyfallon,401
#BTSWEEK,@allforarmy,330
#BTSWEEK,@BTS_Billboard,180
#BTSWEEK,@ARMYPeru_twt_,140
#BTSWEEK,@BangBangtan_Esp,135
#BTSWEEK,@BangtanINDIA,79
#BTSWEEK,@y6ongito,78
#BTSWEEK,@PJM_vocal,74
#BTSWEEK,@BTSChartDaily,39
#BTSWEEK,@thisisridz,30
#BTSWEEK,@DdaengLife,29
#BTSWEEK,@sopesandwich,25
#BTSWEEK,@ARMYForce_Peru,25
#BTSWEEK,@taeqer95,21
#BTSWEEK,@_Yoongi95,21
#BTSWEEK,@KTH_Facts,19
#BTSWEEK,@997DJX,18
#BTSWEEK,@flowrsuga,18
#BTSWEEK,@NathalyTataJM,17
#BTSWEEK,@del_bangtan,16
#BTSWEEK,@jstdwayyouare,16
#BTSWEEK,@modooborahae,15
#BTSWEEK,@bts_bighit,15
#BTSWEEK,@leys_ash,14
#BTSWEEK,@MuffMuffBTS,14
#BTSWEEK,@ARMYMAGofficial,14
#BTSWEEK,@blvcksnow_twt,14
#BTSWEEK,@filesjk,11
#BTSWEEK,@92jinlovrs,10
#BTSWEEK,@ot7religion,9
#BTSWEEK,@monkeydog9,9
#BTSWEEK,@KimNamjoon00_,8
#BTSWEEK,@JinJinara2,8
#BTSWEEK,@Bora_Lyn,8
#BTSWEEK,@nbc,8
#BTSWEEK,@index_bts,7
#BTSWEEK,@VanteMusicPH,7
#BTSWEEK,@jimin_ind,7
#BTSWEEK,@vminggukx,7
#BTSWEEK,@seokjinmylabsss,6
#BTSWEEK,@swtetev,5
#BTSWEEK,@Ot7Taekook,5
#BTSWEEK,@istxbts,5
#BTSWEEK,@jessikatsu,5
#BTSWEEK,@msiachartdata,5
#BTSWEEK,@JohnCena,4
#BTSWEEK,@BTSNoticia,4
#BTSWEEK,@Milliestopshate,4
#BTSWEEK,@btswithjjk,4
#BTSWEEK,@deep_bangtan,4
#BTSWEEK,@AdamSandler,4
#BTSWEEK,@btseternaIs,3
#BTSWEEK,@bts_worldbrasil,3
#BTSWEEK,@94Pied_Piper,3
#BTSWEEK,@Kinksonyeodan95,3
#BTSWEEK,@BTSdreamlabCol,3
#BTSWEEK,@MrsTOH2O,3
#BTSWEEK,@theroots,3
#BTSWEEK,@BTSxCanada,3
#BTSWEEK,@BNGPNKWORLDWIDE,3
#BTSWEEK,@ButterflyEllaJ,3
#BTSWEEK,@Kayla23M,3
#BTSWEEK,@GabrielleGrand9,3
#BTSWEEK,@PJM_data,3
#BTSWEEK,@BTSthe7Kings,2
#BTSWEEK,@YouAreLoved_7,2
#BTSWEEK,@Qg_Barmys,2
#BTSWEEK,@SaraxBTS7,2
#BTSWEEK,@BTS_History613,2
#BTSWEEK,@amruwithluv,2
#BTSWEEK,@KTH_News,2
#BTSWEEK,@yoonikooks,2
#BTSWEEK,@bangtanstrick,2
#BTSWEEK,@iamcardib,2
#BTSWEEK,@NAMUB0I_,2
#BTSWEEK,@JungkookPurpleU,2
#BTSWEEK,@fatimafarha_,2
#BTSWEEK,@tanniekosmossss,2
#BTSWEEK,@101wixx,2
#BTSWEEK,@silky_jimin,2
#BTSWEEK,@its_proudarmy,2
#BTSWEEK,@eternallybts7__,2
#BTSWEEK,@TaninasPops,2
#BTSWEEK,@obsessivejimin,2
#BTSWEEK,@Nigel_Farage,2
#BTSWEEK,@thatsmyegoooooo,2
#BTSWEEK,@SecPompeo,2
#BTSWEEK,@fiverr,2
#BTSWEEK,@BbrightDiamond,1
#BTSWEEK,@YOONKlSS,1
#BTSWEEK,@zeyzeyspotted,1
#BTSWEEK,@BTSRM_UK,1
#BTSWEEK,@BigHitEnt,1
#BTSWEEK,@BTS_UPDATES_GER,1
#BTSWEEK,@MayPenicillium,1
#BTSWEEK,@Elymin136,1
#BTSWEEK,@BTSBEINGBTSYT,1
#BTSWEEK,@01Btsxarmy,1
#BTSWEEK,@parkjiminpics,1
#BTSWEEK,@lis_tomasz,1
#BTSWEEK,@CNN,1
#BTSWEEK,@JKCorden,1
#BTSWEEK,@chitra_ranjith,1
#BTSWEEK,@SugaPopsicle_,1
#BTSWEEK,@DDAENG_22the2nd,1
#BTSWEEK,@fraksigolkar,1
#BTSWEEK,@sweeter_sweet,1
#BTSWEEK,@Thiiiiiiiii2,1
#BTSWEEK,@Chimmerinie,1
#BTSWEEK,@BTS_TW,1
#BTSWEEK,@Arsenal,1
#BTSWEEK,@promofiverrgigs,1
#BTSWEEK,@DreamerBTSArmy,1
#BTSWEEK,@BTSARMYKitchen,1
#BTSWEEK,@nuna_riri,1
#BTSWEEK,@NikosDendias,1
#BTSWEEK,@JiminieMyWorld,1
#BTSWEEK,@NSA_SoudaBay,1
#BTSWEEK,@NATO,1
#BTSWEEK,@HannaM885,1
#BTSWEEK,@mimijungkook9,1
