src,dst,count
#Hathras,@YUVSTRONG12,860
#Hathras,@imVkohli,479
#Hathras,@realpreityzinta,321
#Hathras,@ndtvindia,267
#Hathras,@raviranabjp,149
#Hathras,@imrealasim,149
#Hathras,@rishibagree,110
#Hathras,@Uppolice,107
#Hathras,@narendramodi,76
#Hathras,@BefittingFacts,74
#Hathras,@NidhiSuresh_,66
#Hathras,@MrsGandhi,42
#Hathras,@myogiadityanath,42
#Hathras,@dhrubachoudhur5,41
#Hathras,@TheDeshBhakt,41
#Hathras,@IYC,38
#Hathras,@aajtak,37
#Hathras,@sanjuydv,32
#Hathras,@abhishekaitc,32
#Hathras,@IndiaMeToo,32
#Hathras,@iRaviTiwari,20
#Hathras,@INC_Andhra,20
#Hathras,@Rathinghoshtmc,17
#Hathras,@Yadavji_,16
#Hathras,@Virendr46644545,14
#Hathras,@iakshaysinghel,14
#Hathras,@BDUTT,13
#Hathras,@PMOIndia,13
#Hathras,@MnshaP,12
#Hathras,@JaiveerShergill,10
#Hathras,@AaronMathewINC,10
#Hathras,@themojo_in,8
#Hathras,@ndtv,8
#Hathras,@MensDayOutIndia,8
#Hathras,@newslaundry,8
#Hathras,@AmitShah,8
#Hathras,@QuintNeon,7
#Hathras,@ahmedaftab04,7
#Hathras,@Gen_VKSingh,7
#Hathras,@WIONews,7
#Hathras,@JhaSanjay,6
#Hathras,@KanganaTeam,6
#Hathras,@isiddiqui852,6
#Hathras,@MUFCSach,6
#Hathras,@TheQuint,5
#Hathras,@BJP4India,5
#Hathras,@KumarSoyat,5
#Hathras,@imchandanRay,5
#Hathras,@TanushreePande,5
#Hathras,@rameshlaus,5
#Hathras,@republic,5
#Hathras,@retheeshraj10,4
#Hathras,@praful_patel,4
#Hathras,@desi_brat,4
#Hathras,@IndiaGender,4
#Hathras,@abpmajhatv,4
#Hathras,@smritiirani,3
#Hathras,@Yogi,3
#Hathras,@UPGovt,3
#Hathras,@amitmalviya,3
#Hathras,@Tington04357150,3
#Hathras,@me_locket,3
#Hathras,@mla_bibi,3
#Hathras,@JPNadda,3
#Hathras,@NiharRanjanGh15,3
#Hathras,@news18dotcom,3
#Hathras,@MdAlamgirMond13,3
#Hathras,@RahulGandhi,2
#Hathras,@IndiaToday,2
#Hathras,@KreatelyMedia,2
#Hathras,@KuntalSom2,2
#Hathras,@TweetinderKaul,2
#Hathras,@FAM4TMC,2
#Hathras,@DilipGhoshBJP,2
#Hathras,@Sridhar_Jeri,2
#Hathras,@AnupamPKher,2
#Hathras,@RajeshJ90496662,2
#Hathras,@TheAngryLord,2
#Hathras,@SupriyaShrinate,2
#Hathras,@DCWDelhi,2
#Hathras,@neerubajwa,2
#Hathras,@priyankagandhi,2
#Hathras,@bhavyaj_awesome,2
#Hathras,@Riteishd,2
#Hathras,@jaybhim00,2
#Hathras,@sandhyaravishan,2
#Hathras,@drharshvardhan,2
#Hathras,@RMBT_tweets,2
#Hathras,@Mayawati,2
#Hathras,@_deval89,2
#Hathras,@anuragshankers,2
#Hathras,@myogioffice,2
#Hathras,@paulagnimitra1,2
#Hathras,@pradip103,2
#Hathras,@rajendersingh56,2
#Hathras,@CMOfficeUP,2
#Hathras,@gokulchan,2
#Hathras,@BesuraTaansane,2
#Hathras,@kjshikhar,2
#Hathras,@ashoswai,2
#Hathras,@PiyushGoyal,2
#Hathras,@vin_thorat,2
#Hathras,@_kunalyadav98,2
#Hathras,@akshaykumar,2
#Hathras,@milindrunning,1
#Hathras,@Dhawan,1
#Hathras,@DrShamsuddinAdv,1
#Hathras,@srivatsayb,1
#Hathras,@ANI,1
#Hathras,@Dr_Uditraj,1
#Hathras,@monteskw,1
#Hathras,@AjitPawarSpeaks,1
#Hathras,@Aditya_Shah_,1
#Hathras,@supriya_sule,1
#Hathras,@mathews_rekha,1
#Hathras,@FarOutAkhtar,1
#Hathras,@GagrooMonica,1
#Hathras,@Human9368,1
#Hathras,@INCIndia,1
#Hathras,@manishamondal25,1
#Hathras,@mdismailice,1
#Hathras,@BujMit,1
#Hathras,@sonalikasahay,1
#Hathras,@rssurjewala,1
#Hathras,@shirley_abraham,1
#Hathras,@AltafQadriAP,1
#Hathras,@Ankit_Tyagi01,1
#Hathras,@sah_truth,1
#Hathras,@somyalakhani,1
#Hathras,@AnshumanSail,1
#Hathras,@rambus777,1
#Hathras,@BharatW77129048,1
#Hathras,@Anuja_Jaiswal11,1
#Hathras,@nmfcb4,1
#Hathras,@nidhiindiatv,1
#Hathras,@BSPiyushraj,1
#Hathras,@Bahujan4India,1
#Hathras,@navjivanindia,1
#Hathras,@AjayLalluINC,1
#Hathras,@Jayant_R_Patil,1
#Hathras,@kcvenugopalmp,1
#Hathras,@KShankinamath,1
#Hathras,@Ramesh_Matiala,1
#Hathras,@arvindgunasekar,1
#Hathras,@anubha1812,1
#Hathras,@Rakshit43236272,1
#Hathras,@_pallavighosh,1
#Hathras,@_PreetiPandey,1
#Hathras,@YashMeghwal,1
#Hathras,@Whats_appp_uni,1
#Hathras,@SwatiJaiHind,1
#Hathras,@Ravi_ladnu,1
#Hathras,@cursed_soul___,1
#Hathras,@Rohitsardana0,1
#Hathras,@RubelSh98149936,1
