src,dst,count
#BLACKPINK,@BLACKPINK,26571
#BLACKPINK,@selenagomez,2136
#BLACKPINK,@chartsblackpink,1291
#BLACKPINK,@GlobalBlackPink,1238
#BLACKPINK,@BlinkVotingCrew,870
#BLACKPINK,@bpbillboard,734
#BLACKPINK,@soompi,695
#BLACKPINK,@thefilopinks,615
#BLACKPINK,@BLACKPINKGLOBAL,586
#BLACKPINK,@BP_VotingTeam,569
#BLACKPINK,@ygofficialblink,472
#BLACKPINK,@teamblackpink,449
#BLACKPINK,@BLACKPINK_PH,445
#BLACKPINK,@bpinradio,316
#BLACKPINK,@ilyblkpink,309
#BLACKPINK,@BLINKVotingPage,279
#BLACKPINK,@BLINKmf,261
#BLACKPINK,@featpinks,211
#BLACKPINK,@wonderpuiz,195
#BLACKPINK,@BESTGIRLROSlE,184
#BLACKPINK,@_nitrojen,182
#BLACKPINK,@BLACKPINKFML,176
#BLACKPINK,@alasunokim,157
#BLACKPINK,@IntelBLACKPINK,154
#BLACKPINK,@iamfansey,147
#BLACKPINK,@artistryjen,140
#BLACKPINK,@kingrubyjane,139
#BLACKPINK,@WorldwideBLINK,118
#BLACKPINK,@imabossbixch,113
#BLACKPINK,@Lsglobal_,108
#BLACKPINK,@peopleschoice,104
#BLACKPINK,@BPINKLATINO,99
#BLACKPINK,@NiniAndLili23,97
#BLACKPINK,@rosiechixks,95
#BLACKPINK,@charts_yg,92
#BLACKPINK,@lisailoveyouto,89
#BLACKPINK,@YouTube,87
#BLACKPINK,@happyblinksph,86
#BLACKPINK,@charismaticsoo,81
#BLACKPINK,@gaygodmanoban,73
#BLACKPINK,@lisalareine,72
#BLACKPINK,@lovejenniekim_,71
#BLACKPINK,@RUBYRULES1166,71
#BLACKPINK,@BTS_twt,66
#BLACKPINK,@THEBARPINKS,66
#BLACKPINK,@slytherjennie,66
#BLACKPINK,@rosesroesie,65
#BLACKPINK,@fetishforsell,64
#BLACKPINK,@smolkjn,64
#BLACKPINK,@UK_BLINKS,63
#BLACKPINK,@itsurlalalu,63
#BLACKPINK,@chloexhalle,63
#BLACKPINK,@CNCOmusic,63
#BLACKPINK,@lisative,61
#BLACKPINK,@lovethemfoursm,61
#BLACKPINK,@BLACKPINKENT_,60
#BLACKPINK,@BLACKPINK4WAYS,59
#BLACKPINK,@saintslayjen,58
#BLACKPINK,@forddjen,57
#BLACKPINK,@BlckpnkBlnkeu,56
#BLACKPINK,@BLVKP1NK,56
#BLACKPINK,@bpforliiife,56
#BLACKPINK,@BPWorldwider,55
#BLACKPINK,@lalisavillain,55
#BLACKPINK,@kchartsmaster,52
#BLACKPINK,@_19MLALISA,51
#BLACKPINK,@_JNKPRINT,51
#BLACKPINK,@TeamBlinkBD_,50
#BLACKPINK,@ch4englaurent,50
#BLACKPINK,@LalisaTheAce,50
#BLACKPINK,@ultjisooyah,50
#BLACKPINK,@gumsnirubyjane,49
#BLACKPINK,@kabarblackpink,48
#BLACKPINK,@blackpinkshazam,47
#BLACKPINK,@BPbillboard50,47
#BLACKPINK,@i_lilifan,46
#BLACKPINK,@JeyGrey,46
#BLACKPINK,@iconicbpinkx_,45
#BLACKPINK,@cblinkeuu,45
#BLACKPINK,@LOVESICKFORBP,44
#BLACKPINK,@blinkmanifesto,43
#BLACKPINK,@groovylalisa,43
#BLACKPINK,@LiNiShoppePH,42
#BLACKPINK,@staywblackpnk,41
#BLACKPINK,@blackpinkbabo,41
#BLACKPINK,@Reemariooo,40
#BLACKPINK,@BLACKPINKSTATS5,40
#BLACKPINK,@bpaetherius,39
#BLACKPINK,@geoblinkeu,39
#BLACKPINK,@chaengsboo,39
#BLACKPINK,@crewofsmg,38
#BLACKPINK,@hoeforrubyjen,38
#BLACKPINK,@rainrvbyjen,38
#BLACKPINK,@blinkchartdata,38
#BLACKPINK,@chaeyoungmunkie,38
#BLACKPINK,@jenlisaaa_,38
#BLACKPINK,@roseforjoy,37
#BLACKPINK,@BLACKPINKBRASIL,37
#BLACKPINK,@BLACKPINK712718,36
#BLACKPINK,@ultkmjisoo,36
#BLACKPINK,@s4ssypinks,36
#BLACKPINK,@lalisafuls,36
#BLACKPINK,@jennndeukie_,36
#BLACKPINK,@kaiverses,35
#BLACKPINK,@primacyjennie,35
#BLACKPINK,@ilylisa_,35
#BLACKPINK,@_lilijam,34
#BLACKPINK,@chartdata,34
#BLACKPINK,@clingychonga,34
#BLACKPINK,@kjnbabi,33
#BLACKPINK,@WORLDMUSICAWARD,33
#BLACKPINK,@jendeukvisual,33
#BLACKPINK,@iamcardib,32
#BLACKPINK,@big_lilie,32
#BLACKPINK,@bpyoutubedata,31
#BLACKPINK,@DCblackpink,31
#BLACKPINK,@BL4CKPINKisBEST,31
#BLACKPINK,@eliepottt,30
#BLACKPINK,@ygent_official,30
#BLACKPINK,@H0ELYLISA,29
#BLACKPINK,@blinking4pinks,29
#BLACKPINK,@Born2Bredarmy,28
#BLACKPINK,@jenlistans,28
#BLACKPINK,@querencia_y,28
#BLACKPINK,@lali_mnbn,28
#BLACKPINK,@ktlauv,27
#BLACKPINK,@BPGVotingPHL,27
#BLACKPINK,@LISAgittar,27
#BLACKPINK,@lisasbtch_,27
#BLACKPINK,@ULTLALISA97,26
#BLACKPINK,@genuinerubyjane,26
#BLACKPINK,@etherealsooyaa_,26
#BLACKPINK,@Jordan77601702,26
#BLACKPINK,@_Itsme_Purple,26
#BLACKPINK,@serie_bp,26
#BLACKPINK,@jichuwithlub,26
#BLACKPINK,@stream_bp,25
#BLACKPINK,@JustNinixlili,25
#BLACKPINK,@PTTYSVGE,25
#BLACKPINK,@jnchlimrk,25
#BLACKPINK,@majesticlalisa,25
#BLACKPINK,@lomlkjn,24
#BLACKPINK,@jenniedesteen,24
#BLACKPINK,@jnkvibes,24
#BLACKPINK,@koreansales_twt,24
#BLACKPINK,@ultrajen_,24
#BLACKPINK,@oxxyjen,24
#BLACKPINK,@nxblackpink,24
#BLACKPINK,@bpxjennie,23
#BLACKPINK,@AcidMelodies,23
#BLACKPINK,@hiuehee,23
#BLACKPINK,@GODYVESROSIE,23
#BLACKPINK,@BPINK_SNS,23
#BLACKPINK,@imgayforpinks,23
#BLACKPINK,@blink_tita,23
#BLACKPINK,@_asli1v,22
#BLACKPINK,@jnkivrogne,22
#BLACKPINK,@TeamYouTube,22
#BLACKPINK,@mavielicious25,22
#BLACKPINK,@thalisalalice,22
#BLACKPINK,@lisxury,22
#BLACKPINK,@aquitainely,21
#BLACKPINK,@intolisabae,21
#BLACKPINK,@swallalisaa,21
#BLACKPINK,@StanBlackpinkbp,20
#BLACKPINK,@jendeukimanoban,20
#BLACKPINK,@JESSSHOPPE,20
#BLACKPINK,@WHOREPlNKS,20
#BLACKPINK,@demigodblink,20
#BLACKPINK,@hannah712178,20
#BLACKPINK,@ainthappyvirus,20
#BLACKPINK,@_drkmnbn,20
#BLACKPINK,@jennierazzi,20
#BLACKPINK,@_Jisoooyaaa,19
#BLACKPINK,@peuyadomanoban,19
#BLACKPINK,@EnigmaticGaga,19
#BLACKPINK,@MTV_vote1,19
#BLACKPINK,@LYRICSBYJlSOO,19
#BLACKPINK,@LUSTR0USLILI,18
#BLACKPINK,@SantaKpop,18
#BLACKPINK,@kpopggsuperior,18
#BLACKPINK,@ethrlbp,18
#BLACKPINK,@tearsofjisoo,18
#BLACKPINK,@HandNiLimario,18
#BLACKPINK,@redqueenlm,18
#BLACKPINK,@aripinkwhen,18
#BLACKPINK,@blackpin,17
#BLACKPINK,@happyjen_,17
#BLACKPINK,@twerkitlisa,17
#BLACKPINK,@lilidaily_,17
#BLACKPINK,@chaeyfuls,17
#BLACKPINK,@lesvivine,17
#BLACKPINK,@blackkbangtannn,17
#BLACKPINK,@spotify_data,17
#BLACKPINK,@lovejnk_,17
#BLACKPINK,@BLACKPINKhappen,17
#BLACKPINK,@baddestjendeuk,16
#BLACKPINK,@TineBP20,16
#BLACKPINK,@WBP1327__,16
#BLACKPINK,@G0DTIERPINKS,16
#BLACKPINK,@BlinksVips,16
#BLACKPINK,@midnyttt,16
#BLACKPINK,@bpftje,16
#BLACKPINK,@thefourpinks,16
#BLACKPINK,@kchartsofficial,16
#BLACKPINK,@Iluv_kjn,16
#BLACKPINK,@97CHAELISEY,16
#BLACKPINK,@blackbeautpink,15
#BLACKPINK,@pcyslaurent,15
#BLACKPINK,@Iamlllillly,15
#BLACKPINK,@jennierubytsty,15
#BLACKPINK,@JNKSTREET,15
#BLACKPINK,@__lalisaonfire,15
#BLACKPINK,@SashankRai07,15
#BLACKPINK,@aiaagrnd,15
#BLACKPINK,@she_bangpinkph,15
#BLACKPINK,@blackpinksite_,15
#BLACKPINK,@Jennrubye,15
#BLACKPINK,@wana8sum1,14
#BLACKPINK,@BPinAmerica,14
#BLACKPINK,@daveypinks,14
#BLACKPINK,@Ji_turaki,14
#BLACKPINK,@manduminie,14
#BLACKPINK,@Blackpink4816,14
#BLACKPINK,@rubyjanekimx,14
#BLACKPINK,@Captain_Teume,14
#BLACKPINK,@elysianJiso0,14
#BLACKPINK,@yalesyeux,14
#BLACKPINK,@blinkeuko,14
#BLACKPINK,@jenniesultry,13
#BLACKPINK,@Lesyeuxdechinni,13
#BLACKPINK,@steponmelalisa,13
#BLACKPINK,@blink__frvr2,13
#BLACKPINK,@lovesickchaeng,13
#BLACKPINK,@Devilll01,13
#BLACKPINK,@G0DJENNIE,13
#BLACKPINK,@Lisaman64322036,13
#BLACKPINK,@FILTER0SIE,13
#BLACKPINK,@jishooktt,13
#BLACKPINK,@___Bh__,13
#BLACKPINK,@simlimelis,13
#BLACKPINK,@kayestake,13
#BLACKPINK,@lalisa_mxx,13
#BLACKPINK,@BPFUNDS_PH,13
#BLACKPINK,@BOPY07995867,13
#BLACKPINK,@jenlisa_dream,12
#BLACKPINK,@icedblink,12
#BLACKPINK,@yoongkimin_,12
#BLACKPINK,@chaesaeun,12
#BLACKPINK,@Jayninii,12
#BLACKPINK,@ultpjlkim,12
#BLACKPINK,@BLACKPINKorigin,12
#BLACKPINK,@jenniebaboo,12
#BLACKPINK,@Sumiyelisax,12
#BLACKPINK,@LSGPlNKS,12
#BLACKPINK,@foreverot4blink,11
#BLACKPINK,@LuanaEmersyn,11
#BLACKPINK,@LoveSickBlink_,11
#BLACKPINK,@mandulisa_,11
#BLACKPINK,@BL_fucking_PI,11
#BLACKPINK,@VoteStatsSel,11
#BLACKPINK,@bp712178jjrl,11
#BLACKPINK,@soojibb_,11
#BLACKPINK,@jeninie_,11
#BLACKPINK,@kindalalisa_m,11
#BLACKPINK,@lalisaaaaa__,11
#BLACKPINK,@MANDUrukotJen,11
#BLACKPINK,@blinkeu_jisoo,11
#BLACKPINK,@chaengchimmy,11
#BLACKPINK,@lbrgaleria,11
#BLACKPINK,@IndianBlinkeu,11
#BLACKPINK,@DAINTYR0SIE,11
#BLACKPINK,@whistlesuperior,11
#BLACKPINK,@20l60808,11
#BLACKPINK,@BlackPinki,11
#BLACKPINK,@CUNTYJEN,11
#BLACKPINK,@itsmandeukii,11
#BLACKPINK,@LISANATIONS_,11
#BLACKPINK,@KDreamsPH,11
#BLACKPINK,@artistickjn,11
#BLACKPINK,@buttsenroses,11
#BLACKPINK,@blinkingbox,10
#BLACKPINK,@sucker4bp,10
#BLACKPINK,@jeninivoyage,10
#BLACKPINK,@lisastheticc,10
#BLACKPINK,@kwatro457,10
#BLACKPINK,@jenny_susmita,10
#BLACKPINK,@jealouslisa,10
#BLACKPINK,@kapook28251446,10
#BLACKPINK,@rosielesyeux,10
#BLACKPINK,@itsjlcvs,10
#BLACKPINK,@rosielestial,10
#BLACKPINK,@ultblckpnkslayz,10
#BLACKPINK,@Roropink41,10
#BLACKPINK,@all_4blackpink,10
#BLACKPINK,@BlackpinkBraziI,10
#BLACKPINK,@musicfacts_sel,10
#BLACKPINK,@juloveforever17,10
#BLACKPINK,@babielalalisa,10
#BLACKPINK,@Blink_BP_Blink,9
#BLACKPINK,@rabbitkimj,9
#BLACKPINK,@mella_sooya,9
#BLACKPINK,@rbyjanekm_,9
#BLACKPINK,@sayah005,9
#BLACKPINK,@ROSlEPHOBIA,9
#BLACKPINK,@jennienly,9
#BLACKPINK,@CryforSelpink,9
#BLACKPINK,@lishirose96,9
#BLACKPINK,@JELLYBELLYJENNN,9
#BLACKPINK,@grittypinks,9
#BLACKPINK,@BP_KST,9
#BLACKPINK,@annecurtissmith,9
#BLACKPINK,@LOVESICK_BP,9
#BLACKPINK,@tokyoyow,9
#BLACKPINK,@OnlineBLACKPINK,9
#BLACKPINK,@bp_fanboi16,9
#BLACKPINK,@lal_blink,9
#BLACKPINK,@jenniestrend,9
#BLACKPINK,@TeamBPStream_th,9
#BLACKPINK,@pinksuperior,8
#BLACKPINK,@SHININKOLO,8
#BLACKPINK,@JiSu199418,8
#BLACKPINK,@sooyammyyy,8
#BLACKPINK,@NinisMandu,8
#BLACKPINK,@lilincredible_,8
#BLACKPINK,@kindalisayah,8
#BLACKPINK,@lisauthority,8
#BLACKPINK,@blackpinkuuue,8
#BLACKPINK,@jenymilkeu,8
#BLACKPINK,@pranpriyaaaas,8
#BLACKPINK,@TEAMLISAINDIA,8
#BLACKPINK,@PRESIDENTJNK,8
#BLACKPINK,@BPL0VEB0T,8
#BLACKPINK,@bpiconique,8
#BLACKPINK,@artsylali,8
#BLACKPINK,@jenskedaddle,8
#BLACKPINK,@exqiser_,8
#BLACKPINK,@chaengjuwhangie,8
#BLACKPINK,@jenniekimbrasil,8
#BLACKPINK,@wondaraland,8
#BLACKPINK,@ItimNaRosasx,8
#BLACKPINK,@elleloveit,8
#BLACKPINK,@limariogab,8
#BLACKPINK,@itsturlabbit,7
#BLACKPINK,@Bl1nkxBlckpink,7
#BLACKPINK,@theOddBlink,7
#BLACKPINK,@sunkistjenlisa,7
#BLACKPINK,@Lisashiii2,7
#BLACKPINK,@for_jisoo_only,7
#BLACKPINK,@LISAT0PME,7
#BLACKPINK,@Pitooooo7,7
#BLACKPINK,@69JENTLE,7
#BLACKPINK,@SWETAGh96062177,7
#BLACKPINK,@98_dandelions,7
#BLACKPINK,@aiiylse,7
#BLACKPINK,@JENSCLUSIVE,7
#BLACKPINK,@xxchaengg,7
#BLACKPINK,@_CalixM,7
#BLACKPINK,@wtfmanoban,7
#BLACKPINK,@peaceloveblink,7
#BLACKPINK,@BPGVotingVNM,7
#BLACKPINK,@ilysbpinks,7
#BLACKPINK,@Trillasaurus,7
#BLACKPINK,@BROKEJENNIESTAN,7
#BLACKPINK,@G0DLlSA,7
#BLACKPINK,@roseannexdays,7
#BLACKPINK,@4BLPink_JLJR,7
#BLACKPINK,@coffeeorjennie,7
#BLACKPINK,@lalisamn_,7
#BLACKPINK,@CardiBMexico,7
#BLACKPINK,@Jenchul94062722,7
#BLACKPINK,@Jennieeclassy,7
#BLACKPINK,@jichuprint,7
#BLACKPINK,@staywmila,7
#BLACKPINK,@yadompink,7
#BLACKPINK,@jennierubyji,7
#BLACKPINK,@ratedjenlisa,6
#BLACKPINK,@topniJennie,6
#BLACKPINK,@Guide2BLACKPINK,6
#BLACKPINK,@JK_4lifee,6
#BLACKPINK,@BlackPinkuuu,6
#BLACKPINK,@delulungjenlisa,6
#BLACKPINK,@FranciseBlink,6
#BLACKPINK,@sushiblink,6
#BLACKPINK,@atemongjennie,6
#BLACKPINK,@minutejen,6
#BLACKPINK,@jensoolight,6
#BLACKPINK,@blinkletizia_,6
#BLACKPINK,@bpmandeukie__,6
#BLACKPINK,@chaelysian_,6
#BLACKPINK,@gayforlali,6
#BLACKPINK,@Liiiiiii27,6
#BLACKPINK,@hoeofrosie,6
#BLACKPINK,@eighteenrosies,6
#BLACKPINK,@fatedtomeetbla1,6
#BLACKPINK,@bphowyoulikeit,6
#BLACKPINK,@igluesified,6
#BLACKPINK,@itzmnho,6
#BLACKPINK,@jiaxblackpink,6
#BLACKPINK,@ultrubyjane,6
#BLACKPINK,@jisoospet,6
#BLACKPINK,@jenlisa23__,6
#BLACKPINK,@leokim23,6
#BLACKPINK,@jenniekimwink,6
#BLACKPINK,@ROSELAURENTT,6
#BLACKPINK,@jnkbtches,6
#BLACKPINK,@risefromashes21,6
#BLACKPINK,@PENSHOPPE,6
#BLACKPINK,@jenniekimmandu,6
#BLACKPINK,@lalichuswifts,6
#BLACKPINK,@ultjenkimx,6
#BLACKPINK,@lovsickgirls,6
#BLACKPINK,@PopCrave,6
#BLACKPINK,@lallalisaa_m,6
#BLACKPINK,@_underaspell_,6
#BLACKPINK,@HATELOVESBPMUCH,6
#BLACKPINK,@lilogurl88,6
#BLACKPINK,@Peymaxx,6
#BLACKPINK,@sooyacuIt,6
#BLACKPINK,@nixxxsun,6
#BLACKPINK,@Heliblink8,6
#BLACKPINK,@Blinkeu101,6
#BLACKPINK,@supmanobal,6
#BLACKPINK,@jieyseu,6
#BLACKPINK,@BPSTREAM_TEAM2,6
#BLACKPINK,@BLINK_DEEPAK,6
#BLACKPINK,@ChaeLisaNorr,6
#BLACKPINK,@AbbySy7,5
#BLACKPINK,@mandUwUkim,5
#BLACKPINK,@JAEHPRINT,5
#BLACKPINK,@pochininii,5
#BLACKPINK,@jennieschords,5
#BLACKPINK,@JLrosieruby,5
#BLACKPINK,@bpmutualgain,5
#BLACKPINK,@lisaversatile,5
#BLACKPINK,@BPGVotingMMR,5
#BLACKPINK,@THEVELVETPINK,5
#BLACKPINK,@beeayengiow,5
#BLACKPINK,@Heli_blink,5
#BLACKPINK,@lachyyy_,5
#BLACKPINK,@xhogm,5
#BLACKPINK,@oh_mesBP2,5
#BLACKPINK,@NNongeuayjai,5
#BLACKPINK,@chaneljennie_,5
#BLACKPINK,@itsaripink,5
#BLACKPINK,@ariescae,5
#BLACKPINK,@bpvotingfam,5
#BLACKPINK,@_onseeeeee,5
#BLACKPINK,@AUSSIESARER0SIE,5
#BLACKPINK,@lilixvsp,5
#BLACKPINK,@bpapplemusic,5
#BLACKPINK,@kjnhoenly,5
#BLACKPINK,@Lisacendshits,5
#BLACKPINK,@LSGJENMINA,5
#BLACKPINK,@XLii327,5
#BLACKPINK,@AVAlicious__,5
#BLACKPINK,@blink_ywinky,5
#BLACKPINK,@blinkblink03,5
#BLACKPINK,@Blackpinkeu____,5
#BLACKPINK,@raeyne_,5
#BLACKPINK,@jenyourarea,5
#BLACKPINK,@Blink99747396,5
#BLACKPINK,@1DBPLEGENDS,5
#BLACKPINK,@yeoshinnnn,5
#BLACKPINK,@ryuphrosynos,5
#BLACKPINK,@Yunjhun_Kim,5
#BLACKPINK,@tinxlisa,5
#BLACKPINK,@BPHashtags,5
#BLACKPINK,@Spotify,5
#BLACKPINK,@Mhannwella,5
#BLACKPINK,@LisaInMyArea20,5
#BLACKPINK,@my_devriess,5
#BLACKPINK,@goodlylisa,5
#BLACKPINK,@sqwfess,5
#BLACKPINK,@lalalalost_me,5
#BLACKPINK,@NaneunBlinkeu,5
#BLACKPINK,@LisaNita_,5
#BLACKPINK,@chaengfirst,5
#BLACKPINK,@lalisabangless,5
#BLACKPINK,@R0YALPINKS,5
#BLACKPINK,@jenninidukie,5
#BLACKPINK,@avoruby,5
#BLACKPINK,@lavenderosiee,5
#BLACKPINK,@aishaaa_tltn,5
#BLACKPINK,@dontblinkitsbp,5
#BLACKPINK,@blinkforlalisaa,5
#BLACKPINK,@sooyaaschikin,5
#BLACKPINK,@BPGVotingINA,5
#BLACKPINK,@mateja_1234,5
#BLACKPINK,@blinkuehamnida,5
#BLACKPINK,@ivelvetpink,5
#BLACKPINK,@INYOURAREAPH,5
#BLACKPINK,@blackpinksclown,5
#BLACKPINK,@limario098,5
#BLACKPINK,@a_blackpinkeu,5
#BLACKPINK,@manobann__,5
#BLACKPINK,@BLINKonSpotify,5
#BLACKPINK,@taienblink,5
#BLACKPINK,@simpfrbp,5
#BLACKPINK,@ultchaeng_,5
#BLACKPINK,@gremorychanel,5
#BLACKPINK,@jnkcunt,5
#BLACKPINK,@staywbeulping,5
#BLACKPINK,@jangmideuki,4
#BLACKPINK,@Theamazingkang1,4
#BLACKPINK,@nananatsy,4
#BLACKPINK,@jennieuni_,4
#BLACKPINK,@SummerSince0626,4
#BLACKPINK,@Love_lala_lisa,4
#BLACKPINK,@luzhh_,4
#BLACKPINK,@PUBGMOBILE,4
#BLACKPINK,@always_ot4_,4
#BLACKPINK,@_jeleia,4
#BLACKPINK,@hwangfelipe,4
#BLACKPINK,@SooyasKnight,4
#BLACKPINK,@MsGemini27,4
#BLACKPINK,@smejisooni,4
#BLACKPINK,@blackpinkxkth,4
#BLACKPINK,@_la_lisa,4
#BLACKPINK,@trix_manoban,4
#BLACKPINK,@ella_sada,4
#BLACKPINK,@sooya_angel,4
#BLACKPINK,@feltbittersweet,4
#BLACKPINK,@ashlayyy13,4
#BLACKPINK,@sooyaaa_babo,4
#BLACKPINK,@engr_bpjjrlot4,4
#BLACKPINK,@blackie_pinkie,4
#BLACKPINK,@imsweetjade,4
#BLACKPINK,@RainbowLisayah,4
#BLACKPINK,@lalisamanobunny,4
#BLACKPINK,@jennieunnnie,4
#BLACKPINK,@sooyaaa_rabbit,4
#BLACKPINK,@foreverjenlisa,4
#BLACKPINK,@Interscope,4
#BLACKPINK,@jennflex_,4
#BLACKPINK,@BLinhC4,4
#BLACKPINK,@phoebelucasss,4
#BLACKPINK,@jennievenusjane,4
#BLACKPINK,@jenniestastic,4
#BLACKPINK,@m_lalalimario,4
#BLACKPINK,@YuliaRose15,4
#BLACKPINK,@rsavcdo,4
