from,to,count
#NeverForget,@prayingmedic,427
#NeverForget,@itsJeffTiedrich,351
#NeverForget,@DeepStateExpose,241
#NeverForget,@NYPDnews,227
#NeverForget,@ProudSocialist,193
#NeverForget,@realDonaldTrump,187
#NeverForget,@no_silenced,147
#NeverForget,@TPUSA,120
#NeverForget,@JENFL23,116
#NeverForget,@Woj_Pawelczyk,108
#NeverForget,@Ian56789,77
#NeverForget,@AmirAminiMD,67
#NeverForget,@Lybio,64
#NeverForget,@pellertweeto,60
#NeverForget,@LVNancy,60
#NeverForget,@RealBasedMAGA,57
#NeverForget,@ashleyhayek,51
#NeverForget,@tajiareed,47
#NeverForget,@MrStache9,46
#NeverForget,@Redeeme84122481,43
#NeverForget,@Mets,43
#NeverForget,@FDNY,42
#NeverForget,@TheDeniseCrosby,42
#NeverForget,@pastormarkburns,40
#NeverForget,@drdavidsamadi,35
#NeverForget,@ashtonpittman,34
#NeverForget,@usairforce,32
#NeverForget,@axidentaliberal,32
#NeverForget,@Feminina,26
#NeverForget,@4aPeoplesParty,26
#NeverForget,@DjLots3,26
#NeverForget,@denisewu,26
#NeverForget,@MiriamG216,22
#NeverForget,@Huskers,21
#NeverForget,@Fiorella_im,20
#NeverForget,@Jay_Clandestino,19
#NeverForget,@LouGarza86,18
#NeverForget,@Democrat_Barbie,18
#NeverForget,@KYHighFootball,18
#NeverForget,@mama_c2,18
#NeverForget,@CaraBuono,17
#NeverForget,@TheDeenShow,17
#NeverForget,@seahippy29,16
#NeverForget,@Almagro_OEA2015,15
#NeverForget,@VetrepreneurOne,14
#NeverForget,@63_vet,14
#NeverForget,@MykeCole,14
#NeverForget,@40_Ronda,13
#NeverForget,@Omar_777_,13
#NeverForget,@ActionDove,13
#NeverForget,@sifu_Qkung_fu,13
#NeverForget,@Behembaba,13
#NeverForget,@JapanEmbDC,13
#NeverForget,@Athletics,12
#NeverForget,@FLOTUS,12
#NeverForget,@KofC,12
#NeverForget,@Dawncec,12
#NeverForget,@magnianon,12
