src,dst,count
#COVID19,$952247125185720320,146
#COVID19,$113190456,90
#COVID19,$23159504,58
#COVID19,$198368900,49
#COVID19,$166326763,43
#COVID19,$1640251716,41
#COVID19,$851200182503059460,39
#COVID19,$1236273574895329281,33
#COVID19,$47472163,33
#COVID19,$1249314426181877760,30
#COVID19,$1287369904547495938,28
#COVID19,$705846038490390528,26
#COVID19,$326227738,21
#COVID19,$1161737207964504065,20
#COVID19,$1307737651571838981,17
#COVID19,$1255126199149269000,15
#COVID19,$1011952996907962369,15
#COVID19,$1281522424077484033,15
#COVID19,$1290414109180256256,14
#COVID19,$1510787130,14
#COVID19,$877699334,14
#COVID19,$344075523,13
#COVID19,$1238467680773894146,13
#COVID19,$1277789778,13
#COVID19,$1270807908436017153,12
#COVID19,$1166381062248783874,12
#COVID19,$1234879375734181888,11
#COVID19,$23707857,11
#COVID19,$1307264965150203905,11
#COVID19,$723896723794440193,11
#COVID19,$865823924805914624,11
#COVID19,$235966654,11
#COVID19,$29150630,11
#COVID19,$762003790409166848,11
#COVID19,$292898515,11
#COVID19,$1398260221,11
#COVID19,$3380761420,10
#COVID19,$817825066993860608,10
#COVID19,$1231717147556007937,10
#COVID19,$18831926,10
#COVID19,$1301916661004398592,10
#COVID19,$1085559370514137089,9
#COVID19,$174137795,9
#COVID19,$17635001,9
#COVID19,$1206080605722685440,9
#COVID19,$1251252156784676869,9
#COVID19,$487118986,9
#COVID19,$1098498551896780800,9
#COVID19,$1305865845416103936,8
#COVID19,$1215271759101882378,8
#COVID19,$28404655,8
#COVID19,$36327407,8
#COVID19,$790653885501374464,8
#COVID19,$506131716,8
#COVID19,$1260557374068109312,8
#COVID19,$124896632,8
#COVID19,$975779240376504321,8
#COVID19,$222648594,8
#COVID19,$2232463302,8
#COVID19,$812361923304034304,8
#COVID19,$1154952166815281157,7
#COVID19,$1247454902651162627,7
#COVID19,$1280604317980987394,7
#COVID19,$32851301,7
#COVID19,$2863762227,7
#COVID19,$4724605634,7
#COVID19,$57672544,7
#COVID19,$1210548832116920325,7
#COVID19,$62464090,7
#COVID19,$898885850678689793,7
#COVID19,$1216012678507978756,7
#COVID19,$1673386693,7
#COVID19,$1167387848460292099,7
#COVID19,$68927629,7
#COVID19,$470299753,7
#COVID19,$3286305842,6
#COVID19,$94761188,6
#COVID19,$1270573392119296000,6
#COVID19,$1241397503972515841,6
#COVID19,$1303737398292078593,6
#COVID19,$374559661,6
#COVID19,$1233543129187389449,6
#COVID19,$2538032204,6
#COVID19,$1221856187660099588,6
#COVID19,$1020448767496028160,6
#COVID19,$1729193269,6
#COVID19,$874402553844334592,6
#COVID19,$1212374963782438912,6
#COVID19,$21457771,6
#COVID19,$355989081,6
#COVID19,$1282243407470047232,6
#COVID19,$1304695288515497985,6
#COVID19,$1719189054,6
#COVID19,$1113773194048102402,6
#COVID19,$79838661,6
#COVID19,$1143066188047499264,6
#COVID19,$2595138679,5
#COVID19,$283708433,5
#COVID19,$2876187537,5
#COVID19,$1169166601288966145,5
#COVID19,$1310882977623224321,5
#COVID19,$1257487260481617920,5
#COVID19,$1240855301898874880,5
#COVID19,$1270520323784372226,5
#COVID19,$1620808526,5
#COVID19,$1041754187283935234,5
#COVID19,$971874887366332416,5
#COVID19,$19965305,5
#COVID19,$1136729977641062400,5
#COVID19,$1276615175018348545,5
#COVID19,$1295675190278590465,5
#COVID19,$1037600297084829697,5
#COVID19,$1236099716674289666,5
#COVID19,$2573981709,5
#COVID19,$909651946608328704,5
#COVID19,$829504380030242817,5
#COVID19,$470468291,5
#COVID19,$1223763494,5
#COVID19,$1879618076,5
#COVID19,$1227194750715023360,5
#COVID19,$279811405,5
#COVID19,$839495503352119296,5
#COVID19,$2837575321,5
#COVID19,$2929327330,5
#COVID19,$3326667058,5
#COVID19,$89300184,5
#COVID19,$1191745846615957506,5
#COVID19,$1266603008315453440,5
#COVID19,$1245833410247081984,5
#COVID19,$204353454,5
#COVID19,$889983470352650242,4
#COVID19,$21539403,4
#COVID19,$2766540421,4
#COVID19,$3278758339,4
#COVID19,$86970530,4
#COVID19,$850124612549705728,4
#COVID19,$869967070984851457,4
#COVID19,$820694,4
#COVID19,$1266650651339165696,4
#COVID19,$2810661934,4
#COVID19,$1172183250120454144,4
#COVID19,$103155466,4
#COVID19,$3231531204,4
#COVID19,$1253005220138844161,4
#COVID19,$1288565147645206535,4
#COVID19,$2345804239,4
#COVID19,$2904048429,4
#COVID19,$808450734240972800,4
#COVID19,$898979912,4
#COVID19,$1135926602980663296,4
#COVID19,$1245497034565615616,4
