src,dst,count
#COVID19,@govkristinoem,2236
#COVID19,@realDonaldTrump,1949
#COVID19,@DrEricDing,1245
#COVID19,@ONS,392
#COVID19,@Tombx7M,375
#COVID19,@GordonGChang,297
#COVID19,@JoeBiden,293
#COVID19,@michaelmina_lab,275
#COVID19,@Wyn1745,262
#COVID19,@morethanmySLE,261
#COVID19,@SenDuckworth,260
#COVID19,@jensspahn,257
#COVID19,@WHO,249
#COVID19,@PabloFuente,234
#COVID19,@Laurie_Garrett,220
#COVID19,@DrGJackBrown,220
#COVID19,@Craig_A_Spencer,210
#COVID19,@foogatwo,189
#COVID19,@jkwan_md,181
#COVID19,@BogochIsaac,177
#COVID19,@DrZweliMkhize,175
#COVID19,@DrZoeHyde,169
#COVID19,@AdeTwhy_,168
#COVID19,@dat_Ibadanpikin,167
#COVID19,@TheDailyEdge,162
#COVID19,@hqmulligan,160
#COVID19,@TrinityResists,156
#COVID19,@POTUS,149
#COVID19,@UN,144
#COVID19,@gorka_orive,140
#COVID19,@SenatorDurbin,137
#COVID19,@andrebercoff,133
#COVID19,@BryanDawsonUSA,118
#COVID19,@Motinsitepegas,114
#COVID19,@NathanStall,114
#COVID19,@MattHancock,108
#COVID19,@NCDCgov,105
#COVID19,@docjosiahboone,105
#COVID19,@GOP,105
#COVID19,@UNICEF,104
#COVID19,@BorisJohnson,104
#COVID19,@drkomanduri,103
#COVID19,@XHNews,103
#COVID19,@student0P,90
#COVID19,@ANI,79
#COVID19,@disclosetv,78
#COVID19,@DanielAndrewsMP,78
#COVID19,@RebelNewsOnline,77
#COVID19,@DearAuntCrabby,75
#COVID19,@gregggonsalves,71
#COVID19,@Cleavon_MD,69
#COVID19,@GabrielScally,64
#COVID19,@ElLiberalSV,63
#COVID19,@drjessigold,60
#COVID19,@SkyNews,60
#COVID19,@mburufleitas,59
#COVID19,@narendramodi,58
#COVID19,@ygjumi,58
#COVID19,@AnthonyComedien,58
#COVID19,@Jimcorrsays,57
#COVID19,@YourAnonCentral,57
#COVID19,@ianbrown,56
#COVID19,@SenTedCruz,55
#COVID19,@dhershiser,55
#COVID19,@seanhannity,53
#COVID19,@EdConwaySky,51
#COVID19,@IndependentSage,51
#COVID19,@PTI_News,51
#COVID19,@ChandyJohnLab,50
#COVID19,@BDSmovement,48
#COVID19,@EpochTimes,48
#COVID19,@CDCgov,47
#COVID19,@WhiteHouse,47
#COVID19,@patdiekmann,47
#COVID19,@mbachelet,47
#COVID19,@SecPompeo,46
#COVID19,@SallyDeal4,45
#COVID19,@VP,44
#COVID19,@hrw,44
#COVID19,@theJagmeetSingh,43
#COVID19,@PressSec,43
#COVID19,@NHJennifer,42
#COVID19,@ihazquestionz,41
#COVID19,@Avir_offical,41
#COVID19,@HPA_MV,40
#COVID19,@HandNewsfr,39
#COVID19,@LawrenceGilder,38
#COVID19,@21WIRE,38
#COVID19,@HLGatell,38
#COVID19,@senatemajldr,38
#COVID19,@SenateGOP,37
#COVID19,@rki_de,36
#COVID19,@Mike_Pence,36
#COVID19,@khamenei_ir,36
#COVID19,@Dr2NisreenAlwan,36
#COVID19,@Surgeon_General,36
#COVID19,@CPHO_Canada,34
#COVID19,@antonioguterres,34
#COVID19,@AbiyAhmedAli,34
#COVID19,@neuwirthe,34
#COVID19,@KariJoys,33
#COVID19,@StefSimanowitz,33
#COVID19,@stevesilberman,33
#COVID19,@JAMA_current,33
#COVID19,@htTweets,33
#COVID19,@_ukactive,32
#COVID19,@BorisVallaud,32
#COVID19,@PMOIndia,32
#COVID19,@SMQureshiPTI,31
#COVID19,@RT_com,31
#COVID19,@CNN,31
#COVID19,@shossy2,30
#COVID19,@mukhendukaushik,30
#COVID19,@VUEUnion,30
#COVID19,@GovHerbert,30
#COVID19,@TheBinderLab,30
#COVID19,@TOICitiesNews,30
#COVID19,@StateDept,30
#COVID19,@9NEWSNANCY,29
#COVID19,@CDCInjury,29
#COVID19,@SpeakerPelosi,29
#COVID19,@ColleenHuberNMD,29
#COVID19,@why_two_wit,29
#COVID19,@ProjectLincoln,28
#COVID19,@WanjikuRevolt,28
#COVID19,@Reuters,28
#COVID19,@REFORM,28
#COVID19,@bmj_latest,27
#COVID19,@drapr007,27
#COVID19,@NewIndianXpress,27
#COVID19,@HectorRossete,26
#COVID19,@drsfaizanahmad,26
#COVID19,@ConservaMomUSA,26
#COVID19,@hugodejonge,26
#COVID19,@KamalaHarris,26
#COVID19,@erinotoole,25
#COVID19,@UNAIDS,25
#COVID19,@DebraMessing,25
#COVID19,@FoxNews,25
#COVID19,@celiacdisease,25
#COVID19,@PRGuy17,24
#COVID19,@CollinsforGA,24
#COVID19,@NephiLaxmus,24
#COVID19,@justin_hart,24
#COVID19,@KemenkesRI,24
#COVID19,@GovRonDeSantis,24
#COVID19,@GOPLeader,23
#COVID19,@NYGovCuomo,23
#COVID19,@c_drosten,23
#COVID19,@WNCathedral,23
#COVID19,@jpitney,23
#COVID19,@YouTube,22
#COVID19,@USNavy,22
#COVID19,@globaltimesnews,22
#COVID19,@JohnCornyn,22
#COVID19,@GMPOldham,22
#COVID19,@judgeyourself99,22
#COVID19,@thehill,22
#COVID19,@gmpolice,22
#COVID19,@MaximeBernier,22
#COVID19,@Naveen_Odisha,21
#COVID19,@DutytoInform,21
#COVID19,@CongressmanHice,21
#COVID19,@amnesty,21
#COVID19,@notcapnamerica,21
#COVID19,@MeidasTouch,21
#COVID19,@Markus_Soeder,21
#COVID19,@nytimes,21
#COVID19,@observerug,21
#COVID19,@PhilipWatson_,21
#COVID19,@Cambridge_Uni,20
#COVID19,@Cairo67Unedited,20
#COVID19,@drharshvardhan,20
#COVID19,@DrTedros,20
#COVID19,@aajtak,20
#COVID19,@mvankerkhove,19
#COVID19,@mosharrafzaidi,19
#COVID19,@LotusOak2,19
#COVID19,@IHME_UW,19
#COVID19,@washingtonpost,19
#COVID19,@SusanMichie,19
#COVID19,@bosmana,19
#COVID19,@fordnation,19
#COVID19,@Solo__Verdad,19
#COVID19,@USATODAY,19
#COVID19,@MintPressNews,18
#COVID19,@_b_meyer,18
#COVID19,@SKYRIDER4538,18
#COVID19,@Poetvix,18
#COVID19,@timesofindia,18
#COVID19,@uniceflac,18
#COVID19,@ndtv,18
#COVID19,@ABSCBNNews,18
#COVID19,@Libra08101,18
#COVID19,@the_etheropian,18
#COVID19,@NewYorkStateAG,18
#COVID19,@ABC,18
#COVID19,@EricTopol,17
#COVID19,@marcorubio,17
#COVID19,@LindseyGrahamSC,17
#COVID19,@sareyeumutol,17
#COVID19,@BenWinslow,17
#COVID19,@delbigtree,17
#COVID19,@4FreedominIran,17
#COVID19,@SenSchumer,17
#COVID19,@ashoswai,17
#COVID19,@JohnBasham,17
#COVID19,@RepRashida,17
#COVID19,@ElRaynerista,16
#COVID19,@BillKristol,16
#COVID19,@blackwomenviews,16
#COVID19,@saribethrose,16
#COVID19,@TuckerCarlson,16
#COVID19,@OpIndia_in,16
#COVID19,@DebbieforFL,16
#COVID19,@denisrancourt,16
#COVID19,@JustinTrudeau,16
#COVID19,@soloyochapin,16
#COVID19,@SergioCabelloL,16
#COVID19,@c_lindner,15
#COVID19,@MoHFW_INDIA,15
#COVID19,@UNGeneva,15
#COVID19,@mfa_russia,15
#COVID19,@andrewsparfea,15
#COVID19,@PetersonUtah,15
#COVID19,@HonAlinur,15
#COVID19,@BillGates,15
#COVID19,@Conservatives,15
#COVID19,@RVAT2020,15
#COVID19,@SpencerJCox,15
#COVID19,@EricTrump,15
#COVID19,@ltgrusselhonore,15
#COVID19,@JNJNews,15
#COVID19,@Dude4Liberty,15
#COVID19,@MSNBC,15
#COVID19,@ComunidadMadrid,14
#COVID19,@ASP,14
#COVID19,@BarackObama,14
#COVID19,@fema,14
#COVID19,@WHOSEARO,14
#COVID19,@Karl_Lauterbach,14
#COVID19,@LiMengYAN119,14
#COVID19,@LokaalGeld,14
#COVID19,@dabeard,14
#COVID19,@aqualia,14
#COVID19,@Reporte_Indigo,14
#COVID19,@AmenSty,14
#COVID19,@DonaldJTrumpJr,14
#COVID19,@sebasugarte,14
#COVID19,@AstroRadioNews,14
#COVID19,@BloodDonorsIn,14
#COVID19,@TheAtlantic,14
#COVID19,@MadFckingWitch,14
#COVID19,@newschambers,14
#COVID19,@meganranney,14
#COVID19,@sanjusadagopan,14
#COVID19,@EstebanVillama9,13
#COVID19,@KimHaokipINC,13
#COVID19,@ScottMorrisonMP,13
#COVID19,@KayBurley,13
#COVID19,@BBCWorld,13
#COVID19,@AstraZeneca,13
#COVID19,@RefuseFascism,13
#COVID19,@themaxburns,13
#COVID19,@axidentaliberal,13
#COVID19,@ACOM_es,13
#COVID19,@ImPAHrable,13
#COVID19,@DrLejarazu,13
#COVID19,@StenHelmfrid,13
#COVID19,@LesStonehouse,13
#COVID19,@patrick_edery,12
#COVID19,@DrAseemMalhotra,12
#COVID19,@ErnestoEkaizer,12
#COVID19,@BAG_OFSP_UFSP,12
#COVID19,@TheDemocrats,12
#COVID19,@akhan1437,12
#COVID19,@interiorgob,12
#COVID19,@KnowCovid19,12
#COVID19,@GregAbbott_TX,12
#COVID19,@AmerAcadPeds,12
#COVID19,@fdp,12
#COVID19,@bridget123goooo,12
#COVID19,@FaceTheNation,12
#COVID19,@APMinfos,12
#COVID19,@sarbanandsonwal,12
#COVID19,@JohnsHopkins,12
#COVID19,@mir_ocall,12
#COVID19,@AnnaForFlorida,12
#COVID19,@FreddyValera_AD,12
#COVID19,@ajplus,12
#COVID19,@EICEES,12
#COVID19,@tylerblack32,12
#COVID19,@AgentP22,12
#COVID19,@MerlinofCanada,12
#COVID19,@FinMinIndia,11
#COVID19,@CPAC,11
#COVID19,@derekjGZ,11
#COVID19,@ericswalwell,11
#COVID19,@ThinknPatriot,11
#COVID19,@TOIDelhi,11
#COVID19,@Winnie_Byanyima,11
#COVID19,@AshlyRRivero19,11
#COVID19,@billbowtell,11
#COVID19,@AliBinAlHussein,11
#COVID19,@OromoCause,11
#COVID19,@Odhis_,11
#COVID19,@MeanwhileinCana,11
#COVID19,@GovWhitmer,11
#COVID19,@UNHumanRights,11
