from,to,count
#Warntag2020,@katwarn_de,7
#Warntag2020,@watch_union,6
#Warntag2020,@eysvog3l,4
#Warntag2020,@BMISprecher,4
#Warntag2020,@traumherz,3
#Warntag2020,@gaiusoctavi,3
#Warntag2020,@gamingclerks,3
#Warntag2020,@DLFNachrichten,3
#Warntag2020,@DaveBrych,3
#Warntag2020,@FloGehm,2
#Warntag2020,@ranzaccount,2
#Warntag2020,@AufHerz,2
#Warntag2020,@Koeln,2
#Warntag2020,@RadioDresden,2
#Warntag2020,@PolizeiMainz,2
#Warntag2020,@DSM_Nordkirche,2
#Warntag2020,@StadtLeipzig,2
#Warntag2020,@SRKommunikation,1
#Warntag2020,@Nebulous81,1
#Warntag2020,@MichaelPioch1,1
#Warntag2020,@MaggyBigMag,1
#Warntag2020,@OptimusAnoying,1
#Warntag2020,@CASPERxOFFICIAL,1
#Warntag2020,@KindundKittel,1
#Warntag2020,@J_MkHk,1
#Warntag2020,@HonkHase,1
#Warntag2020,@CHSievers,1
#Warntag2020,@TheJeed,1
#Warntag2020,@HeikeMildenber1,1
#Warntag2020,@Glonntaler,1
#Warntag2020,@DirkLac,1
#Warntag2020,@DekadenteAntifa,1
#Warntag2020,@CiesekSandra,1
#Warntag2020,@StahlSucht,1
#Warntag2020,@roteskreuz_de,1
#Warntag2020,@TheRealSarsCov2,1
#Warntag2020,@BadHomburgStadt,1
#Warntag2020,@martja,1
#Warntag2020,@TUEV_SUED_MS,1
#Warntag2020,@SchattenwolfTV,1
#Warntag2020,@RubbelDieKatz71,1
#Warntag2020,@Polizei_Rostock,1
#Warntag2020,@NalanSipar,1
#Warntag2020,@KreisMettmann,1
#Warntag2020,@DieReserve,1
#Warntag2020,@spdmilk,1
#Warntag2020,@VictoriaHamburg,1
#Warntag2020,@satirefreak,1
#Warntag2020,@maltekir,1
#Warntag2020,@gruenbraun,1
#Warntag2020,@flystaa,1
#Warntag2020,@reitschuster,1
#Warntag2020,@dfv,1
#Warntag2020,@bpol_by,1
#Warntag2020,@_verdi,1
#Warntag2020,@XeslanaO,1
#Warntag2020,@ATTILA_HILDMANN,1
