src,dst,count
#COVID19,$1184025654976831488,31
#COVID19,$1231772147259002881,26
#COVID19,$113190456,15
#COVID19,$1011952996907962369,13
#COVID19,$2416298719,10
#COVID19,$166326763,9
#COVID19,$1283258456615424000,8
#COVID19,$1199768132832776193,6
#COVID19,$1241056390963224578,6
#COVID19,$103155466,6
#COVID19,$1249314426181877760,6
#COVID19,$1190109823792082944,5
#COVID19,$1191745846615957506,5
#COVID19,$355577182,5
#COVID19,$851200182503059460,5
#COVID19,$114512948,4
#COVID19,$3079713538,4
#COVID19,$1113773194048102402,4
#COVID19,$452860636,4
#COVID19,$1234879375734181888,4
#COVID19,$1304730996357636101,4
#COVID19,$2232463302,4
#COVID19,$1255126199149269000,4
#COVID19,$865823924805914624,4
#COVID19,$374559661,4
#COVID19,$1201527507977146371,4
#COVID19,$220365524,3
#COVID19,$1931507792,3
#COVID19,$1260010563867947012,3
#COVID19,$1303599088424882176,3
#COVID19,$526747419,3
#COVID19,$292898515,3
#COVID19,$48112717,3
#COVID19,$302928032,3
#COVID19,$1303737398292078593,3
#COVID19,$342575758,3
#COVID19,$865358958,3
#COVID19,$781200163008290816,3
#COVID19,$27438167,3
#COVID19,$1215271759101882378,3
#COVID19,$1246373466980470784,3
#COVID19,$1139428112960299008,3
#COVID19,$123830541,3
#COVID19,$1283166342762369025,3
#COVID19,$1283362176984592386,3
#COVID19,$1236273574895329281,3
#COVID19,$23300450,2
#COVID19,$221253050,2
#COVID19,$1254710984310247430,2
#COVID19,$18982331,2
#COVID19,$4289019337,2
#COVID19,$1301925290696781825,2
#COVID19,$101922332,2
#COVID19,$437498084,2
#COVID19,$2365663762,2
#COVID19,$17083970,2
#COVID19,$74440023,2
#COVID19,$735147495005769728,2
#COVID19,$1301617187304562688,2
#COVID19,$2185070054,2
#COVID19,$69558002,2
#COVID19,$40662775,2
#COVID19,$1266993196392841216,2
#COVID19,$713133920968159232,2
#COVID19,$62464090,2
#COVID19,$983926664899059713,2
#COVID19,$43868938,2
#COVID19,$564725304,2
#COVID19,$1044372663584473088,2
#COVID19,$468661083,2
#COVID19,$853713738,2
#COVID19,$1276348205903474689,2
#COVID19,$1177439542921445377,2
#COVID19,$482353209,2
#COVID19,$879332878089420800,2
#COVID19,$2827108294,2
#COVID19,$1376011723,2
#COVID19,$110256249,2
#COVID19,$38978291,2
#COVID19,$317258486,2
#COVID19,$3178766989,2
#COVID19,$1232163611776294912,2
#COVID19,$854242231699603456,2
#COVID19,$1240324835202535429,2
#COVID19,$36246939,2
#COVID19,$1007330310084702208,2
#COVID19,$974828652,2
#COVID19,$1084149784808689695,2
#COVID19,$2602199932,2
#COVID19,$455149997,2
#COVID19,$760930990638456833,2
#COVID19,$1310189454645170177,2
#COVID19,$1226623617422757895,2
#COVID19,$828841083257778176,2
#COVID19,$964087657872678912,2
#COVID19,$1166895442656817152,2
#COVID19,$1273991691217899520,2
#COVID19,$325028784,2
#COVID19,$2769757823,2
#COVID19,$629869080,2
#COVID19,$14107202,2
#COVID19,$3553388062,2
#COVID19,$294331495,2
#COVID19,$1283359081,2
#COVID19,$183244245,2
#COVID19,$424664120,2
#COVID19,$176577174,2
#COVID19,$2408260398,2
#COVID19,$2223259604,2
#COVID19,$1019209199589310466,2
#COVID19,$5665032,2
#COVID19,$966475711,2
#COVID19,$1292216657839104007,2
#COVID19,$1270807908436017153,2
#COVID19,$1030968545813962752,2
#COVID19,$1047787949067264000,2
#COVID19,$849915285482213376,2
#COVID19,$216722788,2
#COVID19,$871476507771883521,2
#COVID19,$7587032,2
#COVID19,$1307632931431747584,2
#COVID19,$40638800,2
#COVID19,$1675147274,2
#COVID19,$1213188080200368128,2
#COVID19,$1197223474860822529,2
#COVID19,$1197539488953700354,2
#COVID19,$996119641,2
#COVID19,$1256691912,2
#COVID19,$1241397503972515841,2
#COVID19,$937899468585828352,2
#COVID19,$1285628921355083776,2
#COVID19,$1079374636608114689,2
#COVID19,$630208434,2
#COVID19,$1210548832116920325,2
#COVID19,$416363599,2
#COVID19,$583505532,2
#COVID19,$77748386,2
#COVID19,$950909727084486656,2
