from,to,count
#Warntag2020,#Warntag,144
#Warntag2020,#NINA,87
#Warntag2020,#Sirenen,60
#Warntag2020,#fail,24
#Warntag2020,#warnapp,18
#Warntag2020,#Probealarm,11
#Warntag2020,#Klimakrise,10
#Warntag2020,#Berlin,9
#Warntag2020,#apocalypse2020,9
#Warntag2020,#Sirene,7
#Warntag2020,#warntag,6
#Warntag2020,#Warntag2021,6
#Warntag2020,#nina,6
#Warntag2020,#Moria,5
#Warntag2020,#Infotweet,5
#Warntag2020,#Magdeburg,5
#Warntag2020,#Warnapps,4
#Warntag2020,#Digitalisierung,4
#Warntag2020,#COVID19,4
#Warntag2020,#Weltuntergang,4
#Warntag2020,#Münster,4
#Warntag2020,#Hamburg,4
#Warntag2020,#ClimateAction,4
#Warntag2020,#Neuland,4
#Warntag2020,#Fiverr,4
#Warntag2020,#gates,4
#Warntag2020,#Bremen,3
#Warntag2020,#Corona,3
#Warntag2020,#Dortmund,3
#Warntag2020,#WARNUNG,3
#Warntag2020,#Deutschland,3
#Warntag2020,#Alarm,3
#Warntag2020,#Leipzig,3
#Warntag2020,#BBK,3
#Warntag2020,#AttilaHildmann,3
#Warntag2020,#Naidoo,2
#Warntag2020,#R2G,2
#Warntag2020,#Querdenker,2
#Warntag2020,#ard,2
#Warntag2020,#Gebärdensprache,2
#Warntag2020,#Polizei,2
#Warntag2020,#Oldenburg,2
#Warntag2020,#einmalmitProfis,2
#Warntag2020,#Politik,2
#Warntag2020,#fiverrgigpromotion,2
#Warntag2020,#fiverrseller,2
#Warntag2020,#Dresden,2
#Warntag2020,#NWO,2
#Warntag2020,#XavierNaidoo,2
#Warntag2020,#Kommunen,2
#Warntag2020,#Wiesbaden,2
#Warntag2020,#Werder,2
#Warntag2020,#RemsMurrKreis,2
#Warntag2020,#Warnung,2
#Warntag2020,#SchwarzeBlock,2
#Warntag2020,#Seehofer,2
#Warntag2020,#MAMAMOO_WannaBeMyself,2
#Warntag2020,#IndustrieparkHöchst,2
#Warntag2020,#Infraschall,2
#Warntag2020,#Warnrecoursen,2
#Warntag2020,#Warnapp,2
#Warntag2020,#WarnApp,2
#Warntag2020,#Technikdienichtbegeistert,2
#Warntag2020,#AEWDynamite,2
#Warntag2020,#Föderalismus,2
#Warntag2020,#Heiligenhaus,2
#Warntag2020,#Bevölkerungsschutz,2
#Warntag2020,#Biwapp,2
#Warntag2020,#stillemachtsichbreit,2
#Warntag2020,#purge,2
#Warntag2020,#katwarn,2
#Warntag2020,#Bremerhaven,2
#Warntag2020,#Autokorrektur,2
#Warntag2020,#Haan,2
