src,dst,count
#COVID19,@TaraSetmayer,187
#COVID19,@pointepern,92
#COVID19,@TheDemocrats,75
#COVID19,@Jimcorrsays,74
#COVID19,@GG_RMC,49
#COVID19,@dcislamabad,45
#COVID19,@SeharKamran,44
#COVID19,@realDonaldTrump,32
#COVID19,@BryanDawsonUSA,29
#COVID19,@DrZweliMkhize,27
#COVID19,@PabloFuente,22
#COVID19,@TheLancet,20
#COVID19,@ncrainbowgrrl,19
#COVID19,@Solo__Verdad,14
#COVID19,@Nigel_Farage,14
#COVID19,@ZohraBitan,13
#COVID19,@NiamhLQB,11
#COVID19,@NewsWrapped,11
#COVID19,@ygjumi,10
#COVID19,@adamhamdy,10
#COVID19,@OntarioPCParty,10
#COVID19,@fordnation,9
#COVID19,@USAloveGOD,9
#COVID19,@etienneliebig,8
#COVID19,@jpitney,8
#COVID19,@HealthySCC,8
#COVID19,@ARanganathan72,8
#COVID19,@AnalystHealth,7
#COVID19,@unitetheunion,7
#COVID19,@CiutadansBCN,7
#COVID19,@GrandpaSnarky,7
#COVID19,@ockhams,7
#COVID19,@DougBillings,7
#COVID19,@ICE71_,6
#COVID19,@theJagmeetSingh,6
#COVID19,@ToddSmithPC,6
#COVID19,@CQualtro,6
#COVID19,@JoeBiden,6
#COVID19,@AlainMarschall,6
#COVID19,@StylosrougesR,5
#COVID19,@173rdAbnBde,5
#COVID19,@EU_Commission,5
#COVID19,@salvadorilla,5
#COVID19,@Vicente73977721,5
#COVID19,@fignon_laurent,5
#COVID19,@WhiteHouse,5
#COVID19,@UN_PGA,5
#COVID19,@USArmyEurope,5
#COVID19,@UN_Enable,5
#COVID19,@UN,5
#COVID19,@KamalaHarris,5
#COVID19,@UNESCO,5
#COVID19,@Medicilio,4
#COVID19,@ODSPAction,4
#COVID19,@D_Boumaaz,4
#COVID19,@WHOAFRO,4
#COVID19,@ScottMorrisonMP,4
#COVID19,@wef,4
#COVID19,@stonecold2050,4
#COVID19,@UniversiteLiege,4
#COVID19,@vdwnico,4
#COVID19,@EC3Europol,4
#COVID19,@Annanya_9,4
#COVID19,@tvlofficiel,4
#COVID19,@ABC,4
#COVID19,@ANI,4
#COVID19,@DerbyshireBEVS,4
#COVID19,@BMVI,4
#COVID19,@SwedenUN,4
#COVID19,@chidambara09,4
#COVID19,@MailOnline,4
#COVID19,@Finanzas_Times,4
#COVID19,@annvandersteel,4
#COVID19,@ObjetivoLaSexta,4
#COVID19,@ESCAdvocacy,4
#COVID19,@POTUS,4
#COVID19,@JNJNews,4
#COVID19,@mathewjosephmus,3
#COVID19,@RestlessDev,3
#COVID19,@ActionAid,3
#COVID19,@music_rikard,3
#COVID19,@Echinanews,3
#COVID19,@tommyberre,3
#COVID19,@narendramodi,3
#COVID19,@SenateGOP,3
#COVID19,@Vivekpandey21,3
#COVID19,@SHomburg,3
#COVID19,@FaceTheNation,3
#COVID19,@realmilkfan,3
#COVID19,@MikeThePlumbe10,3
