src,dst,count
#COVID19,#reconfinement,415
#COVID19,#Marseille,286
#COVID19,#Veran,273
#COVID19,#France,273
#COVID19,#rouge,265
#COVID19,#coronavirus,236
#COVID19,#cancer,107
#COVID19,#Corona,99
#COVID19,#Trump,86
#COVID19,#GOP,65
#COVID19,#VoteBlue2020,59
#COVID19,#RealDonaldTrump,58
#COVID19,#Conservatives,58
#COVID19,#Coronavirus,51
#COVID19,#JNJ,39
#COVID19,#mentalhealth,36
#COVID19,#anxiety,31
#COVID19,#Florida,30
#COVID19,#CCPVirus,29
#COVID19,#TestTestTest,29
#COVID19,#Whistleblowermovement,28
#COVID19,#disabled,28
#COVID19,#Democrats,27
#COVID19,#CCPLiedPeopleDied,26
#COVID19,#MilesGuo,26
#COVID19,#NewFederalStateofChina,26
#COVID19,#TakeDownTheCCP,26
#COVID19,#onpoli,25
#COVID19,#Turkey,24
#COVID19,#Election2020,21
#COVID19,#Guelph,20
#COVID19,#COVIDー19,18
#COVID19,#AnthonyFauci,18
#COVID19,#MentalHealth,17
#COVID19,#Wisconsin,17
#COVID19,#VoteEarly,17
#COVID19,#China,17
#COVID19,#Texas,17
#COVID19,#SCOTUS,16
#COVID19,#Georgia,16
#COVID19,#Dejoy,16
#COVID19,#Germany,16
#COVID19,#POTUS,16
#COVID19,#Arizona,16
#COVID19,#NorthCarolina,16
#COVID19,#Covid,16
#COVID19,#USPS,16
#COVID19,#BorisJohnson,15
#COVID19,#lockdown,14
#COVID19,#BlackLivesMatter,14
#COVID19,#Vaccine,14
#COVID19,#SARSCoV2,14
#COVID19,#UNGA,13
#COVID19,#CoronavirusPandemic,12
#COVID19,#Covid_19,12
#COVID19,#ThursdayMotivation,12
#COVID19,#London,12
#COVID19,#BigPharma,12
#COVID19,#CoronaVirusUpdates,11
#COVID19,#CoronaVirus,11
#COVID19,#WearAMask,11
#COVID19,#Plandemia,11
#COVID19,#BreyonnaTaylor,10
#COVID19,#Drosten,10
#COVID19,#CoronaVirusUpdate,10
#COVID19,#DeepState,10
#COVID19,#ByeKayleigh,10
#COVID19,#Maskenpflicht,10
#COVID19,#Sweden,10
#COVID19,#SPBalasubrahmanyam,10
#COVID19,#NGO,10
#COVID19,#Rücktritt,9
#COVID19,#COVID19India,9
#COVID19,#LTC,9
#COVID19,#Protests,9
#COVID19,#pandemic,9
#COVID19,#cdnpoli,9
#COVID19,#SaveHotelJobs,9
#COVID19,#India,9
#COVID19,#StaySafe,8
#COVID19,#migraine,8
#COVID19,#COVIDIOTS,8
#COVID19,#Covidioten,8
#COVID19,#scamdemic,8
#COVID19,#SecondWave,8
#COVID19,#sport,8
#COVID19,#TrafalgarSquare,8
#COVID19,#COVID,8
#COVID19,#ClarifyGSTR9,8
#COVID19,#Russia,8
#COVID19,#GSTR9,8
#COVID19,#coronavirusFacts,8
#COVID19,#ExtendGstr9DueDate,8
#COVID19,#PCR,8
#COVID19,#MerkelMussWeg,8
#COVID19,#Madrid,8
#COVID19,#GSTR9C,8
#COVID19,#herdimmunity,8
#COVID19,#RD,7
#COVID19,#UNGA75,7
#COVID19,#RepublicaDominicana,7
#COVID19,#Labour,7
#COVID19,#MAGA,7
#COVID19,#TamilNadu,7
#COVID19,#income,7
#COVID19,#coronatest,7
#COVID19,#Spahn,7
#COVID19,#Covid19UK,7
#COVID19,#PoorPeople,7
#COVID19,#LuisAbinader,7
#COVID19,#EstamosCambiando,7
#COVID19,#Iran,7
#COVID19,#Canada,7
#COVID19,#vaccine,7
#COVID19,#WHO,7
#COVID19,#Merkel,6
#COVID19,#Cuba,6
#COVID19,#郭文贵,6
#COVID19,#Ahmedabad,6
#COVID19,#爆料革命,6
#COVID19,#COVIDIDIOTS,6
#COVID19,#新中国联邦,6
#COVID19,#coronavirusDE,6
#COVID19,#TrumpIsUnwell,6
#COVID19,#Americans,6
#COVID19,#corona,6
#COVID19,#ToqueDeQueda,6
#COVID19,#MUFC,6
#COVID19,#TN,6
#COVID19,#BREAKING,6
#COVID19,#StayHome,6
#COVID19,#kassensturz,6
#COVID19,#DopeyDon,6
#COVID19,#Worldpharmacistday2020,6
#COVID19,#FelizJueves,6
#COVID19,#UK,6
#COVID19,#PCRtest,6
#COVID19,#ClimateChange,6
#COVID19,#HumptyTrumpty,6
#COVID19,#UNMAGA,6
#COVID19,#mentalwellness,6
#COVID19,#Lauterbach,6
#COVID19,#Drostnocchio,5
#COVID19,#Qatar,5
#COVID19,#Norway,5
#COVID19,#Health,5
#COVID19,#GlobalGoals,5
#COVID19,#TNCoronaUpdates,5
#COVID19,#denkmit,5
#COVID19,#SalmanKhan,5
#COVID19,#pcrtest,5
#COVID19,#Lavrov,5
#COVID19,#NBAPlayoffs,5
#COVID19,#Panikmache,5
#COVID19,#pandemia,5
#COVID19,#RKI,5
#COVID19,#MentalHealthAwareness,5
#COVID19,#COVID19at,5
#COVID19,#Singapore,5
#COVID19,#resilience,5
#COVID19,#hopital,5
#COVID19,#COVID__19,5
#COVID19,#QroFuerte,5
#COVID19,#TrumpVirus,5
#COVID19,#Coronakrise,5
#COVID19,#ThursdayThoughts,5
#COVID19,#Söder,4
#COVID19,#depression,4
#COVID19,#TrumpLied200KAmericansdied,4
#COVID19,#Finland,4
#COVID19,#food,4
#COVID19,#CDC,4
#COVID19,#Lockdown,4
#COVID19,#ECMO,4
#COVID19,#Trump2020,4
#COVID19,#HumanImmortalityProject,4
#COVID19,#Pandemie,4
#COVID19,#Myanmar,4
#COVID19,#Indonesia,4
#COVID19,#HydePark,4
#COVID19,#TrumpLiedPeopleDied,4
#COVID19,#HouseOnFire,4
#COVID19,#Ontario,4
#COVID19,#BildungAberSicher,4
#COVID19,#US,4
#COVID19,#USA,4
#COVID19,#Odisha,4
#COVID19,#BidenHarris2020,4
#COVID19,#Google,4
#COVID19,#Vote,4
#COVID19,#IndiaFightsCorona,4
#COVID19,#FactsNotFear,4
#COVID19,#RIPSPBSir,4
#COVID19,#wellbeing,4
#COVID19,#ymhc,4
#COVID19,#gunaydin,4
#COVID19,#كورونا,4
#COVID19,#The100,4
#COVID19,#Bitcoin,4
#COVID19,#AIIMS,4
#COVID19,#SaturdayMotivation,4
#COVID19,#politics,4
#COVID19,#heritageday2020,4
#COVID19,#WuhanVirus,4
#COVID19,#COVID2019,4
#COVID19,#BLM,4
#COVID19,#News,4
#COVID19,#Islam,4
#COVID19,#Halloween,4
#COVID19,#Corruption,4
#COVID19,#MainePyarKiya,4
#COVID19,#Zinc,4
#COVID19,#NEET,3
#COVID19,#BBC,3
#COVID19,#followme,3
#COVID19,#Genocide,3
#COVID19,#FridayFeeling,3
#COVID19,#Gujarat,3
#COVID19,#Masks,3
#COVID19,#NHSApp,3
#COVID19,#follow4follow,3
#COVID19,#BBNaijia,3
#COVID19,#cryptocurrency,3
#COVID19,#flu,3
#COVID19,#NCDs,3
#COVID19,#MS,3
#COVID19,#Nepal,3
#COVID19,#SaturdayThoughts,3
#COVID19,#ARMY,3
#COVID19,#workers,3
#COVID19,#StopTheMadnessStopTrump,3
#COVID19,#SwiggyStrike,3
#COVID19,#TestAndTrace,3
#COVID19,#Österreich,3
#COVID19,#andaluces,3
#COVID19,#UN,3
#COVID19,#SaturdayMorning,3
#COVID19,#SuperOne,3
#COVID19,#ThursdayThought,3
#COVID19,#Tokyo,3
#COVID19,#STOPWHO,3
#COVID19,#Worlds2020,3
#COVID19,#Twitter,3
#COVID19,#vote,3
#COVID19,#Nigeria,3
#COVID19,#People,3
#COVID19,#china,3
#COVID19,#OlivierVeran,3
#COVID19,#education,3
#COVID19,#casinobonus,3
#COVID19,#casino,3
#COVID19,#appleevent,3
#COVID19,#ProvinciaSev,3
#COVID19,#Lebanon,3
#COVID19,#WestBengal,3
#COVID19,#Weil,3
#COVID19,#MARSEILLEENCOLERE,3
#COVID19,#Laschet,3
#COVID19,#RenewableEnergy,3
#COVID19,#coronavirusuk,3
#COVID19,#france,3
#COVID19,#Chelsea,3
#COVID19,#germany,3
#COVID19,#FarmBill2020,3
#COVID19,#Berlin,3
#COVID19,#VeranDemission,3
#COVID19,#Ciencia,3
#COVID19,#Crypto,3
#COVID19,#IPL2020,3
#COVID19,#stress,3
#COVID19,#obesity,3
#COVID19,#HAYIRLISABAHLAR,3
#COVID19,#COVID_19,3
#COVID19,#russia,3
#COVID19,#norway,3
#COVID19,#GoogleMaps,3
#COVID19,#CyberSecurity,3
#COVID19,#ocrelizumab,3
#COVID19,#Coronaschulen,3
#COVID19,#казино,3
#COVID19,#Denmark,3
#COVID19,#rituximab,3
#COVID19,#DeSantisKillsFlorida,3
#COVID19,#BlacklivesStillMatter,3
#COVID19,#DeanJones,3
#COVID19,#COVID19france,3
#COVID19,#thursdaymorning,3
#COVID19,#thursday,3
#COVID19,#ELSO2020,3
#COVID19,#GAA,3
#COVID19,#EastEnders,3
#COVID19,#CovidUK,3
#COVID19,#But,3
#COVID19,#security,3
#COVID19,#ldnont,3
#COVID19,#European,3
#COVID19,#polqc,3
#COVID19,#EU,3
#COVID19,#新冠肺炎,3
#COVID19,#Bedos,3
#COVID19,#swiggy,3
#COVID19,#CorkToday,3
#COVID19,#ChineseVirus19,3
#COVID19,#protests,3
#COVID19,#Europe,3
#COVID19,#DonaldTrump,3
#COVID19,#springst,3
#COVID19,#FollowMe,3
#COVID19,#trump,3
#COVID19,#stayathome,3
#COVID19,#italy,3
#COVID19,#BuildBackBetter,3
#COVID19,#CoronaVirusDE,3
#COVID19,#txed,3
#COVID19,#Italy,3
#COVID19,#Delhi,2
#COVID19,#usa,2
#COVID19,#SocialDistancing,2
#COVID19,#TheLPShow,2
#COVID19,#Oklahoma,2
#COVID19,#StableGenius,2
#COVID19,#200KDeadAmericans,2
#COVID19,#SinLuz,2
#COVID19,#toronto,2
#COVID19,#جمعه_الغضب_25_سبتمبر,2
#COVID19,#virtual,2
#COVID19,#Swedish,2
#COVID19,#tuamishijosnolosasustasmas,2
#COVID19,#Students,2
#COVID19,#Switzerland,2
#COVID19,#StayStrong,2
#COVID19,#التطبيع_خيانة,2
#COVID19,#SuicidePreventionMonth,2
#COVID19,#Spain,2
#COVID19,#SundayThoughts,2
#COVID19,#SPB,2
#COVID19,#yosoynegacionista,2
#COVID19,#Schulen,2
#COVID19,#Racist,2
#COVID19,#Republican,2
#COVID19,#Anxiety,2
#COVID19,#RebroteTimo,2
#COVID19,#VerifyErica,2
#COVID19,#Ramanathapuram,2
#COVID19,#Rainforest,2
#COVID19,#BJP,2
#COVID19,#UAE,2
#COVID19,#daystar,2
#COVID19,#RepublicansAreKillingUs,2
#COVID19,#URGENTE,2
#COVID19,#Casedemic,2
#COVID19,#BharatBandh,2
#COVID19,#Qanons,2
#COVID19,#canada,2
#COVID19,#CharlieHebdo,2
#COVID19,#Pune,2
#COVID19,#VOTELayconToVictory,2
#COVID19,#arsenal,2
#COVID19,#UNGA2020,2
#COVID19,#UN75,2
#COVID19,#SchulSperrungen,2
#COVID19,#SanitariosAsesinos,2
#COVID19,#SPbalasubramanyam,2
#COVID19,#woman,2
#COVID19,#SaturdayVibes,2
#COVID19,#Death,2
#COVID19,#SuperM,2
#COVID19,#worldwide,2
#COVID19,#DZIF_Wissenschaftler,2
#COVID19,#yyc,2
#COVID19,#Syria,2
#COVID19,#CoronavirusOutbreak,2
#COVID19,#CustomerService,2
#COVID19,#Tiermodelle,2
#COVID19,#Covid19pressConf,2
#COVID19,#Covid19,2
#COVID19,#SOSAmazonia,2
#COVID19,#ToryLanez,2
#COVID19,#CPUK,2
#COVID19,#TrumpCrimeSyndicate,2
#COVID19,#RonDeSantis,2
#COVID19,#Netherlands,2
#COVID19,#ModiMadeDisaster,2
#COVID19,#NHS,2
#COVID19,#FelizViernesATodos,2
#COVID19,#FluShot,2
#COVID19,#Isolation,2
#COVID19,#Infektionszahlen,2
#COVID19,#Australia,2
#COVID19,#Military,2
#COVID19,#Mindfulness,2
#COVID19,#cybersecurity,2
#COVID19,#MoreTalkMoreMusic,2
#COVID19,#BiVisibilityDay,2
#COVID19,#MaskUp,2
#COVID19,#crowdfunding,2
#COVID19,#IAM,2
#COVID19,#mask,2
#COVID19,#HumanLEAD,2
#COVID19,#HeritageDay,2
#COVID19,#Hackers,2
#COVID19,#NWO,2
#COVID19,#NarayanRao,2
#COVID19,#kickstarter,2
#COVID19,#JerusalemaDanceChallenge,2
#COVID19,#Nigerians,2
#COVID19,#LouisvilleProtests,2
#COVID19,#LetThePeopleDecide,2
#COVID19,#Belgium,2
#COVID19,#Kindness,2
#COVID19,#fearwomen,2
#COVID19,#Lockdown2,2
#COVID19,#LongCovid,2
#COVID19,#KiddwayaXEkoHotels,2
#COVID19,#KAG2020,2
#COVID19,#Love,2
#COVID19,#Jesus,2
#COVID19,#KAG,2
#COVID19,#BeTheInfinite,2
#COVID19,#Bangladesh,2
#COVID19,#MAGAts,2
#COVID19,#JoyTrain,2
#COVID19,#Macron,2
#COVID19,#election,2
#COVID19,#Maracay,2
#COVID19,#Joy,2
#COVID19,#Greece,2
#COVID19,#NiggApassTheTEST,2
#COVID19,#ToryDictatorship,2
#COVID19,#BuenDia,2
#COVID19,#ViralJharsuguda,2
#COVID19,#Ambulance,2
#COVID19,#BreonnaTaylorMatters,2
#COVID19,#VeryWorriedAB,2
#COVID19,#Republicans,2
#COVID19,#Resist,2
#COVID19,#FFXIV,2
#COVID19,#FAIL,2
#COVID19,#Euskadi,2
#COVID19,#VoteBidenHarris,2
#COVID19,#socialjustice,2
#COVID19,#strike,2
#COVID19,#Tunisia,2
#COVID19,#TrumpVirusDeathToll203K,2
#COVID19,#SDGActionZone,2
#COVID19,#SackVallance,2
#COVID19,#Salud,2
#COVID19,#TrumpKnew,2
#COVID19,#Scotland,2
#COVID19,#VitaminC,2
#COVID19,#VoteBlue,2
#COVID19,#Biden2020,2
#COVID19,#blog,2
#COVID19,#GoldenHearts,2
#COVID19,#ottawa,2
#COVID19,#Oman,2
#COVID19,#GirlfriendsOnNetflix,2
#COVID19,#physics,2
#COVID19,#Gaiman,2
#COVID19,#PLandemie,2
#COVID19,#BollywoodCleanup,2
#COVID19,#Arsenal,2
#COVID19,#Amsterdam,2
#COVID19,#Politik,2
#COVID19,#Argentina,2
#COVID19,#PortlandProtests,2
#COVID19,#FoxAndFriends,2
#COVID19,#Fortnite,2
#COVID19,#BreonnaTaylor,2
#COVID19,#RIP,2
#COVID19,#restrictions,2
#COVID19,#RapidRiskAssessment,2
#COVID19,#Iceland,2
#COVID19,#Rusizi,2
#COVID19,#hedoesntcare,2
#COVID19,#scamdemic2020,2
#COVID19,#IDoNotConsent,2
#COVID19,#kostenlos,2
#COVID19,#data,2
