src,dst,count
#HappyBangChanDay,@Stray_Kids,542
#HappyBangChanDay,@jypnation,35
#HappyBangChanDay,@skizzards,32
#HappyBangChanDay,@chrislooped,29
#HappyBangChanDay,@raepliica,27
#HappyBangChanDay,@danceracha,21
#HappyBangChanDay,@starlighyunjin,21
#HappyBangChanDay,@skzpeaxh,19
#HappyBangChanDay,@sswooshin,16
#HappyBangChanDay,@orpheros1003,15
#HappyBangChanDay,@Stray_Kids_JP,14
#HappyBangChanDay,@CB97LINO,14
#HappyBangChanDay,@chanlestiaI,14
#HappyBangChanDay,@linetoday,14
#HappyBangChanDay,@binchanism,13
#HappyBangChanDay,@straykidsfilm,13
#HappyBangChanDay,@Edelstein9809,13
#HappyBangChanDay,@aosoora,11
#HappyBangChanDay,@amandhi_,10
#HappyBangChanDay,@minhooooho,10
#HappyBangChanDay,@StrayKidsGlobal,10
#HappyBangChanDay,@20180325sk,10
#HappyBangChanDay,@hwangsamericano,9
#HappyBangChanDay,@jnkminho,8
#HappyBangChanDay,@hourlyhanjisung,7
#HappyBangChanDay,@sidvffcts,7
#HappyBangChanDay,@skzIoops,7
#HappyBangChanDay,@skzshots,7
#HappyBangChanDay,@felixcentric,7
#HappyBangChanDay,@StaysPedia,7
#HappyBangChanDay,@CB97hive,6
#HappyBangChanDay,@lvnb0505,6
#HappyBangChanDay,@shiningsirius97,6
#HappyBangChanDay,@itschangel,6
#HappyBangChanDay,@minhxtiny,6
#HappyBangChanDay,@jisungqie,6
#HappyBangChanDay,@chanpuffs,6
#HappyBangChanDay,@yongbokkieSTAY,6
#HappyBangChanDay,@maluisa1197,5
#HappyBangChanDay,@skzleader97s,5
#HappyBangChanDay,@Stay_Sima,5
#HappyBangChanDay,@_xjustkillmex_,5
#HappyBangChanDay,@hyunjinlisp,5
#HappyBangChanDay,@safiraskz,5
#HappyBangChanDay,@hwangseungs,5
#HappyBangChanDay,@CB97Stay,5
#HappyBangChanDay,@Stay_clowns,5
#HappyBangChanDay,@JlSUNGlES,5
