from,to,count
#COVID19,$113190456,36
#COVID19,$1289974552387346432,21
#COVID19,$952247125185720320,17
#COVID19,$1292782091055149057,11
#COVID19,$1303722854035398656,10
#COVID19,$1220002905060593664,9
#COVID19,$138343518,9
#COVID19,$1283452423319752705,6
#COVID19,$705846038490390528,6
#COVID19,$1241996924648968192,5
#COVID19,$851200182503059460,5
#COVID19,$1287369904547495938,5
#COVID19,$1236273574895329281,5
#COVID19,$1170258383506747393,4
#COVID19,$868648623608741888,4
#COVID19,$785324110708563969,3
#COVID19,$64189266,3
#COVID19,$1221856187660099588,3
#COVID19,$2726675286,3
#COVID19,$720418393,3
#COVID19,$1272660278727995392,3
#COVID19,$771027246,3
#COVID19,$1303737398292078593,3
#COVID19,$393766451,3
#COVID19,$844168502168735745,3
#COVID19,$1510787130,3
#COVID19,$1264545240414687232,3
#COVID19,$1260557374068109312,3
#COVID19,$3532655353,3
#COVID19,$819210274418946048,3
#COVID19,$834434524801036288,3
#COVID19,$144402222,3
#COVID19,$18179554,2
#COVID19,$1286649575026040832,2
#COVID19,$35766965,2
#COVID19,$14413869,2
#COVID19,$77244409,2
#COVID19,$1262987183570518016,2
#COVID19,$1249314426181877760,2
#COVID19,$452172857,2
#COVID19,$849955489936965632,2
#COVID19,$975779240376504321,2
#COVID19,$542810638,2
#COVID19,$869967070984851457,2
#COVID19,$35215369,2
#COVID19,$37583100,2
#COVID19,$787040524192604160,2
#COVID19,$275747585,2
#COVID19,$877629044828667905,2
#COVID19,$2860822496,2
#COVID19,$82455956,2
#COVID19,$211638498,2
#COVID19,$29297910,2
#COVID19,$4697664391,2
#COVID19,$824448862538629120,2
#COVID19,$1241450047507660802,2
#COVID19,$14944543,2
#COVID19,$550605163,2
#COVID19,$326279403,2
#COVID19,$1166381062248783874,2
#COVID19,$38955690,2
#COVID19,$799402837675380736,2
#COVID19,$1228520858039115777,2
#COVID19,$966336751164973056,2
#COVID19,$1249783933,2
#COVID19,$160588940,2
#COVID19,$1206431898,2
#COVID19,$301755029,2
#COVID19,$1203183006820786176,2
#COVID19,$66649601,2
#COVID19,$1263925248317173760,2
#COVID19,$896622942469070848,2
#COVID19,$706357166,2
#COVID19,$853869415082979328,2
#COVID19,$327811537,2
#COVID19,$194379087,2
#COVID19,$477512627,2
#COVID19,$16165381,2
#COVID19,$128429068,2
#COVID19,$1262392938287509504,2
#COVID19,$1161737207964504065,2
#COVID19,$1239195724073570305,2
#COVID19,$1257394021757939713,2
#COVID19,$1245054791014920194,2
#COVID19,$25281508,2
#COVID19,$1241977221545250816,2
#COVID19,$1096856041533464576,2
#COVID19,$1227632355306807296,2
#COVID19,$1936403509,2
#COVID19,$966325158922342400,2
#COVID19,$1096728263102210049,2
#COVID19,$8385212,2
#COVID19,$2732784567,2
#COVID19,$801367260,2
