src,dst,count
#GiveawayNCTShopee,$829235931714637824,846
#GiveawayNCTShopee,$1272815190673780736,750
#GiveawayNCTShopee,$1291278832645705728,695
#GiveawayNCTShopee,$1298977182790766594,685
#GiveawayNCTShopee,$1309709304044298240,636
#GiveawayNCTShopee,$1308362581204062210,560
#GiveawayNCTShopee,$1206579964977352704,536
#GiveawayNCTShopee,$2346299546,534
#GiveawayNCTShopee,$1266553594465189895,505
#GiveawayNCTShopee,$1290679859413282816,492
#GiveawayNCTShopee,$1089095085331963904,492
#GiveawayNCTShopee,$3632199917,462
#GiveawayNCTShopee,$1238115419799482370,450
#GiveawayNCTShopee,$1294567769820680193,445
#GiveawayNCTShopee,$192505774,428
#GiveawayNCTShopee,$1268334953835532288,426
#GiveawayNCTShopee,$791924365361152000,386
#GiveawayNCTShopee,$1120600313189154816,274
#GiveawayNCTShopee,$1295221893662781440,216
#GiveawayNCTShopee,$1182890234947653632,204
#GiveawayNCTShopee,$1069367869996060672,200
#GiveawayNCTShopee,$1308344699602612225,168
#GiveawayNCTShopee,$1287280600718520320,162
#GiveawayNCTShopee,$1105486523951017985,133
#GiveawayNCTShopee,$1144832691574935552,104
#GiveawayNCTShopee,$1309760142213177345,102
#GiveawayNCTShopee,$1202635844227493888,96
#GiveawayNCTShopee,$1273998692081520640,88
#GiveawayNCTShopee,$1082652719276539906,81
#GiveawayNCTShopee,$1213774263171174400,81
#GiveawayNCTShopee,$1112225403098132481,80
#GiveawayNCTShopee,$1179904128425660418,60
#GiveawayNCTShopee,$1257932585402941440,52
#GiveawayNCTShopee,$1311233452637745152,50
#GiveawayNCTShopee,$1294084782935044098,50
#GiveawayNCTShopee,$1293202504331624449,48
#GiveawayNCTShopee,$1265800091043893248,45
#GiveawayNCTShopee,$1289957472577269760,40
#GiveawayNCTShopee,$907912097689829377,39
#GiveawayNCTShopee,$1310455645347303424,33
#GiveawayNCTShopee,$1291575657911054336,30
#GiveawayNCTShopee,$1303146393490436096,29
#GiveawayNCTShopee,$1266275662853111809,28
#GiveawayNCTShopee,$1192261224,18
#GiveawayNCTShopee,$2224447176,16
#GiveawayNCTShopee,$1121233659040690177,15
#GiveawayNCTShopee,$1259798165227630592,15
#GiveawayNCTShopee,$1304009431231807489,15
#GiveawayNCTShopee,$1304742747304202241,14
#GiveawayNCTShopee,$790571774782103552,14
#GiveawayNCTShopee,$1307911484916207616,14
#GiveawayNCTShopee,$1310900417119752197,12
#GiveawayNCTShopee,$1092448153779855360,12
#GiveawayNCTShopee,$489111772,10
#GiveawayNCTShopee,$1252010140468838400,10
#GiveawayNCTShopee,$1304413016864092162,10
#GiveawayNCTShopee,$1154638328597139456,8
#GiveawayNCTShopee,$1160809884364857344,8
#GiveawayNCTShopee,$1260540335274352641,8
#GiveawayNCTShopee,$1289600427042811905,8
#GiveawayNCTShopee,$1191350268731936768,7
#GiveawayNCTShopee,$1241293217984679937,6
#GiveawayNCTShopee,$1299875285702070274,6
#GiveawayNCTShopee,$2483431562,6
#GiveawayNCTShopee,$1027496434881314816,5
#GiveawayNCTShopee,$1290426274523963395,5
#GiveawayNCTShopee,$1311227616695742464,5
#GiveawayNCTShopee,$1189091225782996992,4
#GiveawayNCTShopee,$1203317723129729024,4
#GiveawayNCTShopee,$1303945914298454016,4
#GiveawayNCTShopee,$857043557760212992,4
#GiveawayNCTShopee,$1247486573249093633,3
#GiveawayNCTShopee,$1138821315656278016,3
#GiveawayNCTShopee,$1023928632,3
#GiveawayNCTShopee,$1693737888,2
#GiveawayNCTShopee,$1225352780719640578,2
#GiveawayNCTShopee,$1295329361281728512,2
#GiveawayNCTShopee,$1172676106731708416,1
