src,dst,count
#WorldUnitedForSSRJustice,@SinghAd69904043,1
#WorldUnitedForSSRJustice,@ishkarnBHANDARI,1
#WorldUnitedForSSRJustice,@Swamy39,1
#WorldUnitedForSSRJustice,@Honest_Kejriwal,1
#WorldUnitedForSSRJustice,@Republic_Bharat,1
#WorldUnitedForSSRJustice,@deepikapadukone,1
#WorldUnitedForSSRJustice,@KanganaOffical,1
#WorldUnitedForSSRJustice,@phoenixrizing10,1
#WorldUnitedForSSRJustice,@itsSSR,1
#WorldUnitedForSSRJustice,@NikitaPrasad13,1
#WorldUnitedForSSRJustice,@divinemitz,1
#WorldUnitedForSSRJustice,@arnabofficial07,1
