src,dst,count
$36327407,@HTAutotweets,3
$36327407,@HTPunjab,2
$36327407,@htdelhi,2
$36327407,@HTTech,2
$36327407,@HTMumbai,2
$36327407,@HTSportsNews,2
$36327407,@kainisms,1
$36327407,@WhatsApp,1
$36327407,@jayashreenandi,1
$36327407,@DelhiCapitals,1
$36327407,@HyundaiIndia,1
$36327407,@ajinkyarahane88,1
$36327407,@gernalist,1
$36327407,@debabrata2008,1
$36327407,@htshowbiz,1
$36327407,@neerajwriting,1
$36327407,@BhargabSarmah,1
$36327407,@DhimanHT,1
$36327407,@FordIndia,1
$36327407,@chetrisunil11,1
$36327407,@htpune,1
