src,dst,count
#BLACKPINK,$1310459397038944258,65
#BLACKPINK,$1306622290285608962,56
#BLACKPINK,$1285588626554798080,47
#BLACKPINK,$1216853198683529216,42
#BLACKPINK,$1104624013270118402,39
#BLACKPINK,$937176724420182017,38
#BLACKPINK,$1001646821104435200,37
#BLACKPINK,$1311793840043421698,36
#BLACKPINK,$1283672069390000128,36
#BLACKPINK,$1302067750660177920,35
#BLACKPINK,$1284693424004718592,31
#BLACKPINK,$1132204103092670464,31
#BLACKPINK,$704467426440777729,31
#BLACKPINK,$1311824181416218625,30
#BLACKPINK,$1033359147603963904,30
#BLACKPINK,$1165144115593375744,30
#BLACKPINK,$1292476341774716928,30
#BLACKPINK,$1263754899000418305,28
#BLACKPINK,$1132639405384953856,28
#BLACKPINK,$904548669210468353,27
#BLACKPINK,$1299679761438879746,27
#BLACKPINK,$1167371305445801989,26
#BLACKPINK,$1271347519469969416,26
#BLACKPINK,$1289773485795860480,25
#BLACKPINK,$1101852686394126337,25
#BLACKPINK,$998739316896493568,24
#BLACKPINK,$1140468419990577154,24
#BLACKPINK,$1179897389273870336,23
#BLACKPINK,$726060167482101761,23
#BLACKPINK,$1299714264999981057,23
#BLACKPINK,$1284039150144872448,23
#BLACKPINK,$1275791993919041536,23
#BLACKPINK,$1044789019140272128,22
#BLACKPINK,$1260858516127969281,20
#BLACKPINK,$1253349884033265671,20
#BLACKPINK,$1025747938855645185,20
#BLACKPINK,$1296803577394946049,19
#BLACKPINK,$1221791510829527040,19
#BLACKPINK,$1307519267584188416,19
#BLACKPINK,$1309173753918550016,19
#BLACKPINK,$778259116628336640,19
#BLACKPINK,$1254811514143301632,18
#BLACKPINK,$904270291248963584,18
#BLACKPINK,$1031135891975073792,18
#BLACKPINK,$1258638704848977920,18
#BLACKPINK,$1271280843869188096,18
#BLACKPINK,$1215239911982264323,18
#BLACKPINK,$937676429017284608,17
#BLACKPINK,$1104278743357390848,17
#BLACKPINK,$1242440647140732929,17
#BLACKPINK,$1277752283464208384,17
#BLACKPINK,$1292316699782504449,17
#BLACKPINK,$1297540666075955200,17
#BLACKPINK,$2465994506,17
#BLACKPINK,$1290900645982044160,17
#BLACKPINK,$1300217666922143745,17
#BLACKPINK,$1242819162289790976,17
#BLACKPINK,$1263872700952412160,17
#BLACKPINK,$1073031401639948288,16
#BLACKPINK,$942046050348498944,16
#BLACKPINK,$1104164965869473794,16
#BLACKPINK,$1077882397213962242,16
#BLACKPINK,$1297497307680628737,16
#BLACKPINK,$1175274133522771970,16
#BLACKPINK,$709304185016025089,15
#BLACKPINK,$1100808816923275264,15
#BLACKPINK,$1068390871995805696,15
#BLACKPINK,$1304443650403778560,15
#BLACKPINK,$1233635627909836800,15
#BLACKPINK,$1238123958832001024,15
#BLACKPINK,$1272337643796234240,15
#BLACKPINK,$976717275339276289,15
#BLACKPINK,$1293136635740135428,14
#BLACKPINK,$1257205054827720704,14
#BLACKPINK,$1280688299028275200,14
#BLACKPINK,$1283075775500099586,14
#BLACKPINK,$1302666961688563712,14
#BLACKPINK,$1281265905901633536,14
#BLACKPINK,$1243477472705798145,14
#BLACKPINK,$2829243282,14
#BLACKPINK,$2365535947,14
#BLACKPINK,$1306865738485956608,14
#BLACKPINK,$1296345638519463938,14
#BLACKPINK,$3445193354,14
#BLACKPINK,$1122011727426572288,14
#BLACKPINK,$1226162622757605376,13
#BLACKPINK,$1262694881446658050,13
#BLACKPINK,$1224000512413986817,13
#BLACKPINK,$1304679698727923712,13
#BLACKPINK,$1294253161327112197,13
#BLACKPINK,$1102150916281532417,13
