src,dst,count
@ndtv,@TheDeshBhakt,2220
@ndtv,@PMOIndia,2057
@PMOIndia,@HMOIndia,21390
@PMOIndia,@republic,5477
@ndtv,@arvindgunasekar,1848
@arvindgunasekar,@Nidhi,532
@ndtv,@HMOIndia,1500
@HMOIndia,@PMOIndia,21414
@HMOIndia,@republic,3524
@HMOIndia,@lostsoul_apu,2244
@ndtv,@lostsoul_apu,1440
@lostsoul_apu,@HMOIndia,2448
@lostsoul_apu,@PMOIndia,2310
@ndtv,@aajtak,1148
@aajtak,@ABPNews,3350
@aajtak,@RahulGandhi,1723
@aajtak,@republic,1460
@ndtv,@ABPNews,844
@ABPNews,@aajtak,3350
@ABPNews,@priyankagandhi,1362
@ABPNews,@PMOIndia,1170
@ABPNews,@RahulGandhi,1158
@ndtv,@Nidhi,602
@Nidhi,@arvindgunasekar,532
@ndtv,@RahulGandhi,533
@RahulGandhi,@priyankagandhi,37502
@RahulGandhi,@INCIndia,14673
@ndtv,@republic,394
@republic,@PMOIndia,5477
@republic,@HMOIndia,3520
@ndtv,@priyankagandhi,289
@priyankagandhi,@RahulGandhi,37635
@priyankagandhi,@INCIndia,14056
@priyankagandhi,@ABPNews,1362
@ndtv,@INCIndia,258
@INCIndia,@RahulGandhi,14673
@INCIndia,@priyankagandhi,14056
