src,dst,count
@ndtv,#Hathras,5724
#Hathras,#RahulGandhi,14871
#Hathras,#HathrasTruthExposed,12949
#Hathras,#HathrasCase,5795
#Hathras,#PriyankaGandhiVadra,2628
@ndtv,#PriyankaGandhiVadra,5256
#PriyankaGandhiVadra,#RahulGandhi,5701
#PriyankaGandhiVadra,#Hathras,2628
#PriyankaGandhiVadra,#HathrasCase,154
#PriyankaGandhiVadra,#HathrasTruthExposed,8
@ndtv,#RahulGandhi,3864
#RahulGandhi,#Hathras,14859
#RahulGandhi,#PriyankaGandhiVadra,5701
#RahulGandhi,#HathrasCase,2162
@ndtv,#NDTVExclusive,3696
#NDTVExclusive,#SushantSinghRajputCase,3
#NDTVExclusive,#HathrasTruthExposed,2
#NDTVExclusive,#Hathras,1
#NDTVExclusive,#RahulGandhi,1
@ndtv,#SushantSinghRajput,1760
#SushantSinghRajput,#302ForSSRKillers,2580
#SushantSinghRajput,#Hathras,300
#SushantSinghRajput,#SSR,246
#SushantSinghRajput,#HathrasTruthExposed,210
@ndtv,#SushantSinghRajputCase,240
#SushantSinghRajputCase,#HathrasCase,3180
#SushantSinghRajputCase,#SushantSinghRajput,20
#SushantSinghRajputCase,#302ForSSRKillers,4
#SushantSinghRajputCase,#SSR,3
#SushantSinghRajputCase,#NDTVExclusive,3
@ndtv,#HathrasCase,67
#HathrasCase,#HathrasTruthExposed,7398
#HathrasCase,#Hathras,5795
#HathrasCase,#SushantSinghRajputCase,3180
#HathrasCase,#RahulGandhi,2162
@ndtv,#HathrasTruthExposed,63
#HathrasTruthExposed,#Hathras,12949
#HathrasTruthExposed,#HathrasCase,7398
@ndtv,#302ForSSRKillers,48
#302ForSSRKillers,#SushantSinghRajput,2580
#302ForSSRKillers,#AtalTunnel,909
#302ForSSRKillers,#HathrasTruthExposed,792
@ndtv,#AtalTunnel,36
#AtalTunnel,#302ForSSRKillers,1010
#AtalTunnel,#HathrasTruthExposed,715
@ndtv,#prsr103,31
#prsr103,#AtalTunnel,210
#prsr103,#RahulGandhi,30
@ndtv,#SSR,20
#SSR,#302ForSSRKillers,413
#SSR,#SushantSinghRajput,287
#SSR,#Hathras,32
