src,dst,count
#Armenia,@Political_Room,791
#Armenia,@armgov,628
#Armenia,@sharafyan_a,254
#Armenia,@AvinyanTigran,212
#Armenia,@narecus,197
#Armenia,@Samsonyan90,179
#Armenia,@TarekFatah,162
#Armenia,@MFAofArmenia,160
#Armenia,@realDonaldTrump,150
#Armenia,@ConflictsW,134
#Armenia,@AlArabiya_Eng,118
#Armenia,@NikolPashinyan,118
#Armenia,@Kornelij,117
#Armenia,@ZMnatsakanyan,116
#Armenia,@KimKardashian,94
#Armenia,@PakTurkey,89
#Armenia,@BabakTaghvaee1,86
#Armenia,@Ohany_An,85
#Armenia,@drapr007,83
#Armenia,@ersinceliq,69
#Armenia,@ArmenianUnified,68
#Armenia,@Greeksburg,61
#Armenia,@BDedebagi,61
#Armenia,@IndoPac_Info,58
#Armenia,@Abrahamyan__,49
#Armenia,@AToros_Official,47
#Armenia,@Reuters,44
#Armenia,@ArustamyanArm,44
#Armenia,@BBCWorld,41
#Armenia,@oulosP,40
#Armenia,@UN,39
#Armenia,@TheArabSource,39
#Armenia,@Tahirson,37
#Armenia,@MeghUpdates,37
#Armenia,@esrailian,37
#Armenia,@Manik_M_Jolly,36
#Armenia,@DemPapadakis,32
#Armenia,@GAITAMIMI1,31
#Armenia,@Tom_deWaal,30
#Armenia,@ANCA_DC,30
#Armenia,@IdeologyWars,29
#Armenia,@Joyce_Karam,29
#Armenia,@ONC3X,29
#Armenia,@Darkwebhaber,29
#Armenia,@g_mastropavlos,29
#Armenia,@MiddleEastWatc1,28
#Armenia,@manaf12hassan,28
#Armenia,@NasimiAghayev,27
#Armenia,@GreenSiir,27
#Armenia,@guyelster,27
#Armenia,@ManeAdamian,26
#Armenia,@will_pulido,26
#Armenia,@naghdalyan,25
#Armenia,@OSCE,25
#Armenia,@armenia,25
#Armenia,@haykkonjoryan,25
#Armenia,@NATO,24
#Armenia,@InfoWarriorNews,24
#Armenia,@RojavaNetwork,24
#Armenia,@zerosum24,23
#Armenia,@SupportArmenia,22
#Armenia,@Makis_Kevrekidi,22
#Armenia,@alisanda_,22
#Armenia,@Ali_F_Alizada,21
#Armenia,@DrAMSinghvi,21
#Armenia,@AzEmbPak,20
#Armenia,@Bairamian,20
#Armenia,@presidentaz,20
#Armenia,@TheDeadDistrict,19
#Armenia,@JudeDwain,18
#Armenia,@G_Dallemagne,18
#Armenia,@TatevikHayrape1,18
#Armenia,@Robbie_Raul,17
#Armenia,@JZarif,17
#Armenia,@HellenicLeaders,17
#Armenia,@ASBMilitary,16
#Armenia,@AhmetfarukO,16
#Armenia,@delhidefence,16
#Armenia,@PatilSushmit,16
#Armenia,@RTErdogan,15
#Armenia,@EzidiPress,15
#Armenia,@ArzuJaeed,15
#Armenia,@BeholdIsrael,14
#Armenia,@BBCBreaking,14
#Armenia,@AbasAslani,14
#Armenia,@BakoyanRustam,14
#Armenia,@boginjaproleca,13
#Armenia,@EU_Commission,13
#Armenia,@dw_espanol,13
#Armenia,@AuroraIntel,13
#Armenia,@Nigel_Farage,13
#Armenia,@MFATurkey,13
#Armenia,@IntelDoge,13
#Armenia,@VeraVanHorne,13
#Armenia,@aldin_ww,12
#Armenia,@Deven_Intel,12
#Armenia,@evn_report,12
#Armenia,@SVNewsAlerts,12
#Armenia,@andreasmoun,12
#Armenia,@razminfo,12
#Armenia,@Defence_360,11
#Armenia,@Conflicts,11
#Armenia,@NewsWrapped,11
#Armenia,@cher,11
#Armenia,@Ahmet_Tosun_TC,11
#Armenia,@joker9416,11
#Armenia,@Crisis_Intel,10
#Armenia,@AJEnglish,10
#Armenia,@Pres_Artsakh,10
