src,dst,count
#COVID19,$1241056390963224578,6
#COVID19,$103155466,5
#COVID19,$1191745846615957506,5
#COVID19,$1249314426181877760,5
#COVID19,$1283258456615424000,4
#COVID19,$3079713538,4
#COVID19,$1201527507977146371,4
#COVID19,$452860636,4
#COVID19,$1304730996357636101,4
#COVID19,$114512948,4
#COVID19,$781200163008290816,3
#COVID19,$123830541,3
#COVID19,$342575758,3
#COVID19,$1139428112960299008,3
#COVID19,$2232463302,3
#COVID19,$1113773194048102402,3
#COVID19,$526747419,3
#COVID19,$355577182,3
#COVID19,$1303599088424882176,3
#COVID19,$374559661,3
#COVID19,$302928032,3
#COVID19,$1199768132832776193,3
#COVID19,$865358958,3
#COVID19,$1931507792,3
#COVID19,$48112717,3
#COVID19,$983926664899059713,2
#COVID19,$1215271759101882378,2
#COVID19,$1255126199149269000,2
#COVID19,$1292216657839104007,2
#COVID19,$1236273574895329281,2
#COVID19,$455149997,2
#COVID19,$1240324835202535429,2
#COVID19,$1226623617422757895,2
#COVID19,$3553388062,2
#COVID19,$482353209,2
#COVID19,$416363599,2
#COVID19,$2602199932,2
#COVID19,$1301617187304562688,2
#COVID19,$17083970,2
#COVID19,$1301925290696781825,2
#COVID19,$2365663762,2
#COVID19,$14107202,2
#COVID19,$1166895442656817152,2
#COVID19,$854242231699603456,2
#COVID19,$1254710984310247430,2
#COVID19,$1310189454645170177,2
#COVID19,$1084149784808689695,2
#COVID19,$166326763,2
#COVID19,$1177439542921445377,2
#COVID19,$1266993196392841216,2
#COVID19,$40662775,2
#COVID19,$40638800,2
#COVID19,$4289019337,2
#COVID19,$1270807908436017153,2
#COVID19,$964087657872678912,2
#COVID19,$1232163611776294912,2
#COVID19,$18982331,2
#COVID19,$1030968545813962752,2
#COVID19,$1213188080200368128,2
#COVID19,$1197223474860822529,2
#COVID19,$843963938102562818,2
#COVID19,$937899468585828352,2
#COVID19,$851200182503059460,2
#COVID19,$1047787949067264000,2
#COVID19,$1704090810,1
#COVID19,$1555946538,1
#COVID19,$816909670631804928,1
#COVID19,$83685012,1
#COVID19,$85136737,1
#COVID19,$864181056576028672,1
#COVID19,$1307584765202178050,1
#COVID19,$810586446855806976,1
#COVID19,$1283359081,1
#COVID19,$1277432359277731847,1
#COVID19,$1275230496436486144,1
#COVID19,$867093791097991170,1
#COVID19,$868368245190950912,1
#COVID19,$17355555,1
#COVID19,$769636899552133120,1
#COVID19,$804250604,1
#COVID19,$712255323806015488,1
#COVID19,$588845827,1
#COVID19,$596492721,1
#COVID19,$612904823,1
#COVID19,$61689237,1
#COVID19,$630592908,1
#COVID19,$709844899034734592,1
#COVID19,$194437394,1
#COVID19,$791606611324403712,1
#COVID19,$191081656,1
#COVID19,$719159837796372483,1
#COVID19,$726013108251201537,1
#COVID19,$737243618893791232,1
#COVID19,$903204289098653696,1
#COVID19,$776453056510689280,1
#COVID19,$1894391672,1
#COVID19,$871080053244821504,1
#COVID19,$1242910862668517377,1
#COVID19,$1249606472025034753,1
#COVID19,$1136919873714438145,1
#COVID19,$88278974,1
#COVID19,$1041965071914688512,1
#COVID19,$1042690201334628352,1
#COVID19,$1081128407218425857,1
#COVID19,$828841083257778176,1
#COVID19,$581645262,1
#COVID19,$72299713,1
#COVID19,$886371867803635712,1
#COVID19,$37521391,1
#COVID19,$1261215016461746177,1
#COVID19,$317883002,1
#COVID19,$1272853767092867075,1
#COVID19,$1310414316013858819,1
#COVID19,$2713363332,1
#COVID19,$2187579198,1
#COVID19,$997124546552582146,1
#COVID19,$999583910458687488,1
#COVID19,$928592556878958592,1
#COVID19,$1220367025358495744,1
#COVID19,$937962626222497793,1
#COVID19,$954309551066681345,1
#COVID19,$1241879972572286988,1
#COVID19,$954346230,1
#COVID19,$1241703872093196288,1
#COVID19,$1229675046,1
#COVID19,$122199979,1
#COVID19,$1148846969848156160,1
#COVID19,$978196879489097728,1
#COVID19,$961069448332537856,1
#COVID19,$967770130993295360,1
#COVID19,$97456196,1
#COVID19,$975395073230811136,1
#COVID19,$1098471303441457152,1
#COVID19,$1094295248510091264,1
#COVID19,$1044812038462197761,1
#COVID19,$994206523,1
#COVID19,$459126134,1
#COVID19,$57336735,1
#COVID19,$121458303,1
#COVID19,$1116393387760832517,1
#COVID19,$1117013460116754432,1
#COVID19,$1126054763869736960,1
#COVID19,$1139058361477951494,1
#COVID19,$114572707,1
#COVID19,$1148242702728945664,1
#COVID19,$1149012357189984257,1
#COVID19,$1149576443434680320,1
#COVID19,$1160183215308623873,1
#COVID19,$1167523721105563649,1
#COVID19,$1214852232862208000,1
#COVID19,$1112955426281283584,1
#COVID19,$1231990747974524928,1
#COVID19,$1242796378411204610,1
#COVID19,$1250198562,1
#COVID19,$1251387950731948032,1
#COVID19,$1252208235576045569,1
#COVID19,$1263080845205803009,1
#COVID19,$1264667331734667265,1
#COVID19,$1265606091406221313,1
#COVID19,$1274353445533888514,1
#COVID19,$1280287207513882625,1
#COVID19,$1114051056084893697,1
#COVID19,$1100034953176408065,1
#COVID19,$1288745467459796993,1
#COVID19,$993033940964462592,1
#COVID19,$914917523916775425,1
#COVID19,$92263845,1
#COVID19,$936348468,1
#COVID19,$942742227926835201,1
#COVID19,$95218114,1
#COVID19,$953224295836155906,1
#COVID19,$956915391619567618,1
#COVID19,$95853544,1
#COVID19,$968700594,1
#COVID19,$969082247142817792,1
#COVID19,$9966472,1
#COVID19,$1083024487740784640,1
#COVID19,$1000136180544000000,1
#COVID19,$1004097176,1
#COVID19,$1004629805453672448,1
#COVID19,$100757224,1
#COVID19,$1023931666828386310,1
#COVID19,$102647047,1
#COVID19,$1054645296456781824,1
#COVID19,$1068118439301210113,1
#COVID19,$1075147268,1
#COVID19,$1082177260466171904,1
#COVID19,$1285832289008537600,1
#COVID19,$1304014171,1
#COVID19,$5665032,1
#COVID19,$43112080,1
#COVID19,$3279694004,1
#COVID19,$329451052,1
#COVID19,$3309350937,1
#COVID19,$33173981,1
#COVID19,$333409806,1
#COVID19,$33963549,1
#COVID19,$3829059258,1
