src,dst,count
#Dynamite,@BTS_twt,11297
#Dynamite,@FallonTonight,10276
#Dynamite,@mygtrivias,583
#Dynamite,@WORLDMUSICAWARD,520
#Dynamite,@BangBangtan_Esp,100
#Dynamite,@BTSNewsBrasil,58
#Dynamite,@Army_Connect,32
#Dynamite,@ERAdotje,9
#Dynamite,@BTSNoticia,9
#Dynamite,@BTSxRadioMY,8
#Dynamite,@BTSx50States,8
#Dynamite,@Spotify,7
#Dynamite,@ARMYFRANCE_,6
#Dynamite,@BTS_inSpain2,5
#Dynamite,@GirlWithLuv24,5
#Dynamite,@BTSdreamlabCol,5
#Dynamite,@bts_bighit,4
#Dynamite,@BTSMalaysia,4
#Dynamite,@MTV,3
#Dynamite,@PTXofficial,3
#Dynamite,@KOlusola,3
#Dynamite,@miniflrtt,2
#Dynamite,@TronquitoDark,2
#Dynamite,@alfa913fm,2
#Dynamite,@Planeta107FM,2
#Dynamite,@KTH_Streamer,2
#Dynamite,@MundialDelPop10,2
#Dynamite,@chartsforbts,2
#Dynamite,@RadioPuntoRojo,2
#Dynamite,@BTSRadiosTeam,2
#Dynamite,@rhowardbrowne,2
#Dynamite,@BTS_streamPeru,1
#Dynamite,@jeonggukieee__,1
#Dynamite,@bts_amitan_jp,1
#Dynamite,@AEWrestling,1
#Dynamite,@charts_k,1
#Dynamite,@REYHANEH__S,1
#Dynamite,@JJUNGKOOK_mona,1
#Dynamite,@minsugacheonye,1
#Dynamite,@2bbiyomyom,1
#Dynamite,@Univers_Bangtan,1
#Dynamite,@KTH1KAZ,1
#Dynamite,@VoteWithR,1
#Dynamite,@RafranzDavis,1
#Dynamite,@hot933hits,1
#Dynamite,@101wixx,1
#Dynamite,@Kim_ByTaehyung_,1
#Dynamite,@AliDuran_2102,1
#Dynamite,@btsdanisharmy,1
#Dynamite,@RiseOnBangtan,1
#Dynamite,@BTSxCalifornia,1
#Dynamite,@BTS_ARMYCLM,1
#Dynamite,@BTSISAMOVEMENT,1
#Dynamite,@iamcardib,1
#Dynamite,@btsonradio7,1
#Dynamite,@Y100MIAMI,1
#Dynamite,@RadioDisneyLA,1
#Dynamite,@BLACKPINK,1
#Dynamite,@naomi27060349,1
#Dynamite,@SquadArmypy,1
#Dynamite,@WatersOnAir,1
#Dynamite,@HOThits1005,1
#Dynamite,@BTSNorway,1
#Dynamite,@maximahitlist,1
#Dynamite,@ankit_rambabu,1
#Dynamite,@JSladeShow,1
#Dynamite,@YoganAndNadineR,1
#Dynamite,@RC_Reacts,1
#Dynamite,@RadioBTSMexico,1
#Dynamite,@bts_love_myself,1
#Dynamite,@V0TEWITHARMY,1
