src,dst,count
#HappyBangChanDay,#OurHavenBangChan,623
#HappyBangChanDay,#우리의_천리방_찬아_생일축하해,614
#HappyBangChanDay,#StrayKids,529
#HappyBangChanDay,#BangChan,508
#HappyBangChanDay,#방찬,507
#HappyBangChanDay,#스트레이키즈,507
#HappyBangChanDay,#BANGCHAN,124
#HappyBangChanDay,#HugsForChan,26
#HappyBangChanDay,#Straykidsfanart,17
#HappyBangChanDay,#CHAN,13
#HappyBangChanDay,#bangchanfanart,13
#HappyBangChanDay,#Chris,13
#HappyBangChanDay,#minchan,11
#HappyBangChanDay,#BangChanBestLeader,9
#HappyBangChanDay,#OurAmazingLeaderBangChan,7
#HappyBangChanDay,#𝐁𝐀𝐍𝐆𝐂𝐇𝐀𝐍,7
#HappyBangChanDay,#CHRIS,6
#HappyBangChanDay,#OurLeaderBangChan,6
#HappyBangChanDay,#straykids,6
#HappyBangChanDay,#straykidsfanart,5
#HappyBangChanDay,#skzfanart,5
#HappyBangChanDay,#HugsforChan,4
#HappyBangChanDay,#Straykids,3
#HappyBangChanDay,#CB97,3
#HappyBangChanDay,#OurHavenChan,3
#HappyBangChanDay,#BangChanday,3
#HappyBangChanDay,#Bangchan,2
#HappyBangChanDay,#Edm,2
#HappyBangChanDay,#Rt,2
#HappyBangChanDay,#𝑩𝒂𝒏𝒈𝒄𝒉𝒂𝒏,2
#HappyBangChanDay,#Dance,2
#HappyBangChanDay,#ᏴᎪNᏀᏟᎻᎪN,2
#HappyBangChanDay,#OurCompassBangChan,2
#HappyBangChanDay,#Vevo,2
#HappyBangChanDay,#HappyBirthdayChan,2
#HappyBangChanDay,#Joevasca,2
#HappyBangChanDay,#𝑩𝒂𝒏𝒈𝑪𝒉𝒂𝒏,1
#HappyBangChanDay,#twentyonepilots,1
#HappyBangChanDay,#ChanIfYoureReadingThis,1
#HappyBangChanDay,#ChannieDayInSA,1
#HappyBangChanDay,#Channie,1
#HappyBangChanDay,#Chanlix,1
#HappyBangChanDay,#현진,1
#HappyBangChanDay,#우,1
#HappyBangChanDay,#CobraKai,1
#HappyBangChanDay,#hugsforchan,1
#HappyBangChanDay,#DokiChanEvent,1
#HappyBangChanDay,#HappyBirthdayBangChan,1
#HappyBangChanDay,#bangchan,1
#HappyBangChanDay,#INFO,1
#HappyBangChanDay,#LYL_Chris,1
#HappyBangChanDay,#MoonlitMoments,1
#HappyBangChanDay,#stickers,1
#HappyBangChanDay,#STRAYKIDS,1
#HappyBangChanDay,#StrayKidsFanart,1
#HappyBangChanDay,#kpop,1
#HappyBangChanDay,#YouCanStayBangChan,1
#HappyBangChanDay,#art,1
#HappyBangChanDay,#artph,1
#HappyBangChanDay,#𝗕𝗔𝗡𝗚𝗖𝗛𝗔𝗡,1
