src,dst,count
#DalitLivesMatter,@vrajeshhirjee,1983
#DalitLivesMatter,@HansrajMeena,815
#DalitLivesMatter,@imMAK02,131
#DalitLivesMatter,@TribalArmy,123
#DalitLivesMatter,@narendramodi,118
#DalitLivesMatter,@suryapsingh_IAS,103
#DalitLivesMatter,@scribe_it,100
#DalitLivesMatter,@myogiadityanath,99
#DalitLivesMatter,@konkonas,76
#DalitLivesMatter,@KushaKapila,71
#DalitLivesMatter,@YashMeghwal,68
#DalitLivesMatter,@DrRituSingh_,67
#DalitLivesMatter,@meenavoice,57
#DalitLivesMatter,@RahulGandhi,57
#DalitLivesMatter,@sardesairajdeep,56
#DalitLivesMatter,@BhimArmyChief,52
#DalitLivesMatter,@Itsdeepak0709,50
#DalitLivesMatter,@Tejaswi2406,48
#DalitLivesMatter,@adhirayy,47
#DalitLivesMatter,@SairaAmbedkar,45
#DalitLivesMatter,@maurya_Dm8897,44
#DalitLivesMatter,@kidffs,43
#DalitLivesMatter,@guptahahaha,43
#DalitLivesMatter,@AmbedkarCaravan,41
#DalitLivesMatter,@Shilpa_Bhartiy,41
#DalitLivesMatter,@ashoswai,41
#DalitLivesMatter,@unavailabelle,41
#DalitLivesMatter,@Neelam_Culture,39
#DalitLivesMatter,@Sanjay_G_007,38
#DalitLivesMatter,@saahilmenghani,37
#DalitLivesMatter,@jjkslts,36
#DalitLivesMatter,@anushkayaar,35
#DalitLivesMatter,@Komalmeena0403,33
#DalitLivesMatter,@GitanjaliBarua5,33
#DalitLivesMatter,@bkarwadiya,32
#DalitLivesMatter,@Armyoftribalfan,31
#DalitLivesMatter,@VijayPrakashJi,31
#DalitLivesMatter,@DerBolshevik,31
#DalitLivesMatter,@kuber8180,30
#DalitLivesMatter,@1Sshubham,30
#DalitLivesMatter,@RahulsinghMark5,29
#DalitLivesMatter,@Sridhar_Jeri,28
#DalitLivesMatter,@SatyaMeenaSWM,28
#DalitLivesMatter,@aiparisangh,28
#DalitLivesMatter,@missbehaves98,27
#DalitLivesMatter,@AratiKadav,27
#DalitLivesMatter,@007AliSohrab,27
#DalitLivesMatter,@piyukenahi,27
#DalitLivesMatter,@ShivaniV2901,26
#DalitLivesMatter,@aajtak,26
#DalitLivesMatter,@ArvindKejriwal,26
#DalitLivesMatter,@_ambedkarite,26
#DalitLivesMatter,@IpoisonIvyy,25
#DalitLivesMatter,@PragyaLive,23
#DalitLivesMatter,@ReheSamay,23
#DalitLivesMatter,@mahifarwahaha,23
#DalitLivesMatter,@dooofenshurtz,23
#DalitLivesMatter,@okthenksbye,23
#DalitLivesMatter,@NetflixIndia,23
#DalitLivesMatter,@ThePlacardGuy,22
#DalitLivesMatter,@PMOIndia,22
#DalitLivesMatter,@sankul333,21
#DalitLivesMatter,@INCIndia,21
#DalitLivesMatter,@Khushi9595,21
#DalitLivesMatter,@KotwalMeena,21
#DalitLivesMatter,@90sArtHoee,21
#DalitLivesMatter,@salomeferns,21
#DalitLivesMatter,@ambedkar4life,20
#DalitLivesMatter,@ambedkariteIND,20
#DalitLivesMatter,@YogeshM39,20
#DalitLivesMatter,@verthiccaa,19
#DalitLivesMatter,@dumbitch4eva,19
#DalitLivesMatter,@urstrulyMahesh,19
#DalitLivesMatter,@LambaAlka,19
#DalitLivesMatter,@Bipin_Kumar_79,18
#DalitLivesMatter,@babyyyydaddy,18
#DalitLivesMatter,@AmbedkarManorma,18
#DalitLivesMatter,@sagarikaghose,18
#DalitLivesMatter,@superheadstl,18
#DalitLivesMatter,@savita_aap,18
#DalitLivesMatter,@dalitwomenfight,18
#DalitLivesMatter,@TishyaSingh_,18
#DalitLivesMatter,@manishahire,18
#DalitLivesMatter,@BJP4India,17
#DalitLivesMatter,@rajeshgupta,17
#DalitLivesMatter,@Anjii_95,17
#DalitLivesMatter,@ABPNews,17
#DalitLivesMatter,@RichaChadha,17
#DalitLivesMatter,@priyankagandhi,17
#DalitLivesMatter,@JenAndTonic__,16
#DalitLivesMatter,@aiparisanghw,16
#DalitLivesMatter,@Ashishyadav04,16
#DalitLivesMatter,@_garrywalia,16
#DalitLivesMatter,@prishisnewhere,16
#DalitLivesMatter,@mikkuRiddle,16
#DalitLivesMatter,@AchAnkurArya,16
#DalitLivesMatter,@JoyJ69957841,15
#DalitLivesMatter,@Shudraism,15
#DalitLivesMatter,@imKalaiVani,15
#DalitLivesMatter,@ranvijaylive,15
#DalitLivesMatter,@SrishtyRanjan,15
#DalitLivesMatter,@ReallySwara,15
#DalitLivesMatter,@BloodyStree,15
#DalitLivesMatter,@MuffinMan_78,15
#DalitLivesMatter,@fuckthegvt,15
#DalitLivesMatter,@goelgauravbjp,15
#DalitLivesMatter,@DalitChef,15
#DalitLivesMatter,@AbdulTheWriter,15
#DalitLivesMatter,@dalit_alamode,15
#DalitLivesMatter,@saugandhikaaa,15
#DalitLivesMatter,@kakoligdastidar,14
#DalitLivesMatter,@Sreeeeenidhi,14
#DalitLivesMatter,@njnnjnallaa,14
#DalitLivesMatter,@PilotPragpura,14
#DalitLivesMatter,@TwitterIndia,14
#DalitLivesMatter,@Minakshi6483,14
#DalitLivesMatter,@NayakRagini,14
#DalitLivesMatter,@PMLUCKNOW,14
#DalitLivesMatter,@trashours,13
#DalitLivesMatter,@akshaytarfe,13
#DalitLivesMatter,@needanicecream,13
#DalitLivesMatter,@simrhhh,13
#DalitLivesMatter,@eekbharbi,13
#DalitLivesMatter,@Bhagwan72798503,13
#DalitLivesMatter,@r_wholesome,13
#DalitLivesMatter,@PavanTej_Dhfm,13
#DalitLivesMatter,@slut4narendra,13
#DalitLivesMatter,@smritiirani,13
#DalitLivesMatter,@Dr_Uditraj,12
#DalitLivesMatter,@tranacius,12
#DalitLivesMatter,@DamniKain,12
#DalitLivesMatter,@LavanyaBallal,12
#DalitLivesMatter,@Komal_433,12
#DalitLivesMatter,@jigneshmevani80,12
#DalitLivesMatter,@TufaniShilpa,12
#DalitLivesMatter,@UjasnaN,12
#DalitLivesMatter,@Nher_who,12
#DalitLivesMatter,@_Srishhh_,12
#DalitLivesMatter,@SupriyaShrinate,12
