src,dst,count
#COVID19,#coronavirus,78
#COVID19,#China,50
#COVID19,#TrumpKnew,42
#COVID19,#COVID,39
#COVID19,#Coronavirus,38
#COVID19,#Covid_19,35
#COVID19,#mentalhealth,35
#COVID19,#MondayMorning,34
#COVID19,#Trump,32
#COVID19,#DonTheCon,31
#COVID19,#CoronaVirus,26
#COVID19,#borderObserver,25
#COVID19,#TrumpDepression,23
#COVID19,#CCPLiedChineseDied,20
#COVID19,#CCPLiedPeopleDied,20
#COVID19,#TrumpVirus,20
#COVID19,#TakeDownTheCCP,20
#COVID19,#WearAMaskSaveALife,18
#COVID19,#TrumpLiesAmericansDie,18
#COVID19,#SaveOurTeachers,18
#COVID19,#HealthCareHeroes,18
#COVID19,#GetUsPPE,18
#COVID19,#SaveOurStudent,18
#COVID19,#EssentialWorkers,18
#COVID19,#POTUS,17
#COVID19,#Arizona,17
#COVID19,#Florida,16
#COVID19,#Texas,16
#COVID19,#Election2020,15
#COVID19,#MAGA,15
#COVID19,#Cuba,15
#COVID19,#USPS,14
#COVID19,#Georgia,14
#COVID19,#TrumpHidTheTruth,13
#COVID19,#Dejoy,13
#COVID19,#Magas,13
#COVID19,#Wisconsin,13
#COVID19,#SCOTUS,13
#COVID19,#NorthCarolina,13
#COVID19,#VoteEarly,13
#COVID19,#MentalHealth,11
#COVID19,#Corona,11
#COVID19,#Wuhan,11
#COVID19,#TrumpRally,10
#COVID19,#pandemic,10
#COVID19,#BidenHarris2020,10
#COVID19,#ClimateChange,10
#COVID19,#India,9
#COVID19,#TrumpKnewAndDidNothing,9
#COVID19,#TrumpIsNotWell,9
#COVID19,#Este15FestejoCon,9
#COVID19,#followme,9
#COVID19,#TrumpLiedPeopleDied,9
#COVID19,#WuhanVirus,9
#COVID19,#CCPVirus,9
#COVID19,#families,8
#COVID19,#TrumpTapes,8
#COVID19,#COVIDIOTS,8
#COVID19,#Pandemic,8
#COVID19,#Genocide,8
#COVID19,#unfollowTRUMP,8
#COVID19,#Resign,8
#COVID19,#SARSCoV2,8
#COVID19,#AZ,8
#COVID19,#ResignNowTrump,8
#COVID19,#ResignTrump,8
#COVID19,#NEW,7
#COVID19,#Trump2020,7
#COVID19,#SaveHotelJobs,7
#COVID19,#latinx,7
#COVID19,#mondaythoughts,7
#COVID19,#lockdowns,7
#COVID19,#BREAKING,7
#COVID19,#schoolsreopening,7
#COVID19,#BlackLivesMatter,7
#COVID19,#health,7
#COVID19,#ChinaVirus,7
#COVID19,#JoyTrain,6
#COVID19,#QuédateEnCasa,6
#COVID19,#BLM,6
#COVID19,#SuccessTRAIN,6
#COVID19,#CDC,6
#COVID19,#HCQ,6
#COVID19,#DigitalTransformation,6
#COVID19,#Mindfulness,6
#COVID19,#Iran,6
#COVID19,#Biden,6
#COVID19,#TrumpDoesntCare,5
#COVID19,#OperativoEscudo,5
#COVID19,#USA,5
#COVID19,#OregonFires,5
#COVID19,#Covid,5
#COVID19,#Spain,5
#COVID19,#MondayMood,5
#COVID19,#Military,5
#COVID19,#Mexico,5
#COVID19,#CovidUK,5
#COVID19,#Americans,5
#COVID19,#Canada,5
#COVID19,#California,5
#COVID19,#publichealth,5
#COVID19,#CoronavirusPandemic,5
#COVID19,#Yemen,5
#COVID19,#Transformation,5
#COVID19,#CCP,5
#COVID19,#MAGA2020,5
#COVID19,#BeLikeLaycon,5
#COVID19,#unemployment,5
