src,dst,count
#Hathras,$1241293914184679424,8
#Hathras,$1239398738495324160,7
#Hathras,$1260434215713284109,5
#Hathras,$1298899867519995904,5
#Hathras,$1263137806760599553,4
#Hathras,$47271630,4
#Hathras,$1301517029774708739,4
#Hathras,$2878497576,4
#Hathras,$887087507531321344,4
#Hathras,$1256985383990067201,4
#Hathras,$88566817,4
#Hathras,$1305201302272536576,4
#Hathras,$1253342085547085827,4
#Hathras,$19897138,4
#Hathras,$1278689976859848710,3
#Hathras,$1293102784615571458,3
#Hathras,$161233905,3
#Hathras,$1095243282332901376,3
#Hathras,$1215256993994166273,3
#Hathras,$1285960512321105920,3
#Hathras,$1235507079948861441,3
#Hathras,$1207972686665662465,3
#Hathras,$712704137129930756,3
#Hathras,$801146912879607809,3
#Hathras,$1190614584899461120,3
#Hathras,$1277602663283085313,3
#Hathras,$1273242977826074626,3
#Hathras,$1209461286834040842,3
#Hathras,$1207985856461463558,3
#Hathras,$950075652312453120,3
#Hathras,$1276715819787931649,3
#Hathras,$1299847774435909638,3
#Hathras,$1570651526,3
#Hathras,$1302612381999210496,3
#Hathras,$1310406376850518017,3
#Hathras,$1276711802751946752,3
#Hathras,$1177116105946451974,3
#Hathras,$1300679769453858817,3
#Hathras,$1204476515993477120,2
#Hathras,$1130787576103591938,2
#Hathras,$981157572894953474,2
#Hathras,$913952959498674178,2
#Hathras,$1300512621662072832,2
#Hathras,$1300636103876079618,2
#Hathras,$1830619279,2
#Hathras,$1258997456009863169,2
#Hathras,$4192972753,2
#Hathras,$959382035973353472,2
#Hathras,$380214186,2
#Hathras,$801774260075319296,2
#Hathras,$87141839,2
#Hathras,$1299667338850041857,2
#Hathras,$732536574529900544,2
#Hathras,$1274940078956007429,2
#Hathras,$1234709058285903872,2
#Hathras,$428229342,2
#Hathras,$1574119956,2
#Hathras,$2365211958,2
#Hathras,$825617356550504449,2
#Hathras,$821205498569494529,2
#Hathras,$1130125155043225600,2
#Hathras,$916723802217709568,2
#Hathras,$1295088675022237696,2
#Hathras,$1298072775597289477,2
#Hathras,$1300296095877062656,2
#Hathras,$1117083651353694208,2
#Hathras,$2893544873,2
#Hathras,$826638116060540929,2
#Hathras,$1230172966962335744,2
#Hathras,$950736233788944387,2
#Hathras,$71222615,2
#Hathras,$30859883,2
#Hathras,$1266644239464583168,2
#Hathras,$723149521539092483,2
#Hathras,$718886011862814720,2
#Hathras,$1210530414978158592,2
#Hathras,$1208718209504829441,2
#Hathras,$1070227416100950021,2
#Hathras,$1284342482931572737,2
#Hathras,$571756472,2
#Hathras,$706870471040446464,2
#Hathras,$2942768982,2
#Hathras,$727832302412161024,2
#Hathras,$3261665891,2
#Hathras,$1282836830,2
#Hathras,$1282563401235918848,2
#Hathras,$547820144,2
#Hathras,$1217797703599443970,2
#Hathras,$4924391065,2
#Hathras,$58242871,2
#Hathras,$1217640645231144960,2
#Hathras,$2919621781,2
#Hathras,$593590627,2
#Hathras,$729963649,2
#Hathras,$1277595360878374914,2
#Hathras,$2211224983,2
#Hathras,$1297055374403461121,2
#Hathras,$1278192437224042496,2
#Hathras,$2548340718,2
#Hathras,$1300483304798318592,2
#Hathras,$776379241491369984,2
#Hathras,$1261202509583929344,2
#Hathras,$3222435949,2
#Hathras,$2860789975,2
#Hathras,$1243240142749306880,2
#Hathras,$790553364887109637,2
#Hathras,$4683124280,2
#Hathras,$875979492409454593,2
#Hathras,$2629401562,2
#Hathras,$1286581712584024064,2
#Hathras,$746927465524670465,2
#Hathras,$1145736811462791170,2
#Hathras,$1255719770223030272,2
#Hathras,$1294132515033083904,2
#Hathras,$619166021,2
#Hathras,$1299664181524799489,2
#Hathras,$1205083999036674048,2
#Hathras,$1299019763566301184,2
#Hathras,$1302173174566547456,2
#Hathras,$1296093473251004419,2
#Hathras,$1300709611377315840,2
#Hathras,$1271089323819937792,2
#Hathras,$1280150771850330112,2
#Hathras,$3145913299,2
#Hathras,$1161252101701300224,2
#Hathras,$3141684660,2
#Hathras,$954591838685380608,2
#Hathras,$1284720174906540032,2
#Hathras,$1073676020,2
