from,to,count
#Warntag2020,@_olivergr,415
#Warntag2020,@BBK_Bund,54
#Warntag2020,@DrWaumiau,29
#Warntag2020,@m00sician,19
#Warntag2020,@tagesschau,13
#Warntag2020,@twitkalk,13
#Warntag2020,@netzpolitik,10
#Warntag2020,@drbrandner,8
#Warntag2020,@derInnensenator,8
#Warntag2020,@Psychologists4F,8
#Warntag2020,@katwarn_de,7
#Warntag2020,@DLFNachrichten,6
#Warntag2020,@CIoudinee,6
#Warntag2020,@dagilp_lbh,6
#Warntag2020,@watch_union,6
#Warntag2020,@Johann_v_d_Bron,5
#Warntag2020,@ladyedensong,5
#Warntag2020,@Tagesspiegel,5
#Warntag2020,@FloGehm,5
#Warntag2020,@DaveBrych,4
#Warntag2020,@DerMestermann,4
#Warntag2020,@Peng_oh_Peng,4
#Warntag2020,@ZDFnrw,4
#Warntag2020,@thomas_wiegold,4
#Warntag2020,@eysvog3l,4
#Warntag2020,@Der_Postillon,4
#Warntag2020,@TRDSRLZ,4
#Warntag2020,@BMISprecher,4
#Warntag2020,@parents4future,4
#Warntag2020,@polizeiberlin,3
#Warntag2020,@gamingclerks,3
#Warntag2020,@faznet,3
#Warntag2020,@rbb24,3
#Warntag2020,@Feuerwehr_H,3
#Warntag2020,@gaiusoctavi,3
#Warntag2020,@panzerfahrer,3
#Warntag2020,@heuteshow,3
#Warntag2020,@SophiaMariaKa,3
#Warntag2020,@ZDFheute,3
#Warntag2020,@NilpferdNils,3
#Warntag2020,@traumherz,3
#Warntag2020,@Koeln,3
#Warntag2020,@Muriel_Muraene,3
#Warntag2020,@SirSchnee,3
#Warntag2020,@ixxim,2
#Warntag2020,@innen_mv,2
#Warntag2020,@je_saar,2
#Warntag2020,@83metoo,2
#Warntag2020,@hannover,2
#Warntag2020,@derspiegel,2
#Warntag2020,@ahoi_polloi,2
#Warntag2020,@Lisa_Marychen,2
#Warntag2020,@ZiaWeise,2
#Warntag2020,@MDRAktuell,2
#Warntag2020,@Mars_2_0,2
#Warntag2020,@StadtLeipzig,2
#Warntag2020,@Silke74918142,2
#Warntag2020,@SchmiddieMaik,2
#Warntag2020,@PatSchi23,2
#Warntag2020,@Saerdnaya,2
#Warntag2020,@RegBerlin,2
#Warntag2020,@RadioDresden,2
#Warntag2020,@larsmb,2
#Warntag2020,@FW_Dortmund,2
#Warntag2020,@stadtdortmund,2
#Warntag2020,@ntv_EIL,2
