src,dst,count
#COVID19,#coronavirus,9186
#COVID19,#CNNSOTU,4159
#COVID19,#RememberInNovember,3551
#COVID19,#Walkaway,3106
#COVID19,#TrumpKnew,3076
#COVID19,#FoxAndFriends,1998
#COVID19,#FillTheSeat,1988
#COVID19,#Coronavirus,1910
#COVID19,#China,1766
#COVID19,#SundayThoughts,1697
#COVID19,#Ccot,1384
#COVID19,#COVID,1347
#COVID19,#EdoDecides2020,1345
#COVID19,#mentalhealth,1298
#COVID19,#MAGA,1276
#COVID19,#KAG2020,1254
#COVID19,#Corona,1147
#COVID19,#NEET,1098
#COVID19,#Trump,1031
#COVID19,#HarrisAdministration,534
#COVID19,#TrumpLiedPeopleDied,528
#COVID19,#COVID__19,507
#COVID19,#LayGlobal,488
#COVID19,#explosion,486
#COVID19,#FillTheVacancy,477
#COVID19,#reconfinement,425
#COVID19,#Dessau,407
#COVID19,#HeKnew,377
#COVID19,#AfD,364
#COVID19,#Spreading,362
#COVID19,#WuhanVirus,333
#COVID19,#SundayMotivation,303
#COVID19,#SARSCoV2,302
#COVID19,#France,290
#COVID19,#Marseille,288
#COVID19,#LTC,280
#COVID19,#NJ,278
#COVID19,#Veran,273
#COVID19,#rouge,265
#COVID19,#Florida,248
#COVID19,#laestirpedeloslibres,220
#COVID19,#Covid_19,214
#COVID19,#UK,213
#COVID19,#SCOTUS,211
#COVID19,#Texas,211
#COVID19,#Georgia,209
#COVID19,#Election2020,196
#COVID19,#WearAMask,195
#COVID19,#TrumpVirus,192
#COVID19,#Asia,192
#COVID19,#Wisconsin,188
#COVID19,#American,187
#COVID19,#MentalHealth,182
#COVID19,#money,175
#COVID19,#Military,173
#COVID19,#initiativeq,172
#COVID19,#India,171
#COVID19,#Debates2020,170
#COVID19,#COVIDIDIOTS,165
#COVID19,#Arizona,164
#COVID19,#vaccine,160
#COVID19,#NorthCarolina,159
#COVID19,#BobWoodward,153
#COVID19,#pandemic,152
#COVID19,#suicide,150
#COVID19,#VoteEarly,147
#COVID19,#lockdown,143
#COVID19,#Biden,140
#COVID19,#Turkey,140
