from,to,count
#Warntag2020,@netzpolitik,10
#Warntag2020,@drbrandner,8
#Warntag2020,@katwarn_de,7
#Warntag2020,@watch_union,6
#Warntag2020,@Der_Postillon,4
#Warntag2020,@ZDFnrw,4
#Warntag2020,@Peng_oh_Peng,4
#Warntag2020,@eysvog3l,4
#Warntag2020,@BMISprecher,4
#Warntag2020,@DaveBrych,4
#Warntag2020,@SophiaMariaKa,3
#Warntag2020,@gaiusoctavi,3
#Warntag2020,@traumherz,3
#Warntag2020,@SirSchnee,3
#Warntag2020,@heuteshow,3
#Warntag2020,@faznet,3
#Warntag2020,@DLFNachrichten,3
#Warntag2020,@Koeln,3
#Warntag2020,@gamingclerks,3
#Warntag2020,@panzerfahrer,3
#Warntag2020,@ranzaccount,2
#Warntag2020,@RadioDresden,2
#Warntag2020,@RegBerlin,2
#Warntag2020,@Saerdnaya,2
#Warntag2020,@SchmiddieMaik,2
#Warntag2020,@ntvde,2
#Warntag2020,@StadtLeipzig,2
#Warntag2020,@83metoo,2
#Warntag2020,@FloGehm,2
#Warntag2020,@stadt_kiel,2
#Warntag2020,@PolizeiMainz,2
#Warntag2020,@AufHerz,2
#Warntag2020,@DSM_Nordkirche,2
#Warntag2020,@DirkLac,1
#Warntag2020,@RSHradio,1
#Warntag2020,@Nebulous81,1
#Warntag2020,@OptimusAnoying,1
#Warntag2020,@PaulDiegel,1
#Warntag2020,@BelaB_official,1
#Warntag2020,@PiratenMainz,1
#Warntag2020,@PolizeiSachsen,1
#Warntag2020,@BeheritOf,1
#Warntag2020,@RadioChemnitz,1
#Warntag2020,@MrSttropezz,1
#Warntag2020,@ReportLKEE,1
#Warntag2020,@SRKommunikation,1
#Warntag2020,@AscotBlack,1
#Warntag2020,@Sam_Liban,1
#Warntag2020,@Ap_Saegge,1
#Warntag2020,@SheenaSolskin,1
#Warntag2020,@SickSister22,1
#Warntag2020,@ATTILA_HILDMANN,1
#Warntag2020,@NaechsteRunde,1
#Warntag2020,@MartinZenker,1
#Warntag2020,@MichaelPioch1,1
#Warntag2020,@KalleHD,1
#Warntag2020,@Feuerwehr_GI,1
#Warntag2020,@Die_Gruenen,1
#Warntag2020,@Glonntaler,1
#Warntag2020,@HeikeMildenber1,1
#Warntag2020,@DennisKBerlin,1
#Warntag2020,@DekadenteAntifa,1
#Warntag2020,@HonkHase,1
#Warntag2020,@DasErste,1
#Warntag2020,@KindundKittel,1
#Warntag2020,@FWWinterberg,1
#Warntag2020,@LKNortheim,1
#Warntag2020,@DammRissTobi,1
#Warntag2020,@LehnMaria,1
#Warntag2020,@LoveCrimeCat,1
#Warntag2020,@CiesekSandra,1
#Warntag2020,@MKreutzfeldt,1
#Warntag2020,@MaggyBigMag,1
#Warntag2020,@CHSievers,1
#Warntag2020,@CASPERxOFFICIAL,1
#Warntag2020,@J_MkHk,1
#Warntag2020,@roteskreuz_de,1
#Warntag2020,@StahlSucht,1
#Warntag2020,@ynckbln,1
#Warntag2020,@muenster_de,1
#Warntag2020,@officialmaolo,1
#Warntag2020,@privat_pip,1
#Warntag2020,@realDonaldTrump,1
#Warntag2020,@rollingboing,1
#Warntag2020,@satirefreak,1
#Warntag2020,@spdmilk,1
#Warntag2020,@stefan_udo,1
#Warntag2020,@tamte,1
#Warntag2020,@tonline_news,1
#Warntag2020,@zeitonline,1
#Warntag2020,@manniac,1
#Warntag2020,@zvw_redaktion,1
#Warntag2020,@BadHomburgStadt,1
#Warntag2020,@DieReserve,1
#Warntag2020,@KreisMettmann,1
#Warntag2020,@NalanSipar,1
#Warntag2020,@Polizei_Rostock,1
#Warntag2020,@RubbelDieKatz71,1
#Warntag2020,@SchattenwolfTV,1
#Warntag2020,@TUEV_SUED_MS,1
#Warntag2020,@martja,1
#Warntag2020,@markuskoehler,1
#Warntag2020,@maltekir,1
#Warntag2020,@Strickmarie1,1
#Warntag2020,@andrea_doreen,1
#Warntag2020,@TheJeed,1
#Warntag2020,@TheRealSarsCov2,1
#Warntag2020,@TomVanOrten,1
#Warntag2020,@TrentUni,1
#Warntag2020,@UlrichSchneider,1
#Warntag2020,@VHSDresden,1
#Warntag2020,@VictoriaHamburg,1
#Warntag2020,@reitschuster,1
#Warntag2020,@XeslanaO,1
#Warntag2020,@_verdi,1
#Warntag2020,@andreas_waller,1
#Warntag2020,@lunaviervier,1
#Warntag2020,@bpol_by,1
#Warntag2020,@caschy,1
#Warntag2020,@cigh033,1
#Warntag2020,@devzeroooo,1
#Warntag2020,@dfv,1
#Warntag2020,@dieLinke,1
#Warntag2020,@die_regierung,1
#Warntag2020,@finnluca2004,1
#Warntag2020,@flystaa,1
#Warntag2020,@gruenbraun,1
#Warntag2020,@hamburg_de,1
#Warntag2020,@Wrdlbrmpfd_Wrdl,1
