src,dst,count
$1287316138372689920,#ArrestSandipSsingh,7
$1287316138372689920,#DishaSalian,5
$1287316138372689920,#SameerBangra,5
$1287316138372689920,#Revolution4SSR,5
$1287316138372689920,#DishaAndSSRCaseLinked,5
$1287316138372689920,#Neral,5
$1287316138372689920,#SameerBangara,3
$1287316138372689920,#FAUGStolenFromSSR,3
$1287316138372689920,#CBI,2
$1287316138372689920,#DishaSSRMurderlink,2
$1287316138372689920,#SoorajPancholi,2
$1287316138372689920,#Thackeray,2
$1287316138372689920,#AnkitAcharya,2
$1287316138372689920,#ShivSena,1
$1287316138372689920,#kajrat,1
$1287316138372689920,#BabyPenguin,1
$1287316138372689920,#CBIFamilyAwaitsJusticeForSSR,1
$1287316138372689920,#DeathOfDemocracy,1
$1287316138372689920,#KanganaRanuat,1
$1287316138372689920,#ExposeDishaSalianCase,1
$1287316138372689920,#SSRDishaHomicide,1
$1287316138372689920,#WeWantPopulationControlLaw,1
$1287316138372689920,#SushantCDRClincher,1
$1287316138372689920,#CBIProbeDishaMurder,1
$1287316138372689920,#ShameOnMahaGovt,1
