from,to,count
#WorldUnitedForSSRJustice,@arnabofficial7,24
#WorldUnitedForSSRJustice,@shwetasinghkirt,10
#WorldUnitedForSSRJustice,@republic,9
#WorldUnitedForSSRJustice,@ishkarnBHANDARI,8
#WorldUnitedForSSRJustice,@anky1912,6
#WorldUnitedForSSRJustice,@KanganaTeam,5
#WorldUnitedForSSRJustice,@PMOIndia,4
#WorldUnitedForSSRJustice,@sudhirchaudhary,4
#WorldUnitedForSSRJustice,@ZeeNews,4
#WorldUnitedForSSRJustice,@Swamy39,4
#WorldUnitedForSSRJustice,@itsSSR,3
#WorldUnitedForSSRJustice,@smitaparikh2,3
#WorldUnitedForSSRJustice,@Republic_Bharat,3
#WorldUnitedForSSRJustice,@dolly22apr,3
#WorldUnitedForSSRJustice,@Bansari1921,3
#WorldUnitedForSSRJustice,@KanganaOffical,3
#WorldUnitedForSSRJustice,@Tweet2Rhea,2
#WorldUnitedForSSRJustice,@lRajThackeray,2
#WorldUnitedForSSRJustice,@vibhor_anand,2
#WorldUnitedForSSRJustice,@kaminirupani,2
#WorldUnitedForSSRJustice,@justice_sushi,2
#WorldUnitedForSSRJustice,@AdhyayanSsuman,2
#WorldUnitedForSSRJustice,@PrincyRubi,2
#WorldUnitedForSSRJustice,@AmitShah,2
#WorldUnitedForSSRJustice,@mybmc,2
#WorldUnitedForSSRJustice,@narendramodi,2
#WorldUnitedForSSRJustice,@SupriyaRajput20,2
#WorldUnitedForSSRJustice,@Shilpi_Flyhigh,2
#WorldUnitedForSSRJustice,@taapsee,2
#WorldUnitedForSSRJustice,@Rashmiyadav7299,2
#WorldUnitedForSSRJustice,@shibanidandekar,2
#WorldUnitedForSSRJustice,@MonikaFulzele1,2
#WorldUnitedForSSRJustice,@Myhero_MrSSR,2
#WorldUnitedForSSRJustice,@Kautilya27,2
#WorldUnitedForSSRJustice,@Madhusm66436568,2
#WorldUnitedForSSRJustice,@rashtrapatibhvn,2
#WorldUnitedForSSRJustice,@MeHateBigots,1
#WorldUnitedForSSRJustice,@HerdHUSH,1
#WorldUnitedForSSRJustice,@Drishhhtiii,1
#WorldUnitedForSSRJustice,@FFJS2020,1
#WorldUnitedForSSRJustice,@KhuabMartayNhi2,1
#WorldUnitedForSSRJustice,@OfficeofUT,1
#WorldUnitedForSSRJustice,@IndiaToday,1
#WorldUnitedForSSRJustice,@NehaShukla06,1
#WorldUnitedForSSRJustice,@NanagPatekar_,1
#WorldUnitedForSSRJustice,@Kangana_Ra,1
#WorldUnitedForSSRJustice,@Mansoor18214871,1
#WorldUnitedForSSRJustice,@Melaiene1,1
#WorldUnitedForSSRJustice,@JiahKhanJustice,1
#WorldUnitedForSSRJustice,@DeepikaD28,1
#WorldUnitedForSSRJustice,@Akanksha_M24,1
#WorldUnitedForSSRJustice,@Dakshamehta033,1
#WorldUnitedForSSRJustice,@kangna_official,1
#WorldUnitedForSSRJustice,@A_Shank3,1
#WorldUnitedForSSRJustice,@PriyaD73162234,1
#WorldUnitedForSSRJustice,@Gbeyelives,1
#WorldUnitedForSSRJustice,@Ishutyagi91,1
#WorldUnitedForSSRJustice,@SandeepDedhaBJP,1
#WorldUnitedForSSRJustice,@iDeepakBaghel,1
#WorldUnitedForSSRJustice,@rohit_chahal,1
#WorldUnitedForSSRJustice,@xLiNhkprEI2hcFE,1
#WorldUnitedForSSRJustice,@ReallySwara,1
#WorldUnitedForSSRJustice,@tagreed2705,1
#WorldUnitedForSSRJustice,@SonuNigamIND,1
#WorldUnitedForSSRJustice,@IndianAnusuya,1
#WorldUnitedForSSRJustice,@gbhatt1999,1
#WorldUnitedForSSRJustice,@CMOMaharashtra,1
#WorldUnitedForSSRJustice,@Aki19791089,1
#WorldUnitedForSSRJustice,@NRIsforSSR,1
#WorldUnitedForSSRJustice,@S2rfamilygmail1,1
#WorldUnitedForSSRJustice,@CPMumbaiPolice,1
#WorldUnitedForSSRJustice,@MumbaiPolice,1
#WorldUnitedForSSRJustice,@PratapSarnaik,1
#WorldUnitedForSSRJustice,@SinghAd69904043,1
#WorldUnitedForSSRJustice,@AddysFc_,1
#WorldUnitedForSSRJustice,@Alokmishra416,1
#WorldUnitedForSSRJustice,@BJP4Delhi,1
#WorldUnitedForSSRJustice,@BJP4India,1
#WorldUnitedForSSRJustice,@BeingSalmanKhan,1
#WorldUnitedForSSRJustice,@Brand_VivekO,1
#WorldUnitedForSSRJustice,@Pradipofficial7,1
#WorldUnitedForSSRJustice,@ShivSena,1
#WorldUnitedForSSRJustice,@Rangolioffice,1
#WorldUnitedForSSRJustice,@nilotpalm3,1
#WorldUnitedForSSRJustice,@itsKrishnaT,1
#WorldUnitedForSSRJustice,@its_Chirashree,1
#WorldUnitedForSSRJustice,@its_amitkumar,1
#WorldUnitedForSSRJustice,@iujjawaltrivedi,1
#WorldUnitedForSSRJustice,@kanayanofficial,1
#WorldUnitedForSSRJustice,@lostsoul_apu,1
#WorldUnitedForSSRJustice,@mahiway_7,1
#WorldUnitedForSSRJustice,@narcoticsbureau,1
#WorldUnitedForSSRJustice,@narendramodi_in,1
#WorldUnitedForSSRJustice,@navikakumar,1
#WorldUnitedForSSRJustice,@ndtv,1
#WorldUnitedForSSRJustice,@pie_is_strange,1
#WorldUnitedForSSRJustice,@imshreyanarayan,1
#WorldUnitedForSSRJustice,@renukash,1
#WorldUnitedForSSRJustice,@renusubramaniam,1
#WorldUnitedForSSRJustice,@riteshdhar,1
#WorldUnitedForSSRJustice,@rohini_sgh,1
#WorldUnitedForSSRJustice,@shekharsuman7,1
#WorldUnitedForSSRJustice,@singhr07,1
#WorldUnitedForSSRJustice,@sonamakapoor,1
#WorldUnitedForSSRJustice,@soniaferns2004,1
#WorldUnitedForSSRJustice,@subhashchandra,1
#WorldUnitedForSSRJustice,@sushantlywood,1
#WorldUnitedForSSRJustice,@swamyfc39,1
#WorldUnitedForSSRJustice,@ips_nupurprasad,1
#WorldUnitedForSSRJustice,@iRaviTiwari,1
#WorldUnitedForSSRJustice,@RealArnab7,1
#WorldUnitedForSSRJustice,@TimesNow,1
#WorldUnitedForSSRJustice,@Remember2ndOct,1
#WorldUnitedForSSRJustice,@Riyan94140344,1
#WorldUnitedForSSRJustice,@RocksAkshayJMD,1
#WorldUnitedForSSRJustice,@Sachita0707,1
#WorldUnitedForSSRJustice,@SamayraSingh22,1
#WorldUnitedForSSRJustice,@ShashiTharoor,1
#WorldUnitedForSSRJustice,@tapantanwar,1
#WorldUnitedForSSRJustice,@Shrikan59402980,1
#WorldUnitedForSSRJustice,@Snigdha202,1
