from,to,count
#Warntag2020,@BMISprecher,4
#Warntag2020,@gamingclerks,3
#Warntag2020,@DLFNachrichten,3
#Warntag2020,@DaveBrych,3
#Warntag2020,@Koeln,2
#Warntag2020,@FloGehm,2
#Warntag2020,@PolizeiMainz,2
#Warntag2020,@BadHomburgStadt,1
#Warntag2020,@DieReserve,1
#Warntag2020,@roteskreuz_de,1
#Warntag2020,@KreisMettmann,1
#Warntag2020,@reitschuster,1
#Warntag2020,@Polizei_Rostock,1
#Warntag2020,@RubbelDieKatz71,1
#Warntag2020,@SchattenwolfTV,1
#Warntag2020,@TUEV_SUED_MS,1
#Warntag2020,@martja,1
#Warntag2020,@NalanSipar,1
