src,dst,count
#RheaArrested,#SushantSinghRajput,2
#RheaArrested,#SushantCaseBreakThrough,1
#RheaArrested,#RheaDrugsChat,1
#RheaArrested,#RheaDualFaceExposed,1
#RheaArrested,#SSR,1
#RheaArrested,#SSRCase,1
#RheaArrested,#SSRCulpritsBehindBar,1
#RheaArrested,#SSRKilledOn14June,1
#RheaArrested,#SSRTrueStory,1
#RheaArrested,#SupportGaza,1
#RheaArrested,#SushantRheaTwist,1
#RheaArrested,#SushantSingRajputDeathCase,1
#RheaArrested,#RheaChakroborty,1
#RheaArrested,#cbi4SSR,1
#RheaArrested,#BreakingNews,1
#RheaArrested,#CBITakesOver,1
#RheaArrested,#DishaTruthNow,1
#RheaArrested,#Flag4SSR,1
#RheaArrested,#Justice4SSRIsGlobalDemand,1
#RheaArrested,#LegendsNeverDie,1
#RheaArrested,#RheaChakraborthy,1
#RheaArrested,#KanganaSpeaksToArnab,1
