src,dst,count
@ShopeeID,$791924365361152000,193
@ShopeeID,$1309709304044298240,159
@ShopeeID,$1238115419799482370,150
@ShopeeID,$1272815190673780736,150
@ShopeeID,$829235931714637824,141
@ShopeeID,$1308362581204062210,140
@ShopeeID,$1120600313189154816,137
@ShopeeID,$1206579964977352704,133
@ShopeeID,$1291278832645705728,115
@ShopeeID,$1309760142213177345,102
@ShopeeID,$2346299546,89
@ShopeeID,$1290679859413282816,75
@ShopeeID,$1298977182790766594,70
@ShopeeID,$3632199917,62
@ShopeeID,$1069367869996060672,50
@ShopeeID,$1266553594465189895,49
@ShopeeID,$1105486523951017985,46
@ShopeeID,$1089095085331963904,43
@ShopeeID,$1182890234947653632,34
@ShopeeID,$1304742747304202241,28
@ShopeeID,$1287280600718520320,27
@ShopeeID,$1295221893662781440,23
@ShopeeID,$1268334953835532288,23
@ShopeeID,$1082652719276539906,22
@ShopeeID,$192505774,21
@ShopeeID,$1202635844227493888,19
@ShopeeID,$1144832691574935552,17
@ShopeeID,$1179904128425660418,15
@ShopeeID,$907912097689829377,13
@ShopeeID,$1257932585402941440,13
@ShopeeID,$1310900417119752197,10
@ShopeeID,$1311233452637745152,10
@ShopeeID,$1293202504331624449,8
@ShopeeID,$1289957472577269760,8
@ShopeeID,$2224447176,8
@ShopeeID,$1308344699602612225,7
@ShopeeID,$1265800091043893248,7
@ShopeeID,$1310455645347303424,6
@ShopeeID,$1303146393490436096,4
@ShopeeID,$790571774782103552,4
@ShopeeID,$857043557760212992,4
@ShopeeID,$1304009431231807489,3
@ShopeeID,$1260540335274352641,3
@ShopeeID,$1291575657911054336,3
@ShopeeID,$1192261224,3
@ShopeeID,$1092448153779855360,3
@ShopeeID,$1259798165227630592,3
@ShopeeID,$489111772,2
@ShopeeID,$1241293217984679937,2
@ShopeeID,$1027496434881314816,2
@ShopeeID,$1154638328597139456,2
@ShopeeID,$1247486573249093633,2
@ShopeeID,$1311227616695742464,1
@ShopeeID,$1299875285702070274,1
@ShopeeID,$1023928632,1
@ShopeeID,$1295329361281728512,1
@ShopeeID,$1191350268731936768,1
@ShopeeID,$1172676106731708416,1
@ShopeeID,$1160809884364857344,1
@ShopeeID,$2483431562,1
@ShopeeID,$1290426274523963395,1
@ShopeeID,$1225352780719640578,1
