src,dst,count
#Revolution4SSR,@ishkarnBHANDARI,1701
#Revolution4SSR,@PMOIndia,648
#Revolution4SSR,@HMOIndia,526
#Revolution4SSR,@shwetasinghkirt,517
#Revolution4SSR,@republic,438
#Revolution4SSR,@AmitShah,339
#Revolution4SSR,@narendramodi,315
#Revolution4SSR,@Republic_Bharat,249
#Revolution4SSR,@AsgarHu15156686,240
#Revolution4SSR,@Imkgauravmishra,207
#Revolution4SSR,@BeingArnab5,205
#Revolution4SSR,@lostsoul_apu,203
#Revolution4SSR,@Swamy39,189
#Revolution4SSR,@nilotpalm3,185
#Revolution4SSR,@smitaparikh2,164
#Revolution4SSR,@Ace_Honey_,162
#Revolution4SSR,@itsJustice4SSR,158
#Revolution4SSR,@ips_nupurprasad,154
#Revolution4SSR,@JennieSakamoto,148
#Revolution4SSR,@iujjawaltrivedi,145
#Revolution4SSR,@itsSSR,132
#Revolution4SSR,@NIA_India,131
#Revolution4SSR,@narcoticsbureau,131
#Revolution4SSR,@aiims_nd,129
#Revolution4SSR,@OmNamahShivay29,125
#Revolution4SSR,@SushHeart,125
#Revolution4SSR,@rupali0023,100
#Revolution4SSR,@MadhumitaroyC,99
#Revolution4SSR,@anky1912,95
#Revolution4SSR,@Shilpi_Flyhigh,94
#Revolution4SSR,@rashtrapatibhvn,94
#Revolution4SSR,@Dev_Fadnavis,93
#Revolution4SSR,@KanganaTeam,86
#Revolution4SSR,@Bansari1921,85
#Revolution4SSR,@IASassociation,84
#Revolution4SSR,@NehaT1923,72
#Revolution4SSR,@GHiwarkar,70
#Revolution4SSR,@dayanand_dinker,70
#Revolution4SSR,@Akanksha_M24,69
#Revolution4SSR,@iRaviTiwari,68
#Revolution4SSR,@funky2k,66
#Revolution4SSR,@AvipsaKazi,64
#Revolution4SSR,@GauricaB,63
#Revolution4SSR,@ArijitOfficiall,63
#Revolution4SSR,@AmitRoy80180681,63
#Revolution4SSR,@MeenaDasNarayan,60
#Revolution4SSR,@itsshagun_,60
#Revolution4SSR,@NiteshNRane,59
#Revolution4SSR,@sarksandal,58
#Revolution4SSR,@cbic_india,58
#Revolution4SSR,@shekharsuman7,55
#Revolution4SSR,@PhotonSupport,51
#Revolution4SSR,@Real_Arnab7,50
#Revolution4SSR,@mahiway_7,50
#Revolution4SSR,@RiyushaA95,48
#Revolution4SSR,@flowerforthesun,47
#Revolution4SSR,@arnabofficial9,47
#Revolution4SSR,@pradip103,46
#Revolution4SSR,@hereforsush,45
#Revolution4SSR,@SSRJustice14,44
#Revolution4SSR,@Rahul77509764,44
#Revolution4SSR,@DelhiPolice,44
#Revolution4SSR,@AdvocateShiva10,43
#Revolution4SSR,@Singh08_12,42
#Revolution4SSR,@AnjuRajkoomar,41
#Revolution4SSR,@Sweety88072662,40
#Revolution4SSR,@_Its_Sakshi,40
#Revolution4SSR,@Cosmic_Ocean_,39
#Revolution4SSR,@mayureshkrishna,38
#Revolution4SSR,@Itz_rosy_14,37
#Revolution4SSR,@VinK1989,37
#Revolution4SSR,@patelsoha18,36
#Revolution4SSR,@Santosh30075941,36
#Revolution4SSR,@SalinaSinghRaj1,36
#Revolution4SSR,@zayniesgal,35
#Revolution4SSR,@TimesNow,33
#Revolution4SSR,@mohod_anurag,30
#Revolution4SSR,@vikashranjan,28
#Revolution4SSR,@Manisha45143055,28
#Revolution4SSR,@IshaKaurssr2,28
#Revolution4SSR,@itsKrishnaT,26
#Revolution4SSR,@TannuPriyah,25
#Revolution4SSR,@SanaSSRisLuv,25
#Revolution4SSR,@sushantfan21,25
#Revolution4SSR,@Abhinavkr30,24
#Revolution4SSR,@anilkumarsaurav,24
#Revolution4SSR,@ChamchoeDolma,23
#Revolution4SSR,@Iamkomal13,23
#Revolution4SSR,@Shehzad_Ind,22
#Revolution4SSR,@GirlForJustice,22
#Revolution4SSR,@ItsZibran,22
#Revolution4SSR,@Surabhi045,21
#Revolution4SSR,@justice_sushi,21
#Revolution4SSR,@annalinedewet,21
#Revolution4SSR,@rg13956059,21
#Revolution4SSR,@Ashita13409262,21
#Revolution4SSR,@itssSSRian,20
#Revolution4SSR,@TheUnknown_Dr,20
#Revolution4SSR,@Unknown64012796,19
#Revolution4SSR,@vikirti,19
#Revolution4SSR,@candid_indian_,19
#Revolution4SSR,@Niffler_85,19
#Revolution4SSR,@AwakenYuvti,18
#Revolution4SSR,@Sara_SSRians,18
#Revolution4SSR,@divinemitz,18
#Revolution4SSR,@kiranbanra,18
#Revolution4SSR,@Im_ma_Bounce,18
#Revolution4SSR,@CBItweets,18
#Revolution4SSR,@Ignoreandfly47,18
#Revolution4SSR,@kalyanpatil90,18
#Revolution4SSR,@justforssr11,17
#Revolution4SSR,@Anilyadav_IPS,17
#Revolution4SSR,@phoenixrizing10,17
#Revolution4SSR,@i_Drohi,17
#Revolution4SSR,@AasthaS47780715,17
#Revolution4SSR,@VernekarBeena,16
#Revolution4SSR,@JiahKhanJustice,16
#Revolution4SSR,@Warriors4SSR1,15
#Revolution4SSR,@Soul_Of_Dialect,15
#Revolution4SSR,@SushForlife,14
#Revolution4SSR,@Harshi_Gamage90,14
#Revolution4SSR,@ianuragbisht,14
#Revolution4SSR,@anuragsinha1992,14
#Revolution4SSR,@_PreetiPandey,14
#Revolution4SSR,@syamfci,14
#Revolution4SSR,@ArvindKejriwal,14
#Revolution4SSR,@aajtak,13
#Revolution4SSR,@Suzie98585465,13
#Revolution4SSR,@Lokeshs67068967,13
#Revolution4SSR,@Remember2ndOct,13
#Revolution4SSR,@arnabofficial7,13
#Revolution4SSR,@DebolinaDebnat9,13
#Revolution4SSR,@alchemist_am,13
#Revolution4SSR,@meera2585,13
#Revolution4SSR,@its_shwetasingh,13
#Revolution4SSR,@Rashmiyadav7299,13
#Revolution4SSR,@fifafooz1,12
#Revolution4SSR,@Suvanka24508879,12
#Revolution4SSR,@Luvy1294,12
#Revolution4SSR,@SaraSushant2020,12
#Revolution4SSR,@naturalphoton,12
#Revolution4SSR,@SwatiBPatwari,12
#Revolution4SSR,@dineshkum123,12
#Revolution4SSR,@Aadiyogii07,11
#Revolution4SSR,@shalu4ssr,11
#Revolution4SSR,@BenuSangma,11
#Revolution4SSR,@swatimehak,11
#Revolution4SSR,@Kia13041774,11
#Revolution4SSR,@innovative__c,11
#Revolution4SSR,@IShobhitGoyal,11
#Revolution4SSR,@sushantf3,11
#Revolution4SSR,@Vinayak340,11
#Revolution4SSR,@MumbaiPolice,11
#Revolution4SSR,@SonuNigamIND,11
#Revolution4SSR,@NitishKumar,11
#Revolution4SSR,@Ritu85394299,10
#Revolution4SSR,@ForeverbyF,10
#Revolution4SSR,@Sir_Warrior,10
#Revolution4SSR,@sarkar_somreeta,10
#Revolution4SSR,@cvaishali16,10
#Revolution4SSR,@Wkupcall4india,10
#Revolution4SSR,@GunjankaurAnand,9
#Revolution4SSR,@ToushnikY,9
#Revolution4SSR,@AnkitaM57527994,9
#Revolution4SSR,@Ankita_Arya,9
#Revolution4SSR,@Wikipedia,9
#Revolution4SSR,@Sara41047814,9
#Revolution4SSR,@Chaturvedi231,9
#Revolution4SSR,@iPrabhakarSP,9
#Revolution4SSR,@GarimaK13,9
#Revolution4SSR,@AnamikaRashmi,9
#Revolution4SSR,@varunkapurz,9
#Revolution4SSR,@Aswin17899422,9
#Revolution4SSR,@ShwetaS29041717,9
#Revolution4SSR,@KumaSridevi,9
#Revolution4SSR,@ravikishann,9
#Revolution4SSR,@iAmSaffronTiger,9
#Revolution4SSR,@indiatvnews,9
#Revolution4SSR,@aiims_newdelhi,9
#Revolution4SSR,@Sneha0730SN,9
#Revolution4SSR,@Harika11102716,8
#Revolution4SSR,@Rosy17439327,8
#Revolution4SSR,@VedantThakkar13,8
#Revolution4SSR,@nilotpalmrinal,8
#Revolution4SSR,@BJP4India,8
#Revolution4SSR,@AmitShahOffice,8
#Revolution4SSR,@sherlynchorpa,8
#Revolution4SSR,@HereDisha,8
#Revolution4SSR,@pie_is_strange,8
#Revolution4SSR,@Tamal1990,8
#Revolution4SSR,@Sharbani5,8
#Revolution4SSR,@Mukesh_Khanna_,8
#Revolution4SSR,@anujakapurindia,8
#Revolution4SSR,@Kuldeep91795808,8
