src,dst,count
#WorldUnitedForSSRJustice,#DishaTruthNow,7
#WorldUnitedForSSRJustice,#Justice4SSRIsGlobalDemand,3
#WorldUnitedForSSRJustice,#Flag4SSR,3
#WorldUnitedForSSRJustice,#DishaSushantMurderLink,2
#WorldUnitedForSSRJustice,#SSRMurderCase,1
#WorldUnitedForSSRJustice,#WarriorsRoar4SSR,1
#WorldUnitedForSSRJustice,#WeStayUnited4SSR,1
#WorldUnitedForSSRJustice,#BoycottBigboss,1
#WorldUnitedForSSRJustice,#BoycottBollywoodFilms,1
#WorldUnitedForSSRJustice,#DishaSalian,1
#WorldUnitedForSSRJustice,#JusticeforSushantSingRajput,1
#WorldUnitedForSSRJustice,#justiceforSushanthSinghRajput,1
#WorldUnitedForSSRJustice,#Warriors4SSR,1
#WorldUnitedForSSRJustice,#JusticeForSushantSinghRajput,1
#WorldUnitedForSSRJustice,#Reign,1
#WorldUnitedForSSRJustice,#Respected,1
#WorldUnitedForSSRJustice,#SatyagrahForSSR,1
#WorldUnitedForSSRJustice,#SushantSingRajputDeathCase,1
#WorldUnitedForSSRJustice,#UnitedForSSRJustice,1
#WorldUnitedForSSRJustice,#women,1
#WorldUnitedForSSRJustice,#JusticeForSSR,1
