src,dst,count
#coronavirus,@DrDenaGrayson,626
#coronavirus,@JoeBiden,550
#coronavirus,@realDonaldTrump,410
#coronavirus,@K_JeanPierre,245
#coronavirus,@trish_regan,178
#coronavirus,@GeraldoRivera,156
#coronavirus,@SkyNews,91
#coronavirus,@JudiciaryGOP,91
#coronavirus,@SenJohnKennedy,84
#coronavirus,@PamelaBrownCNN,84
#coronavirus,@MikevWUSA,80
#coronavirus,@GordonGChang,76
#coronavirus,@RealCandaceO,59
#coronavirus,@jpierni,58
#coronavirus,@BryanDawsonUSA,47
#coronavirus,@B52Malmet,46
#coronavirus,@GVAsanitat,45
#coronavirus,@aajtak,39
#coronavirus,@Mike_Pence,37
#coronavirus,@CupofJoeintheD2,33
#coronavirus,@TheSWPrincess,29
#coronavirus,@UniofOxford,28
#coronavirus,@SanderHillman,23
#coronavirus,@M_T_Franz,22
#coronavirus,@BorisJohnson,21
#coronavirus,@WHO,21
#coronavirus,@TomFitton,20
#coronavirus,@TeamPelosi,20
#coronavirus,@ProfJeffries,20
#coronavirus,@jonrappoport,20
#coronavirus,@PasReport,19
#coronavirus,@SpectatorOz,18
#coronavirus,@aubrey_huff,18
#coronavirus,@POTUS,18
#coronavirus,@Avir_offical,18
#coronavirus,@sareyeumutol,17
#coronavirus,@LotusOak2,17
#coronavirus,@GOP,17
#coronavirus,@MattHancock,16
#coronavirus,@TrumpWarRoom,16
#coronavirus,@KimMangone,15
#coronavirus,@jensspahn,15
#coronavirus,@COVIDNewsByMIB,14
#coronavirus,@maddow,14
#coronavirus,@USAloveGOD,13
#coronavirus,@jaketapper,13
#coronavirus,@stevesilberman,12
#coronavirus,@Percolator_HNJ,12
#coronavirus,@IndiaToday,11
#coronavirus,@esbilgicreal,11
#coronavirus,@drfahrettinkoca,11
#coronavirus,@SenJoniErnst,11
#coronavirus,@RonBrownstein,11
#coronavirus,@DanteUSAInferno,11
#coronavirus,@VP,11
#coronavirus,@JustTheNews,11
#coronavirus,@UKCovid19Stats,10
#coronavirus,@tonfvandijk,10
#coronavirus,@AFP,10
#coronavirus,@FoxNews,10
#coronavirus,@PressSec,9
#coronavirus,@socialiststeve6,9
#coronavirus,@Infantry0300,9
#coronavirus,@ARYNEWSOFFICIAL,9
#coronavirus,@seanhannity,9
#coronavirus,@Maryam_Rajavi_F,9
#coronavirus,@AlArabiya_Eng,9
#coronavirus,@StefSimanowitz,9
#coronavirus,@AnjaKarliczek,8
#coronavirus,@adjunctprofesor,8
#coronavirus,@BBCSussex,8
#coronavirus,@Laurie_Garrett,8
#coronavirus,@realdeliii,8
#coronavirus,@thehill,8
#coronavirus,@SivUns,8
#coronavirus,@MEK_Iran,8
#coronavirus,@Channel4,8
#coronavirus,@EU_Commission,8
#coronavirus,@ProjectLincoln,8
#coronavirus,@LibDemHealth,7
#coronavirus,@RegSprecher,7
#coronavirus,@WHOSEARO,7
#coronavirus,@Poetvix,7
#coronavirus,@RadioClydeNews,7
#coronavirus,@bolassiette,7
#coronavirus,@Jerusalem_Post,7
#coronavirus,@JustMeBeingMe4,7
#coronavirus,@Albion_Rover,7
#coronavirus,@briangukc,7
#coronavirus,@senatemajldr,7
#coronavirus,@SenGPG,7
#coronavirus,@SenBJF,7
#coronavirus,@dil_kal,7
#coronavirus,@minsaude,7
#coronavirus,@disneydoc911,7
#coronavirus,@ukcolumn,7
#coronavirus,@hel_ianthus,7
#coronavirus,@stealthygeek,7
#coronavirus,@JimmyFalk5,7
#coronavirus,@PabloDiez_ABC,6
#coronavirus,@dawn_com,6
