src,dst,count
#2BrutalMurders,#ExposeDishaSalianCase,1143
#ExposeDishaSalianCase,#JusticeForDisha,1314
#ExposeDishaSalianCase,#EvidencesScreamMurder,156
#ExposeDishaSalianCase,#DishaSalian,46
#ExposeDishaSalianCase,#SSRVisceraTruthNow,30
#ExposeDishaSalianCase,#ArrestSSRKillersNow,25
#ExposeDishaSalianCase,#JusticeForSSR,20
#ExposeDishaSalianCase,#ArrestDishaSSRKillers,13
#ExposeDishaSalianCase,#MumbaiPoliceExposed,12
#ExposeDishaSalianCase,#DishaAndSSRCaseLinked,11
#ExposeDishaSalianCase,#JusticeForSushantSinghRajput,11
#ExposeDishaSalianCase,#RightToReport,10
#ExposeDishaSalianCase,#NationWantsDishaSSRTruth,9
#ExposeDishaSalianCase,#SSR,9
#ExposeDishaSalianCase,#DishaSushantMurderLink,8
#ExposeDishaSalianCase,#JusticeForDishaSalian,7
#ExposeDishaSalianCase,#jiahkhan,6
#ExposeDishaSalianCase,#justiceforSushanthSinghRajput,5
#ExposeDishaSalianCase,#Justice4SSRIsGlobalDemand,5
#ExposeDishaSalianCase,#DishaTruthNow,5
#ExposeDishaSalianCase,#ArrestAnuragKashyap,4
#ExposeDishaSalianCase,#BoycottBollywood,4
#ExposeDishaSalianCase,#EvidenceScreamsMurder,3
#ExposeDishaSalianCase,#Disha,3
#ExposeDishaSalianCase,#SSRDeathCase,3
#ExposeDishaSalianCase,#NewsNationTV,3
#ExposeDishaSalianCase,#WeStayUnited4SSR,3
#ExposeDishaSalianCase,#JusticeforSushantSingRajput,2
#ExposeDishaSalianCase,#Warriors4SSR,2
#ExposeDishaSalianCase,#SushantSinghRajput,2
#ExposeDishaSalianCase,#SSRDishaHomicide,2
#ExposeDishaSalianCase,#FocusOnMurderofSSR,2
#ExposeDishaSalianCase,#MahaGovtBackingKillers,2
#ExposeDishaSalianCase,#ArrestSandipSsingh,2
#ExposeDishaSalianCase,#WeStandWithArnabGoswami,2
#ExposeDishaSalianCase,#JiahkhanWasMurdered,2
#ExposeDishaSalianCase,#HomicideAngleExplodes,1
#ExposeDishaSalianCase,#JusticeForSSRAndDisha,1
#ExposeDishaSalianCase,#CBIFamilyAwaitsJusticeForSSR,1
#ExposeDishaSalianCase,#SSRAIIMSReport,1
#ExposeDishaSalianCase,#MaharashtraGovt,1
#ExposeDishaSalianCase,#AnuragKashyap,1
#ExposeDishaSalianCase,#BollywoodMafia,1
#ExposeDishaSalianCase,#BoycottBigBoss14,1
#ExposeDishaSalianCase,#BoycottChehre,1
#ExposeDishaSalianCase,#BoycottKBC12,1
#ExposeDishaSalianCase,#BoycottLaxmmiBomb,1
#ExposeDishaSalianCase,#CBI,1
#ExposeDishaSalianCase,#DishaSSRMurderLink,1
#ExposeDishaSalianCase,#DishaSaliyan,1
#ExposeDishaSalianCase,#DishaWasKilled,1
#ExposeDishaSalianCase,#JusticeforSSR,1
#ExposeDishaSalianCase,#SanjayRaut,1
#ExposeDishaSalianCase,#KanganaRanaut,1
#ExposeDishaSalianCase,#DeepikaPadukone,1
#ExposeDishaSalianCase,#worldunitedforssr,1
#ExposeDishaSalianCase,#ArnabGoswami,1
#ExposeDishaSalianCase,#BoycottBollywoodMafiaGangs,1
#ExposeDishaSalianCase,#RanveerSingh,1
#ExposeDishaSalianCase,#itsSSR,1
#ExposeDishaSalianCase,#poochtahaivijay,1
#ExposeDishaSalianCase,#ShameOnMumbaiPolice,1
#ExposeDishaSalianCase,#Paytm,1
#ExposeDishaSalianCase,#RheaChakroborty,1
#ExposeDishaSalianCase,#SSRMurderCase,1
#ExposeDishaSalianCase,#ShameOnMahaGovt,1
#ExposeDishaSalianCase,#SushantSinghRajputDeathCase,1
#ExposeDishaSalianCase,#SushantWasMurdered,1
#2BrutalMurders,#JusticeForDisha,1128
#JusticeForDisha,#EvidencesScreamMurder,4098
#JusticeForDisha,#JusticeForSSR,1299
#JusticeForDisha,#ExposeDishaSalianCase,1206
#JusticeForDisha,#SSRVisceraTruthNow,842
#JusticeForDisha,#JusticeForSushantSinghRajput,676
#JusticeForDisha,#DishaSalian,665
#JusticeForDisha,#justiceforSushanthSinghRajput,512
#JusticeForDisha,#EvidenceScreamsMurder,396
#JusticeForDisha,#SSR,234
#JusticeForDisha,#Justice4SSRIsGlobalDemand,139
#JusticeForDisha,#ArrestDishaSSRKillers,89
#JusticeForDisha,#SSRDishaHomicide,54
#JusticeForDisha,#SushantSinghRajput,47
#JusticeForDisha,#ArrestSSRKillersNow,44
#JusticeForDisha,#JusticeforSushantSingRajput,43
#JusticeForDisha,#BoycottBollywood,36
#JusticeForDisha,#NationWantsDishaSSRTruth,28
#JusticeForDisha,#CBIFocusOnMurder,26
#JusticeForDisha,#Bollywood,24
#JusticeForDisha,#Warriors4SSR,20
#JusticeForDisha,#WarriorsRoar4SSR,18
#JusticeForDisha,#Justice4SSR,15
#JusticeForDisha,#CBIUnfoldSSRMystery,13
#JusticeForDisha,#DishaSushantMurderLink,12
#JusticeForDisha,#DishaWasKilled,11
#JusticeForDisha,#MumbaiPoliceExposed,11
#JusticeForDisha,#DishaTruthNow,11
#JusticeForDisha,#SSRDeathCase,10
#JusticeForDisha,#WeStayUnited4SSR,10
#JusticeForDisha,#CBIFamilyAwaitsJusticeForSSR,10
#JusticeForDisha,#RightToReport,9
#JusticeForDisha,#JusticeForDishaSalian,8
#JusticeForDisha,#ExposeDisaSaliancase,8
#JusticeForDisha,#ArrestAnuragKashyap,8
#JusticeForDisha,#Disha,7
#JusticeForDisha,#SushantWasMurdered,7
#JusticeForDisha,#ArrestDrSwamy,7
#JusticeForDisha,#CBI,7
#JusticeForDisha,#SSRAIIMSReport,7
#JusticeForDisha,#Warriors4SRR,7
#JusticeForDisha,#JusticeForSSRAndDisha,7
#JusticeForDisha,#SSRTrueStory,6
#JusticeForDisha,#HomicideAngleExplodes,5
#JusticeForDisha,#BollywoodDarkSecrets,5
#JusticeForDisha,#SSRWarriors,5
#JusticeForDisha,#DishaSSRMurderLink,5
#JusticeForDisha,#WorldUnitedForSSRJustice,5
#JusticeForDisha,#ItsMurderNotHomicide,4
#JusticeForDisha,#JusticeForSSRIsGlobalDemand,4
#JusticeForDisha,#ImmortalSushant,4
#JusticeForDisha,#GlobalPrayers4SSR,3
#JusticeForDisha,#DishaAndSSRCaseLinked,3
#JusticeForDisha,#ArnabGoswami,3
#JusticeForDisha,#FocusOnMurderAngle,3
