#JusticeForDisha,#justiceforSushanthSinghRajput,513
#EvidencesScreamMurder,#ArrestSSRKillersNow,111
#2BrutalMurders,#JusticeForDisha,1128
#ArrestSSRKillersNow,#EvidencesScreamMurder,165
#2BrutalMurders,#EvidencesScreamMurder,92
#HomicideAngleExplodes,#JusticeForDisha,5
#SSRVisceraTruthNow,#SSRAIIMSReport,19
#ArrestDishaSSRKillers,#justiceforSushanthSinghRajput,57
#ArrestSSRKillersNow,#ArrestDishaSSRKillers,170
#RightToReport,#ArrestSSRKillersNow,8
#ExposeDishaSalianCase,#ArrestDishaSSRKillers,13
#RightToReport,#EvidencesScreamMurder,5
#RightToReport,#ArrestDishaSSRKillers,5
#SSRVisceraTruthNow,#JusticeForDisha,688
#ArrestDishaSSRKillers,#ArrestCulpritsOfSSR,51
#Justice4SSRIsGlobalDemand,#EvidencesScreamMurder,29
#ExposeDishaSalianCase,#SSRVisceraTruthNow,30
#2BrutalMurders,#ExposeDishaSalianCase,1143
#EvidencesScreamMurder,#SSRVisceraTruthNow,4230
#justiceforSushanthSinghRajput,#ArrestDishaSSRKillers,57
#ExposeDishaSalianCase,#EvidencesScreamMurder,156
#ArrestDishaSSRKillers,#JusticeForDisha,79
#SSRVisceraTruthNow,#justiceforSushanthSinghRajput,19
#EvidencesScreamMurder,#JusticeForDisha,3757
#ArrestSSRKillersNow,#Justice4SSRIsGlobalDemand,37
#ArrestSSRKillersNow,#JusticeForDisha,34
#2BrutalMurders,#SSRVisceraTruthNow,29
#Justice4SSRIsGlobalDemand,#ArrestSSRKillersNow,37
#JusticeForDisha,#Justice4SSRIsGlobalDemand,129
#EvidencesScreamMurder,#ExposeDishaSalianCase,117
#ExposeDishaSalianCase,#ArrestSSRKillersNow,25
#SSRAIIMSReport,#ArrestDishaSSRKillers,22
#2BrutalMurders,#ArrestSSRKillersNow,48
#justiceforSushanthSinghRajput,#JusticeForDisha,472
#2BrutalMurders,#ArrestCulpritsOfSSR,17
#Justice4SSRIsGlobalDemand,#justiceforSushanthSinghRajput,15
#SSRAIIMSReport,#SSRVisceraTruthNow,19
#ExposeDishaSalianCase,#RightToReport,10
#2BrutalMurders,#ArrestDishaSSRKillers,36
#SSRAIIMSReport,#justiceforSushanthSinghRajput,13
#RightToReport,#ExposeDishaSalianCase,10
#Justice4SSRIsGlobalDemand,#ArrestDishaSSRKillers,37
#SSRVisceraTruthNow,#ArrestDishaSSRKillers,22
#JusticeForDisha,#EvidencesScreamMurder,4098
#HomicideAngleExplodes,#ArrestSSRKillersNow,4
#ArrestCulpritsOfSSR,#justiceforSushanthSinghRajput,33
#ArrestDishaSSRKillers,#ArrestSSRKillersNow,203
#ArrestDishaSSRKillers,#EvidencesScreamMurder,120
#SSRVisceraTruthNow,#ArrestSSRKillersNow,21
#2BrutalMurders,#Justice4SSRIsGlobalDemand,19
#HomicideAngleExplodes,#justiceforSushanthSinghRajput,1
#justiceforSushanthSinghRajput,#ArrestCulpritsOfSSR,36
#EvidencesScreamMurder,#ArrestDishaSSRKillers,166
src,dst,count
#JusticeForDisha,#SSRVisceraTruthNow,840
#2BrutalMurders,#RightToReport,131
#ExposeDishaSalianCase,#JusticeForDisha,1314
#2BrutalMurders,#justiceforSushanthSinghRajput,21
#Justice4SSRIsGlobalDemand,#JusticeForDisha,129
#2BrutalMurders,#HomicideAngleExplodes,56
#HomicideAngleExplodes,#EvidencesScreamMurder,2
#SSRVisceraTruthNow,#EvidencesScreamMurder,4230
#HomicideAngleExplodes,#ExposeDishaSalianCase,1
#2BrutalMurders,#SSRAIIMSReport,15
#justiceforSushanthSinghRajput,#ArrestSSRKillersNow,23
#HomicideAngleExplodes,#RightToReport,2
#RightToReport,#JusticeForDisha,9
#justiceforSushanthSinghRajput,#EvidencesScreamMurder,165
#JusticeForDisha,#ExposeDishaSalianCase,1206
#EvidencesScreamMurder,#justiceforSushanthSinghRajput,138
#ArrestCulpritsOfSSR,#ArrestDishaSSRKillers,51
#SSRAIIMSReport,#ArrestCulpritsOfSSR,13
