#2BrutalMurders,@Dhann_shree,65
#JusticeForDisha,#justiceforSushanthSinghRajput,513
#EvidencesScreamMurder,#ArrestSSRKillersNow,111
#2BrutalMurders,#JusticeForDisha,1128
#ArrestSSRKillersNow,#EvidencesScreamMurder,165
@rupali0023,@republic,811
#2BrutalMurders,#EvidencesScreamMurder,92
#HomicideAngleExplodes,#JusticeForDisha,5
#SSRVisceraTruthNow,#SSRAIIMSReport,19
#ArrestDishaSSRKillers,#justiceforSushanthSinghRajput,57
#ArrestSSRKillersNow,#ArrestDishaSSRKillers,170
#2BrutalMurders,@Brand_AtulNamo,74
#RightToReport,#ArrestSSRKillersNow,8
#2BrutalMurders,@EvaPhoenix,63
#2BrutalMurders,@AkKanpur,251
#ExposeDishaSalianCase,#ArrestDishaSSRKillers,13
@vikashranjan,@Imkgauravmishra,24
@iRaviTiwari,@Imkgauravmishra,670
@iRaviTiwari,@rupali0023,394
#2BrutalMurders,@Remember2ndOct,482
#RightToReport,#EvidencesScreamMurder,5
#RightToReport,#ArrestDishaSSRKillers,5
#SSRVisceraTruthNow,#JusticeForDisha,688
#ArrestDishaSSRKillers,#ArrestCulpritsOfSSR,51
#Justice4SSRIsGlobalDemand,#EvidencesScreamMurder,29
#ExposeDishaSalianCase,#SSRVisceraTruthNow,30
#2BrutalMurders,#ExposeDishaSalianCase,1143
#EvidencesScreamMurder,#SSRVisceraTruthNow,4230
#justiceforSushanthSinghRajput,#ArrestDishaSSRKillers,57
#ExposeDishaSalianCase,#EvidencesScreamMurder,156
#ArrestDishaSSRKillers,#JusticeForDisha,79
@EvaPhoenix,@Dhann_shree,14
#SSRVisceraTruthNow,#justiceforSushanthSinghRajput,19
#EvidencesScreamMurder,#JusticeForDisha,3757
#ArrestSSRKillersNow,#Justice4SSRIsGlobalDemand,37
@vikashranjan,@rupali0023,19
#ArrestSSRKillersNow,#JusticeForDisha,34
@iRaviTiwari,@Dhann_shree,454
#2BrutalMurders,#SSRVisceraTruthNow,29
#Justice4SSRIsGlobalDemand,#ArrestSSRKillersNow,37
#JusticeForDisha,#Justice4SSRIsGlobalDemand,129
#EvidencesScreamMurder,#ExposeDishaSalianCase,117
#ExposeDishaSalianCase,#ArrestSSRKillersNow,25
#SSRAIIMSReport,#ArrestDishaSSRKillers,22
#2BrutalMurders,#ArrestSSRKillersNow,48
#2BrutalMurders,@republic,80
@Brand_AtulNamo,@iRaviTiwari,1
#justiceforSushanthSinghRajput,#JusticeForDisha,472
#2BrutalMurders,#ArrestCulpritsOfSSR,17
#Justice4SSRIsGlobalDemand,#justiceforSushanthSinghRajput,15
#SSRAIIMSReport,#SSRVisceraTruthNow,19
#ExposeDishaSalianCase,#RightToReport,10
#2BrutalMurders,#ArrestDishaSSRKillers,36
#2BrutalMurders,@iRaviTiwari,3535
#SSRAIIMSReport,#justiceforSushanthSinghRajput,13
@Imkgauravmishra,@rupali0023,467
#RightToReport,#ExposeDishaSalianCase,10
#Justice4SSRIsGlobalDemand,#ArrestDishaSSRKillers,37
#SSRVisceraTruthNow,#ArrestDishaSSRKillers,22
#2BrutalMurders,@Akanksh66792121,49
#JusticeForDisha,#EvidencesScreamMurder,4098
#HomicideAngleExplodes,#ArrestSSRKillersNow,4
#ArrestCulpritsOfSSR,#justiceforSushanthSinghRajput,33
#ArrestDishaSSRKillers,#ArrestSSRKillersNow,203
@rupali0023,@Dhann_shree,498
#ArrestDishaSSRKillers,#EvidencesScreamMurder,120
#SSRVisceraTruthNow,#ArrestSSRKillersNow,21
#2BrutalMurders,@rupali0023,69
#2BrutalMurders,#Justice4SSRIsGlobalDemand,19
#HomicideAngleExplodes,#justiceforSushanthSinghRajput,1
@Neil_Panchtilak,@Remember2ndOct,38
#2BrutalMurders,@vikashranjan,69
#justiceforSushanthSinghRajput,#ArrestCulpritsOfSSR,36
@Dhann_shree,@Imkgauravmishra,362
#EvidencesScreamMurder,#ArrestDishaSSRKillers,166
#2BrutalMurders,@Neil_Panchtilak,117
src,dst,count
@Imkgauravmishra,@republic,247
#JusticeForDisha,#SSRVisceraTruthNow,840
#2BrutalMurders,#RightToReport,131
@vikashranjan,@iRaviTiwari,8
#ExposeDishaSalianCase,#JusticeForDisha,1314
#2BrutalMurders,#justiceforSushanthSinghRajput,21
#Justice4SSRIsGlobalDemand,#JusticeForDisha,129
@Imkgauravmishra,@iRaviTiwari,721
@iRaviTiwari,@republic,2241
@vikashranjan,@republic,63
#2BrutalMurders,#HomicideAngleExplodes,56
@AkKanpur,@republic,5
#HomicideAngleExplodes,#EvidencesScreamMurder,2
@rupali0023,@iRaviTiwari,480
@EvaPhoenix,@rupali0023,14
#SSRVisceraTruthNow,#EvidencesScreamMurder,4230
#2BrutalMurders,@Imkgauravmishra,70
#HomicideAngleExplodes,#ExposeDishaSalianCase,1
#2BrutalMurders,#SSRAIIMSReport,15
@Dhann_shree,@EvaPhoenix,14
@Remember2ndOct,@republic,76
#justiceforSushanthSinghRajput,#ArrestSSRKillersNow,23
@Dhann_shree,@iRaviTiwari,372
#HomicideAngleExplodes,#RightToReport,2
@Dhann_shree,@rupali0023,354
#RightToReport,#JusticeForDisha,9
@rupali0023,@Imkgauravmishra,428
#justiceforSushanthSinghRajput,#EvidencesScreamMurder,165
#JusticeForDisha,#ExposeDishaSalianCase,1206
#EvidencesScreamMurder,#justiceforSushanthSinghRajput,138
#ArrestCulpritsOfSSR,#ArrestDishaSSRKillers,51
#SSRAIIMSReport,#ArrestCulpritsOfSSR,13
@Imkgauravmishra,@Dhann_shree,442
